eta,best_mu,min_spread
0.0,210716161575767.66,3.7530180333114913
0.05,298177886867636.3,3.178587433276327
0.1,421942254224670.2,2.5243591243654606
0.15,710263337775716.4,1.6736342796989057
0.217,1691855872639682.8,0.013006600231083354
0.25,1304007753339807.2,0.8207263001425495
