N,h,max_error,L2_error,solve_time_s
17,0.0625,0.7760035793464564,0.7640881987352786,0.0035407543182373047
33,0.03125,0.1976213938862852,0.19520359078733424,0.014405012130737305
49,0.020833333333333332,0.08211738614391884,0.08110633173095781,0.02606940269470215
65,0.015625,0.04061620158761059,0.0401723712202616,0.04266095161437988
