N,h,L2_error,Linf_error,solve_time_s
20,0.05,0.14134925321869313,0.143901582891786,0.0013911724090576172
40,0.025,0.04299567024873911,0.04328641170832981,0.0012099742889404297
80,0.0125,0.011648339722244489,0.011682913505957515,0.0012598037719726562
160,0.00625,0.002971073509963058,0.002977022725655587,0.0016281604766845703
320,0.003125,0.0006971565600977817,0.0007003034838888311,0.0021393299102783203
