generation,L,n_nodes,mfpt_mean,mfpt_std
2,1.7936999999999999,7,10.538,1.6650993964325376
3,2.42365969,15,23.526,3.6771352980275283
4,2.9236586959529998,31,37.845,5.88684762840011
5,3.3205079069778956,63,52.777,7.975918191656683
6,3.6354871257683556,127,66.28,9.848634423106587
7,3.8854861317223435,255,79.416,11.389949253618298
