r,alpha_true,alpha_est,alpha_ci_low,alpha_ci_high,intercept,r_squared,Z_r
4,2.4621171572600096,2.463854586801207,2.4558019391074057,2.471737493136166,0.14965990562452738,0.9984250816790496,1.414213562373095
5,2.244918662403709,2.238379615702772,2.2288715366739065,2.2475715219145616,0.10721646669915652,0.9976631781646763,1.2909944487358056
6,2.0,2.0042955385119217,1.9953817056124479,2.0136669798987814,0.08478661364522407,0.9974924356111534,1.224744871391589
7,1.7550813375962908,1.7459343156629803,1.7376499308182372,1.7546714617263488,0.06930563304728057,0.9967201029291166,1.1832159566199232
8,1.5378828427399902,1.5422716875070337,1.534533962716346,1.550534375460238,0.062037732247808584,0.9963673461894971,1.1547005383792517
10,1.2384058440442354,1.243439295739337,1.2341033475211762,1.2523188498548423,0.048281714129049656,0.9935382666202036,1.118033988749895
12,1.0948517463551333,1.0968320191743468,1.0886515272062158,1.1050231938382966,0.04213338900904052,0.9911912546819611,1.0954451150103321
15,1.0219738852611864,1.0287438035836245,1.0194502893334958,1.0389237703766898,0.033529090219356135,0.9891983686352087,1.0741723110591492
18,1.0049452463132693,1.0075864016769522,0.9986134849617482,1.0167397974087968,0.031039430656987124,0.9900011706959843,1.0606601717798212
