generation,N_nodes,N_leaves,L_effective,T_mean,T_std,T_sem,n_realizations
2,13,9,1.6999999999999997,2.7760000000000002,0.16704490414256876,0.05282423686150135,10
3,40,27,2.19,4.732000000000001,0.31294727990509835,0.09896261920543532,10
4,121,81,2.5329999999999995,6.316000000000001,0.42650205157771515,0.13487179097201904,10
5,364,243,2.7731,8.876000000000001,0.5500399985455605,0.17393791995996738,10
6,1093,729,2.9411699999999996,10.412,0.6079605250343151,0.1922539986580253,10
