"Regime,Flawed_OLS_Alpha,Robust_ODR_Alpha,ODR_Alpha_Error"
"Bulk (Stokes-Einstein),-1.192348507204683,-1.2321487680016027,0.04107147774782069"
"Confined (Zeolites),3.5861111664326555,7.249767215264353,1.0601614275069273"
