generation,L,n_vertices,mfpt_mean,mfpt_std
2,4,15,10.396666666666667,8.81963655083864
3,8,42,50.17333333333333,46.36029143806391
4,16,123,243.21,199.55465224678008
5,32,366,1232.7966666666666,1143.58068451198
6,64,1095,6734.406666666667,6044.492140890654
