class,alpha_true,alpha_estimated,r_squared
diffusive,1.9942036000331698,2.030578009630963,0.9996258469703763
diffusive,2.102162476439995,2.076520283782301,0.999816407286661
diffusive,2.06213467399691,2.0849114977052197,0.9995623944247458
diffusive,1.9372579265573626,1.9558972188558075,0.99956078174439
diffusive,2.0121844464132455,1.9777482583457968,0.999463802528078
diffusive,1.9752659612974843,1.9668343559315002,0.9989296168589028
diffusive,1.9559725363149196,1.9092503658380304,0.9990946302592042
diffusive,2.167974738222153,2.1704704908324395,0.9993107599550162
diffusive,1.827892247903953,1.840326619736631,0.9994542595393374
diffusive,2.066724514742924,2.0880962105186085,0.9998150942163831
diffusive,1.894745280812989,1.9440623006231583,0.9998615958754257
diffusive,1.9608430022643961,1.9549792626361582,0.9991647540892727
diffusive,2.039495797032331,2.075125990936639,0.9991933704980108
diffusive,1.9447430653881148,1.9292376417085626,0.9997940052456881
diffusive,2.0142044478830545,2.045472306973702,0.999841489814543
diffusive,1.6398914895540482,1.6194133908734936,0.9997956794392252
diffusive,1.9839869860402062,2.0050103064374287,0.9995927510989975
diffusive,1.9122382643137095,1.8928284515276128,0.9995877319384749
diffusive,1.8568645152945573,1.8187149091686319,0.9994059200856049
diffusive,1.9859446514497567,1.9995905590814942,0.9997837012029193
diffusive,2.231763678867388,2.2165789457268206,0.9992997592556474
diffusive,2.044414517108726,2.0484371467598783,0.9989807937698463
diffusive,2.1127788027111647,2.1249535257754935,0.9995609692123355
diffusive,1.9444713897398964,1.977131856314398,0.9992063587115886
diffusive,2.0853348977340147,2.090592824472246,0.9998295248899441
diffusive,1.9922178563863526,1.9679605906026947,0.9995484602157987
diffusive,2.054132129400828,2.014705625272643,0.9994827444076475
diffusive,2.0725081044447506,2.1345885393561868,0.9990333141629203
diffusive,2.047525860471731,2.083339273001084,0.9990300029485165
diffusive,1.8874813898268838,1.8921151335843995,0.9997522933011026
diffusive,1.9542781460680805,1.9592826923491324,0.9996312862119028
