bin,r_min,r_max,r_mean,n_points,slope_fit,slope_se,alpha_fit,alpha_se,alpha_true,alpha_error,r2_fit,r2_collapse,collapse_passes
1,1.0,5.606060606060606,3.303030303030303,20,-0.032688659725777586,0.004803047620746675,2.0653773194515552,0.00960609524149335,2.0,0.06537731945155523,0.31495581919422877,7.575147684749182e-06,True
2,5.848484848484849,10.454545454545455,8.151515151515152,20,-0.04069310454456082,0.015711998687319702,2.0813862090891218,0.031423997374639405,2.0,0.08138620908912175,0.02352361864775665,0.000892689186840915,True
3,10.696969696969697,15.303030303030303,13.0,20,0.028015022496854027,0.023558024705894878,1.9439699550062919,0.047116049411789755,2.0,-0.05603004499370812,0.0024512088795324294,0.0045283559477452395,True
4,15.545454545454547,20.151515151515152,17.84848484848485,20,0.018250004362620087,0.04442492728475829,1.9634999912747597,0.08884985456951658,2.0,-0.036500008725240285,-0.009280043971167995,0.012851739535685818,True
5,20.393939393939394,24.757575757575758,22.575757575757574,19,-0.033769417077508634,0.03706620944878704,2.0675388341550174,0.07413241889757408,2.0,0.06753883415501738,-0.01095915775234424,0.006931492806634274,True
