name,n_points,r_max,v_max,slope_full,slope_err,alpha_full,r2_full,slope_inner,alpha_inner,slope_outer,alpha_outer,struct_proxy,bar_ratio
NGC5371,19,46.24,242.0,-0.011604396574305119,0.008162657113742313,2.0232087931486102,-0.3098440327390444,0.060391146666439785,1.8792177066671205,-0.20553020414907797,2.411060408298156,0.9830776156550799,1.1235757053401596
UGC06628,7,7.69,42.3,0.0954055252053748,0.01845482577231463,1.8091889495892504,0.5043828901802621,0.23433306614428356,1.531333867711433,0.019181706337054842,1.9616365873258903,0.6211142129484105,1.1629022302882606
UGC06787,71,37.19,276.0,0.006347978450957444,0.001546196303054061,1.987304043098085,0.02168462836778351,-0.060992866909872254,2.1219857338197445,0.03713851508531072,1.9257229698293785,0.7326366095717126,0.9402444115021955
UGC06930,10,16.61,109.0,0.16988800434466886,0.013833350917837802,1.6602239913106622,0.7037801676720286,0.22107911512672979,1.5578417697465405,0.0,2.0,0.9885337076881793,0.6958159460735022
UGC05829,11,6.91,68.6,0.571650127627277,0.010522308372841571,0.8566997447454461,0.9841393048949869,0.523055701648494,0.953888596703012,0.6077509779535656,0.7844980440928688,0.6551158947421502,0.5666477504270435
F567-2,5,9.59,52.2,0.27324887141293475,0.09044199517305096,1.4535022571741305,0.7472771291622444,0.5203023562115595,0.959395287576881,0.1803439692681206,1.6393120614637589,0.7439967440524172,0.7743656669792164
NGC0300,25,11.8,97.0,0.25259817726031586,0.010835372920104707,1.4948036454793683,0.8117770225924625,0.4214203787618118,1.1571592424763764,0.11215763253020748,1.775684734939585,1.2567303904480265,0.5876933586876653
F563-V2,10,10.47,118.0,0.39837641369464283,0.06286679480760068,1.2032471726107143,0.7788162293689392,0.9654002310833115,0.06919953783337696,0.045661121436905525,1.908677757126189,0.6263018354498325,0.4573935530189838
UGC02259,8,8.14,90.0,0.164540289877111,0.01605101534608146,1.670919420245778,0.876051356603262,0.2981077868276396,1.4037844263447208,0.15652350563491568,1.6869529887301686,0.9511441635697689,0.5141440336571041
NGC1090,24,30.09,176.0,0.0,0.00827707024198855,2.0,-0.1274317640468905,0.36804725952817047,1.263905480943659,-0.06656491908189728,2.1331298381637946,1.0233232406360242,0.9291623704882098
UGC08550,11,5.36,57.8,0.18481842897354003,0.009042381921439881,1.6303631420529199,0.70924131202923,0.18481842897354003,1.6303631420529199,0.19684770631273038,1.6063045873745392,2.0145961796822593,0.5223369266773054
UGC04278,25,6.69,92.8,0.6501636830755974,0.009972076690790883,0.6996726338488053,0.9732453019816493,0.4584836568093817,1.0830326863812365,0.7832361861101835,0.43352762777963294,0.582613836069286,0.5897775458437354
NGC3953,8,15.68,224.0,0.07344729851109777,0.021382064396064517,1.8531054029778045,0.5335175136193555,0.22254062243859363,1.5549187551228127,-0.06547675650011481,2.1309535130002297,1.091074219138042,1.081090446604583
NGC4088,12,21.48,182.0,0.046076914595754775,0.02984776060127466,1.9078461708084904,0.18172785621706877,0.34802904846294047,1.303941903074119,0.0,2.0,1.5100368544831695,1.256087051689113
DDO168,10,4.12,55.0,0.5898780033627599,0.02415212948119199,0.8202439932744803,0.9646970458023152,0.6540867413149287,0.6918265173701426,0.06407184720142105,1.871856305597158,0.7031641555170646,0.617221279270808
NGC5907,19,50.33,235.0,-0.05750345799281175,0.005589555890476912,2.1150069159856235,-0.23120822614889613,0.0,2.0,-0.036257869943255285,2.0725157398865104,1.8695389745116826,0.8352334437194606
ESO116-G012,15,9.86,112.0,0.39463855884978866,0.020263202726856392,1.2107228823004226,0.9322714656177338,0.5606155923055836,0.8787688153888329,0.10162674658599266,1.7967465068280146,0.864548811759312,0.668604681299279
CamB,9,1.79,20.1,0.978887895035777,0.010933908322022094,0.042224209928446,0.9985678276927387,1.0060591556923102,-0.012118311384620384,0.8858948926795506,0.22821021464089886,0.6523251772061718,1.3147599082019792
F579-V1,14,15.16,114.0,0.12397576944968652,0.004914447581439345,1.7520484611006268,0.49737099511237004,0.19746763660792446,1.6050647267841511,0.06348208528703989,1.8730358294259202,0.5810578901487446,0.6206875056727899
NGC2683,11,34.62,212.0,-0.1836823994251346,0.021534702437244316,2.3673647988502693,0.4837932490874065,-0.08406426478847355,2.168128529576947,-0.3175377582165438,2.6350755164330875,2.2130053743508267,0.9012911120372811
DDO064,14,2.98,46.9,0.6395593552151241,0.026055022445888473,0.7208812895697518,0.967337265816372,0.638958264722741,0.722083470554518,0.10345460429768734,1.7930907914046252,0.44544800811688084,0.5935226702814854
KK98-251,15,3.13,34.6,0.9143212137174117,0.011494534652783597,0.17135757256517659,0.975663027327162,0.9569464944589989,0.08610701108200214,0.583583365853533,0.832833268292934,0.37252015273937295,0.6890957336805963
NGC4051,7,12.19,161.0,0.13437990174489808,0.0453074412541198,1.7312401965102038,0.700167220458447,0.3334123169487033,1.3331753661025934,-0.08724960947688326,2.1744992189537666,0.6094918492340012,1.1914710929633185
UGC12506,31,49.99,255.0,0.026244954965320696,0.007850013651645525,1.9475100900693587,0.16886560682869212,0.1634556480998161,1.6730887038003677,-0.16652885048917698,2.3330577009783537,0.7908004518759965,0.6587089255185028
UGC06917,11,10.47,111.0,0.2597259896350592,0.01855101800157441,1.4805480207298816,0.8861398226039173,0.45103660647211474,1.0979267870557705,0.19376621892747306,1.612467562145054,0.900568092212361,0.6977229580824371
NGC3109,25,6.45,67.3,0.5919226751008069,0.011957290611778556,0.8161546497983863,0.929685972468245,0.8505255297735376,0.29894894045292486,0.46932449336543414,1.0613510132691317,0.6074246618971446,0.4087694041239746
