step,kappa,layer,alpha_true,alpha_obs,direction,history_factor
18,0.8578947368421053,3,2.3891943824793787,2.3926468092497175,up,0.9544005516652773
19,0.9,0,2.299436769446418,2.2973005062147354,up,0.9612404689154856
19,0.9,1,2.329436769446418,2.3302294679018014,up,0.9612404689154856
19,0.9,2,2.3594367694464182,2.362564721416255,up,0.9612404689154856
19,0.9,3,2.389436769446418,2.387890036747817,up,0.9612404689154856
0,0.9,0,2.2814589601209234,2.2837428363087104,down,0.15
0,0.9,1,2.3114589601209232,2.30814933041559,down,0.15
0,0.9,2,2.3414589601209235,2.339643690888098,down,0.15
0,0.9,3,2.3714589601209233,2.3695502706509317,down,0.15
1,0.8578947368421053,0,2.2634492131117585,2.2574700148838134,down,0.27749999999999997
1,0.8578947368421053,1,2.2934492131117583,2.295884075515686,down,0.27749999999999997
1,0.8578947368421053,2,2.3234492131117586,2.3211022014107447,down,0.27749999999999997
1,0.8578947368421053,3,2.3534492131117584,2.353511683705397,down,0.27749999999999997
2,0.8157894736842105,0,2.2353210925300804,2.23772482582461,down,0.38587499999999997
2,0.8157894736842105,1,2.26532109253008,2.2675537484102297,down,0.38587499999999997
2,0.8157894736842105,2,2.2953210925300804,2.2986480180749442,down,0.38587499999999997
2,0.8157894736842105,3,2.3253210925300802,2.324828665107533,down,0.38587499999999997
3,0.7736842105263158,0,2.197770951703899,2.195654460143678,down,0.47799375
3,0.7736842105263158,1,2.227770951703899,2.2273723606493667,down,0.47799375
3,0.7736842105263158,2,2.257770951703899,2.249334279534109,down,0.47799375
3,0.7736842105263158,3,2.287770951703899,2.2805353893417832,down,0.47799375
4,0.7315789473684211,0,2.155434264058443,2.148820765996671,down,0.5562946875
4,0.7315789473684211,1,2.185434264058443,2.1804480299204356,down,0.5562946875
4,0.7315789473684211,2,2.2154342640584432,2.2174331351920604,down,0.5562946875
4,0.7315789473684211,3,2.245434264058443,2.240906868781643,down,0.5562946875
5,0.6894736842105263,0,2.1148646942461,2.112973881475903,down,0.622850484375
5,0.6894736842105263,1,2.1448646942461,2.15136083573503,down,0.622850484375
5,0.6894736842105263,2,2.1748646942461,2.173083374390793,down,0.622850484375
5,0.6894736842105263,3,2.2048646942461,2.2085522720884354,down,0.622850484375
6,0.6473684210526316,0,2.0809655097279753,2.076297421327926,down,0.67942291171875
6,0.6473684210526316,1,2.110965509727975,2.109938321938637,down,0.67942291171875
6,0.6473684210526316,2,2.1409655097279754,2.1362153994534223,down,0.67942291171875
6,0.6473684210526316,3,2.170965509727975,2.1692703443484724,down,0.67942291171875
7,0.605263157894737,0,2.0553602426124913,2.0595617832997783,down,0.7275094749609375
7,0.605263157894737,1,2.085360242612491,2.0767236404965295,down,0.7275094749609375
7,0.605263157894737,2,2.1153602426124913,2.1175323608302206,down,0.7275094749609375
7,0.605263157894737,3,2.145360242612491,2.1465489206241526,down,0.7275094749609375
8,0.5631578947368421,0,2.037249623215714,2.0342788734372297,down,0.7683830537167969
8,0.5631578947368421,1,2.0672496232157136,2.0600193339437713,down,0.7683830537167969
8,0.5631578947368421,2,2.097249623215714,2.0976102707542834,down,0.7683830537167969
8,0.5631578947368421,3,2.1272496232157136,2.1246021596703946,down,0.7683830537167969
9,0.5210526315789474,0,2.024915668376134,2.0260790494329077,down,0.8031255956592774
9,0.5210526315789474,1,2.054915668376134,2.0550249291037512,down,0.8031255956592774
9,0.5210526315789474,2,2.084915668376134,2.0929245628327386,down,0.8031255956592774
9,0.5210526315789474,3,2.114915668376134,2.113718890238769,down,0.8031255956592774
10,0.4789473684210527,0,2.0166712426382856,2.0115537551751763,down,0.8326567563103858
10,0.4789473684210527,1,2.0466712426382854,2.047567620813067,down,0.8326567563103858
10,0.4789473684210527,2,2.0766712426382856,2.0777712260581445,down,0.8326567563103858
10,0.4789473684210527,3,2.1066712426382854,2.113467180514488,down,0.8326567563103858
11,0.4368421052631579,0,2.0111971010483694,2.0153726572779425,down,0.857758242863828
11,0.4368421052631579,1,2.041197101048369,2.042981456344117,down,0.857758242863828
11,0.4368421052631579,2,2.0711971010483694,2.078513615504467,down,0.857758242863828
11,0.4368421052631579,3,2.101197101048369,2.0952532857767547,down,0.857758242863828
12,0.39473684210526316,0,2.0075613313641902,2.0043625737004414,down,0.8790945064342538
12,0.39473684210526316,1,2.03756133136419,2.0329284516571624,down,0.8790945064342538
12,0.39473684210526316,2,2.0675613313641903,2.0656122823484115,down,0.8790945064342538
12,0.39473684210526316,3,2.09756133136419,2.0906779006264085,down,0.8790945064342538
13,0.3526315789473684,0,2.0051367837253324,2.0083125384594043,down,0.8972303304691157
13,0.3526315789473684,1,2.0351367837253322,2.0340256702398385,down,0.8972303304691157
13,0.3526315789473684,2,2.0651367837253325,2.057782752252819,down,0.8972303304691157
13,0.3526315789473684,3,2.0951367837253323,2.0900588883192945,down,0.8972303304691157
14,0.31052631578947376,0,2.0035104908220807,2.0050780600593314,down,0.9126457808987484
14,0.31052631578947376,1,2.0335104908220805,2.0377011236615523,down,0.9126457808987484
14,0.31052631578947376,2,2.0635104908220807,2.0734941452805398,down,0.9126457808987484
14,0.31052631578947376,3,2.0935104908220805,2.1080798031521173,down,0.9126457808987484
15,0.268421052631579,0,2.002412539826684,2.0044845869930636,down,0.9257489137639361
15,0.268421052631579,1,2.0324125398266837,2.0274648492265244,down,0.9257489137639361
15,0.268421052631579,2,2.062412539826684,2.0517523084230276,down,0.9257489137639361
15,0.268421052631579,3,2.0924125398266837,2.093751097138403,down,0.9257489137639361
16,0.22631578947368425,0,2.001666459629811,1.9976017541532591,down,0.9368865766993457
16,0.22631578947368425,1,2.0316664596298106,2.0295896733289123,down,0.9368865766993457
16,0.22631578947368425,2,2.061666459629811,2.058605975634512,down,0.9368865766993457
16,0.22631578947368425,3,2.0916664596298107,2.0909625051977287,down,0.9368865766993457
17,0.1842105263157895,0,2.0011563554786913,2.0064862566326296,down,0.9463535901944439
17,0.1842105263157895,1,2.031156355478691,2.031941598315918,down,0.9463535901944439
17,0.1842105263157895,2,2.0611563554786914,2.0603631812934977,down,0.9463535901944439
17,0.1842105263157895,3,2.091156355478691,2.085978086714562,down,0.9463535901944439
18,0.14210526315789473,0,2.0008056175206215,1.9924322027970998,down,0.9544005516652773
18,0.14210526315789473,1,2.0308056175206213,2.0283740779752546,down,0.9544005516652773
18,0.14210526315789473,2,2.0608056175206215,2.06053670476653,down,0.9544005516652773
18,0.14210526315789473,3,2.0908056175206213,2.099645267088521,down,0.9544005516652773
19,0.1,0,2.0005632305535817,2.001214603160946,down,0.9612404689154856
19,0.1,1,2.0305632305535815,2.0354769281086966,down,0.9612404689154856
19,0.1,2,2.0605632305535817,2.058066752560886,down,0.9612404689154856
19,0.1,3,2.0905632305535815,2.0846385117214963,down,0.9612404689154856
