log10_mu,mu_GeV,alpha1_inv,alpha2_inv,alpha3_inv
1.9599357855026331,91.1876,58.858151854031775,29.60331557134399,8.481764206955047
2.1118556260531114,129.37656791623513,58.62988956360109,29.77961571272642,8.871479807989118
2.26377546660359,183.55890851151034,58.40162727197331,29.955915856569376,9.261195885697639
2.4156953071540683,260.43257628964255,58.17336498041464,30.132216000613276,9.650912178602914
2.567615147704547,369.5005997957729,57.94510268881195,30.308516144551547,10.040628390708996
2.7195349882550253,524.2458343521206,57.7168403972147,30.48481628846466,10.430344400201832
2.8714548288055037,743.7976960996942,57.48857810562319,30.661116432354856,10.8200602939438
3.023374669355982,1055.2969169643823,57.26031581402603,30.83741657626849,11.209776347172824
3.1752945099064607,1497.250648656571,57.03205352242874,31.013716720182483,11.599492407114425
3.327214350456939,2124.292669546561,56.803791230831166,31.190016864095416,11.989208456317023
3.4791341910074176,3013.937145352559,56.57552893923336,31.366317008007435,12.378924505167467
3.631054031557896,4276.160835255772,56.34726664763768,31.542617151930312,12.768640797264334
3.7829738721083745,6066.998284012444,56.119004356041266,31.718917295849458,13.15835699221859
3.934893712658853,8607.830621040775,55.89074206444439,31.895217439766242,13.548073126323597
4.086813553209332,12212.752424173137,55.66247977284748,32.07151758368283,13.937789252546606
4.23873339375981,17327.39970621226,55.43421748125058,32.24781772759937,14.32750537355153
4.390653234310288,24584.038892377066,55.205955189653686,32.424117871515904,14.71722149278186
4.5425730748607664,34879.72682047764,54.97769289805663,32.60041801543317,15.106937640501291
4.694492915411245,49487.20380719806,54.74943060645895,32.77671815935323,15.496653900393882
4.846412755961723,70212.22824535934,54.521168314861555,32.95301830327173,15.886370078097855
4.998332596512202,99616.80224214624,54.292906023264045,33.12931844719079,16.276086272393275
5.15025243706268,141335.88317796713,54.06464373166627,33.305618591110566,16.665802470450572
5.302172277613159,200526.73268048879,53.83638144006891,33.481918735028685,17.055518621172947
5.454092118163637,284506.4509830063,53.60811914847105,33.65821887894849,17.44523480417743
5.606011958714116,403656.5078827597,53.37985685687356,33.834519022866736,17.834950945181554
5.757931799264594,572706.0873070917,53.151594565275936,34.01081916678538,18.224667093645767
5.909851639815073,812552.8909690268,52.92333227367803,34.187119310704645,18.614383245074634
6.061771480365551,1152846.4866274307,52.69506998208062,34.36341945462248,19.004099373506577
6.21369132091603,1635653.551295865,52.466807690482604,34.53971959854175,19.39381551831113
6.365611161466508,2320658.1022711494,52.238545398882955,34.716019742464894,19.783531706237877
6.5175310020169865,3292539.562164644,52.0102831072797,34.89231988639709,20.173248001689906
6.669450842567465,4671440.725288143,51.78202081568066,35.06862003031814,20.562964152573095
6.8213706831179435,6627819.662562762,51.553758524077544,35.2449201742478,20.952680379110838
6.973290523668422,9403521.539223643,51.32549623247835,35.4212203181688,21.342396523293903
7.1252103642189,13341675.217586026,51.09723394087483,35.597520462098025,21.73211273086755
7.277130204769379,18929110.426246215,50.86897164927513,35.77382060601962,22.121828876772643
7.429050045319857,26856539.054160412,50.64070935767182,35.95012074994684,22.511545053108428
7.580969885870336,38103940.1073787,50.4124470660713,36.12642089386929,22.90126119844108
7.732889726420814,54061703.51208317,50.18418477446839,36.30272103779465,23.290977353144882
7.884809566971293,76702508.41231039,49.95592248286671,36.4790211817182,23.68069349869897
8.036729407521772,108825183.34675846,49.72766019126444,36.65532132564167,24.070409638216624
8.18864924807225,154400694.00070444,49.49939789966132,36.83162146956632,24.460125783670666
8.340569088622729,219063029.11466005,49.271135608059865,37.00792161348801,24.849841911445463
8.492488929173208,310805667.26384956,49.04287331645516,37.18422175741361,25.23955805484257
8.644408769723686,440969720.8777532,48.81461102484362,37.36052190134631,25.62927422202847
8.796328610274163,625645910.6517102,48.58634873320031,37.53682204531488,26.01899052168889
8.948248450824643,887663680.7081858,48.35808644157148,37.71312218926733,26.40870676209279
9.100168291375121,1259413346.4848075,48.12982414995426,37.88942233320237,26.798422921131618
9.252088131925598,1786850145.8104434,47.90156185830788,38.0657224771649,27.188139159972092
9.404007972476077,2535175169.0534573,47.67329956668678,38.242022621103814,27.57785533003711
9.555927813026555,3596895437.960842,47.44503727506013,38.418322765044294,27.9675714953929
9.707847653577035,5103259510.250714,47.216774983406204,38.594622909007384,28.357287719406738
9.859767494127512,7240482265.375152,46.988512691789346,38.77092305293956,28.747003864179973
10.01168733467799,10272764559.573917,46.760250400153176,38.94722319688276,29.13672002606901
10.163607175228469,14574953411.749083,46.53198810849611,39.123523340840734,29.526436219680186
10.31552701577895,20678880132.28905,46.303725816882285,39.29982348476784,29.916152346694012
10.467446856329426,29339104657.50579,46.07546352523534,39.47612362871353,30.305868504406757
10.619366696879904,41626193323.69008,45.84720123357809,39.65242377266558,30.695584674098196
10.771286537430383,59059060964.83219,45.61893894196346,39.82872391659093,31.085300794729367
10.923206377980863,83792737301.84474,45.39067665030502,40.00502406053808,31.47501694842553
11.07512621853134,118884769074.07744,45.16241435865285,40.181324204482316,31.8647330980937
11.227046059081818,168673190217.9494,44.93415206698852,40.35762434841211,32.25444923272736
11.378965899632297,239312784302.69702,44.70588977518428,40.53392449235585,32.64416541314638
11.530885740182777,339535931327.9576,44.47696048797775,40.70926584022404,33.03304161431522
11.682805580733254,481732093831.3276,44.217664302155065,40.84095275349544,33.38368909810099
11.834725421283732,683479387054.8058,43.912007666926826,40.90599436403662,33.675974907621196
11.98664526183421,969717563996.0146,43.55999093918903,40.90439102643386,33.90989923557859
