z,alpha,epsilon,N_dyn,M_halo,M_star_target,A_available,A_needed,feasible,margin
7,0.5,0.1,7,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,7,1000000000000.0,10000000000.0,3.567428633796945,0.08923540577207964,True,39.9777263624338
7,0.5,0.1,7,1000000000000.0,30000000000.0,3.567428633796945,0.28752804131023335,True,12.407237282111925
7,0.5,0.1,7,1000000000000.0,100000000000.0,3.567428633796945,1.3737791228903133,True,2.596799277522417
7,0.5,0.1,7,5000000000000.0,10000000000.0,3.567428633796945,0.017383427814509755,True,100.0
7,0.5,0.1,7,5000000000000.0,30000000000.0,3.567428633796945,0.05283352020996911,True,67.522069694001
7,0.5,0.1,7,5000000000000.0,100000000000.0,3.567428633796945,0.18476002360548596,True,19.308444349489786
7,0.5,0.1,10,100000000000.0,10000000000.0,3.567428633796945,0.9616453860232191,True,3.7097132536034536
7,0.5,0.1,10,100000000000.0,30000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,10,100000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,10,500000000000.0,10000000000.0,3.567428633796945,0.12933201652384016,True,27.583491927842555
7,0.5,0.1,10,500000000000.0,30000000000.0,3.567428633796945,0.4570353740568053,True,7.805585379816895
7,0.5,0.1,10,500000000000.0,100000000000.0,3.567428633796945,inf,False,0.0
7,0.5,0.1,10,1000000000000.0,10000000000.0,3.567428633796945,0.06246478404045574,True,57.111037660619715
7,0.5,0.1,10,1000000000000.0,30000000000.0,3.567428633796945,0.2012696289171633,True,17.72462468873133
7,0.5,0.1,10,1000000000000.0,100000000000.0,3.567428633796945,0.9616453860232191,True,3.7097132536034536
7,0.5,0.1,10,5000000000000.0,10000000000.0,3.567428633796945,0.012168399470156827,True,100.0
7,0.5,0.1,10,5000000000000.0,30000000000.0,3.567428633796945,0.036983464146978375,True,96.46009956285859
7,0.5,0.1,10,5000000000000.0,100000000000.0,3.567428633796945,0.12933201652384016,True,27.583491927842555
7,0.75,0.01,3,100000000000.0,10000000000.0,6.738030007453368,33.60400263508838,False,0.2005127210773904
7,0.75,0.01,3,100000000000.0,30000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,3,100000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,3,500000000000.0,10000000000.0,6.738030007453368,4.519413795599994,True,1.4909079611195089
7,0.75,0.01,3,500000000000.0,30000000000.0,6.738030007453368,15.970770657618129,False,0.42189761232588346
7,0.75,0.01,3,500000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,3,1000000000000.0,10000000000.0,6.738030007453368,2.182786709117553,True,3.086893455649356
7,0.75,0.01,3,1000000000000.0,30000000000.0,6.738030007453368,7.033221641571221,False,0.9580289589662487
7,0.75,0.01,3,1000000000000.0,100000000000.0,6.738030007453368,33.60400263508838,False,0.2005127210773904
7,0.75,0.01,3,5000000000000.0,10000000000.0,6.738030007453368,0.42521592034143535,True,15.846137656470944
7,0.75,0.01,3,5000000000000.0,30000000000.0,6.738030007453368,1.2923604113457998,True,5.213739099634535
7,0.75,0.01,3,5000000000000.0,100000000000.0,6.738030007453368,4.519413795599994,True,1.4909079611195089
7,0.75,0.01,5,100000000000.0,10000000000.0,6.738030007453368,20.16240158105303,False,0.3341878684623173
7,0.75,0.01,5,100000000000.0,30000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,5,100000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,5,500000000000.0,10000000000.0,6.738030007453368,2.7116482773599966,True,2.484846601865848
7,0.75,0.01,5,500000000000.0,30000000000.0,6.738030007453368,9.582462394570877,False,0.7031626872098058
7,0.75,0.01,5,500000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,5,1000000000000.0,10000000000.0,6.738030007453368,1.3096720254705316,True,5.14482242608226
7,0.75,0.01,5,1000000000000.0,30000000000.0,6.738030007453368,4.219932984942733,True,1.5967149316104146
7,0.75,0.01,5,1000000000000.0,100000000000.0,6.738030007453368,20.16240158105303,False,0.3341878684623173
7,0.75,0.01,5,5000000000000.0,10000000000.0,6.738030007453368,0.2551295522048612,True,26.410229427451572
7,0.75,0.01,5,5000000000000.0,30000000000.0,6.738030007453368,0.7754162468074799,True,8.689565166057559
7,0.75,0.01,5,5000000000000.0,100000000000.0,6.738030007453368,2.7116482773599966,True,2.484846601865848
7,0.75,0.01,7,100000000000.0,10000000000.0,6.738030007453368,14.401715415037879,False,0.46786301584724416
7,0.75,0.01,7,100000000000.0,30000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,7,100000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,7,500000000000.0,10000000000.0,6.738030007453368,1.9368916266857121,True,3.4787852426121866
7,0.75,0.01,7,500000000000.0,30000000000.0,6.738030007453368,6.844615996122056,False,0.984427762093728
7,0.75,0.01,7,500000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,7,1000000000000.0,10000000000.0,6.738030007453368,0.9354800181932369,True,7.202751396515164
7,0.75,0.01,7,1000000000000.0,30000000000.0,6.738030007453368,3.0142378463876667,True,2.23540090425458
7,0.75,0.01,7,1000000000000.0,100000000000.0,6.738030007453368,14.401715415037879,False,0.46786301584724416
7,0.75,0.01,7,5000000000000.0,10000000000.0,6.738030007453368,0.18223539443204376,True,36.97432119843219
7,0.75,0.01,7,5000000000000.0,30000000000.0,6.738030007453368,0.5538687477196286,True,12.16539123248058
7,0.75,0.01,7,5000000000000.0,100000000000.0,6.738030007453368,1.9368916266857121,True,3.4787852426121866
7,0.75,0.01,10,100000000000.0,10000000000.0,6.738030007453368,10.081200790526514,False,0.6683757369246346
7,0.75,0.01,10,100000000000.0,30000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,10,100000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,10,500000000000.0,10000000000.0,6.738030007453368,1.3558241386799983,True,4.969693203731696
7,0.75,0.01,10,500000000000.0,30000000000.0,6.738030007453368,4.7912311972854384,True,1.4063253744196116
7,0.75,0.01,10,500000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.01,10,1000000000000.0,10000000000.0,6.738030007453368,0.6548360127352658,True,10.28964485216452
7,0.75,0.01,10,1000000000000.0,30000000000.0,6.738030007453368,2.1099664924713664,True,3.193429863220829
7,0.75,0.01,10,1000000000000.0,100000000000.0,6.738030007453368,10.081200790526514,False,0.6683757369246346
7,0.75,0.01,10,5000000000000.0,10000000000.0,6.738030007453368,0.1275647761024306,True,52.820458854903144
7,0.75,0.01,10,5000000000000.0,30000000000.0,6.738030007453368,0.38770812340373995,True,17.379130332115118
7,0.75,0.01,10,5000000000000.0,100000000000.0,6.738030007453368,1.3558241386799983,True,4.969693203731696
7,0.75,0.02,3,100000000000.0,10000000000.0,6.738030007453368,16.717141281936534,False,0.4030611390916489
7,0.75,0.02,3,100000000000.0,30000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,3,100000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,3,500000000000.0,10000000000.0,6.738030007453368,2.2482940426176836,True,2.9969523023813625
7,0.75,0.02,3,500000000000.0,30000000000.0,6.738030007453368,7.945054414024764,False,0.8480785223521272
7,0.75,0.02,3,500000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,3,1000000000000.0,10000000000.0,6.738030007453368,1.0858811731716038,True,6.205126466805908
7,0.75,0.02,3,1000000000000.0,30000000000.0,6.738030007453368,3.498849858038957,True,1.9257842664989098
7,0.75,0.02,3,1000000000000.0,100000000000.0,6.738030007453368,16.717141281936534,False,0.4030611390916489
7,0.75,0.02,3,5000000000000.0,10000000000.0,6.738030007453368,0.21153416433356828,True,31.853152556615708
7,0.75,0.02,3,5000000000000.0,30000000000.0,6.738030007453368,0.6429166137813134,True,10.48041046540025
7,0.75,0.02,3,5000000000000.0,100000000000.0,6.738030007453368,2.2482940426176836,True,2.9969523023813625
7,0.75,0.02,5,100000000000.0,10000000000.0,6.738030007453368,10.03028476916192,False,0.6717685651527483
7,0.75,0.02,5,100000000000.0,30000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,5,100000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,5,500000000000.0,10000000000.0,6.738030007453368,1.34897642557061,True,4.994920503968938
7,0.75,0.02,5,500000000000.0,30000000000.0,6.738030007453368,4.767032648414858,True,1.413464203920212
7,0.75,0.02,5,500000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,5,1000000000000.0,10000000000.0,6.738030007453368,0.6515287039029622,True,10.341877444676513
7,0.75,0.02,5,1000000000000.0,30000000000.0,6.738030007453368,2.099309914823374,True,3.2096404441648505
7,0.75,0.02,5,1000000000000.0,100000000000.0,6.738030007453368,10.03028476916192,False,0.6717685651527483
7,0.75,0.02,5,5000000000000.0,10000000000.0,6.738030007453368,0.12692049860014096,True,53.08858759435952
7,0.75,0.02,5,5000000000000.0,30000000000.0,6.738030007453368,0.38574996826878793,True,17.46735077566709
7,0.75,0.02,5,5000000000000.0,100000000000.0,6.738030007453368,1.34897642557061,True,4.994920503968938
7,0.75,0.02,7,100000000000.0,10000000000.0,6.738030007453368,7.164489120829943,False,0.9404759912138475
7,0.75,0.02,7,100000000000.0,30000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,7,100000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,7,500000000000.0,10000000000.0,6.738030007453368,0.963554589693293,True,6.9928887055565125
7,0.75,0.02,7,500000000000.0,30000000000.0,6.738030007453368,3.405023320296327,True,1.978849885488297
7,0.75,0.02,7,500000000000.0,100000000000.0,6.738030007453368,inf,False,0.0
7,0.75,0.02,7,1000000000000.0,10000000000.0,6.738030007453368,0.465377645644973,True,14.47862842254712
7,0.75,0.02,7,1000000000000.0,30000000000.0,6.738030007453368,1.4995070820166958,True,4.49349662183079
