alpha,U_tree,V_1loop,V_eff,m2_alpha,m2_phi
1.5,0.25,0.02716639467222342,0.2771663946722234,6.75,1.0
1.5075376884422111,0.23887684019193178,0.02459707657445465,0.26347391676638643,6.615003409004822,1.0
1.515075376884422,0.22811532562882295,0.02216108685431567,0.2502764124831386,6.481370419938892,1.0
1.5226130653266332,0.21770786371893525,0.019854018883057534,0.2375618826019928,6.349101032802201,1.0
1.5301507537688441,0.20764693934595774,0.017671546140321622,0.22531848548627936,6.2181952475947595,1.0
1.5376884422110553,0.19792511486900397,0.015609421849952154,0.2135345367189561,6.088653064316557,1.0
1.5452261306532664,0.18853503012261447,0.013663478612016106,0.20219850873463058,5.960474482967601,1.0
1.5527638190954773,0.1794694024167555,0.011829628030948077,0.19129903044770358,5.833659503547891,1.0
1.5603015075376885,0.17072102653681842,0.010103860339739486,0.1808248868765579,5.708208126057422,1.0
1.5678391959798994,0.16228277474362163,0.008482244020086571,0.1707650187637082,5.584120350496201,1.0
1.5753768844221105,0.1541475967734083,0.006960925418408474,0.1611085221918168,5.461396176864221,1.0
1.5829145728643217,0.1463085198378483,0.005536128357646165,0.15184464819549445,5.340035605161485,1.0
1.5904522613065326,0.13875864862403736,0.004204153744746925,0.14296280236878428,5.220038635387996,1.0
1.5979899497487438,0.1314911652944964,0.0029613791737382253,0.13445254446823462,5.101405267543748,1.0
1.6055276381909547,0.12449932948717314,0.0018042585242910325,0.12630358801146419,4.9841355016287485,1.0
1.6130653266331658,0.11777647831544036,0.0007293215556676174,0.11850579987110797,4.868229337642989,1.0
1.620603015075377,0.11131602636809733,-0.0002668265040518855,0.11104919986404545,4.753686775586473,1.0
1.6281407035175879,0.1051114657093692,-0.001187505373576693,0.10392396033579251,4.640507815459206,1.0
1.635678391959799,0.09915636587890647,-0.0020359601389606974,0.09712040573994578,4.5286924572611795,1.0
1.64321608040201,0.09344437389178624,-0.00281536167922513,0.09062901221256112,4.4182407009924,1.0
1.650753768844221,0.08796921423851081,-0.003528807097172727,0.08444040714133809,4.309152546652863,1.0
1.6582914572864322,0.08272468888500889,-0.004179320155520992,0.07854536872948789,4.201427994242568,1.0
1.6658291457286432,0.07770467727263505,-0.004769851718487913,0.07293482555414714,4.095067043761522,1.0
1.6733668341708543,0.07290313631816935,-0.005303280198968258,0.0675998561192011,3.990069695209716,1.0
1.6809045226130652,0.06831410041381825,-0.00578241201144337,0.06253168840237487,3.8864359485871582,1.0
1.6884422110552764,0.06393168142721362,-0.006209982030774073,0.05772169939643954,3.7841658038938415,1.0
1.6959798994974875,0.05975006870141357,-0.006588654057030913,0.053161414644382655,3.683259261129768,1.0
1.7035175879396984,0.05576352905490216,-0.006921021286523207,0.04884250776837895,3.583716320294943,1.0
1.7110552763819096,0.051966406781588904,-0.007209606789194314,0.04475679999239459,3.485536981389359,1.0
1.7185929648241207,0.04835312365080964,-0.007456863992557454,0.040896259658252186,3.388721244413018,1.0
1.7261306532663316,0.04491817890732602,-0.007665177172354064,0.03725300173497196,3.2932691093659257,1.0
1.7336683417085428,0.04165614927132532,-0.007836861950123942,0.033819287321201374,3.199180576248074,1.0
1.7412060301507537,0.038561688938421095,-0.007974165797884653,0.030587523140536442,3.106455645059469,1.0
1.7487437185929648,0.03562952957965242,-0.008079268550126528,0.027550261029525895,3.0150943158001056,1.0
1.7562814070351758,0.032854480341484624,-0.008154282923338247,0.02470019741814638,2.925096588469989,1.0
1.763819095477387,0.03023142784580859,-0.008201255043288017,0.022030172802520575,2.8364624630691146,1.0
1.771356783919598,0.027755336189941325,-0.008222164980295356,0.01953317120964597,2.749191939597484,1.0
1.778894472361809,0.025421246946625734,-0.008218927292739457,0.01720231965388628,2.6632850180551,1.0
1.7864321608040201,0.023224279164030408,-0.008193391579061564,0.015030887584968844,2.5787416984419584,1.0
1.7939698492462313,0.021159629365750023,-0.008147343038531131,0.013012286327218892,2.4955619807580605,1.0
1.8015075376884422,0.01922257155080516,-0.00808250304105854,0.01114006850974662,2.4137458650034094,1.0
1.8090452261306533,0.017408457193642094,-0.00800052970635109,0.009407927487291004,2.3332933511780003,1.0
1.8165829145728642,0.015712715244133237,-0.007903018492723788,0.007809696751409448,2.2542044392818372,1.0
1.8241206030150754,0.014130852127576676,-0.00779150279589238,0.006339349331684296,2.176479129314916,1.0
1.8316582914572863,0.01265845174469659,-0.007667454558092916,0.004990997186603674,2.1001174212772415,1.0
1.8391959798994975,0.011291175471642868,-0.007532284887890344,0.0037588905837525237,2.0251193151688094,1.0
1.8467336683417086,0.010024762159991424,-0.007387344691058044,0.0026374174689333804,1.951484810989621,1.0
1.8542713567839195,0.008855028136744056,-0.0072339253129310305,0.0016211028238130257,1.879213908739679,1.0
1.8618090452261307,0.007777867204328352,-0.0070732591926579245,0.0007046080116704274,1.8083066084189792,1.0
1.8693467336683418,0.006789250640597895,-0.006906520529800993,-0.00011726988920309801,1.7387629100275235,1.0
1.8768844221105527,0.0058852271988321546,-0.006734825963759285,-0.0008495987649271303,1.6705828135653142,1.0
1.8844221105527639,0.005061923107736414,-0.006559235266518016,-0.0014973121587816022,1.603766319032347,1.0
1.8919597989949748,0.004315542071441952,-0.006380752049257586,-0.002065209977815634,1.5383134264286262,1.0
1.899497487437186,0.0036423652695058463,-0.006200324483388042,-0.002557959213882196,1.4742241357541475,1.0
1.9070351758793969,0.0030387513569111544,-0.006018846036610593,-0.002980094679699438,1.411498447008915,1.0
1.914572864321608,0.0025011364640667496,-0.005837156224645733,-0.0033360197605789834,1.3501363601929246,1.0
