r_cm,alpha,P_density
9.999999999999999e-05,2.00001,6400.0000000001455
0.02013987975951904,2.002013987975952,6399.999999997672
0.040179759519038086,2.004017975951904,6400.0
0.06021963927855713,2.006021963927856,6400.000000002328
0.08025951903807617,2.0080259519038077,6400.000000002328
0.1002993987975952,2.0100299398797596,6400.0
0.12033927855711424,2.0120339278557116,6400.0
0.14037915831663328,2.0140379158316635,6400.0
0.16041903807615232,2.0160419038076154,6400.0
0.18045891783567136,2.0180458917835673,6400.0
0.2004987975951904,2.020049879759519,6400.0
0.22053867735470944,2.022053867735471,6400.0
0.24057855711422851,2.024057855711423,6400.0
0.2606184368737475,2.026061843687375,6400.0
0.28065831663326657,2.0280658316633264,6399.999999995343
0.3006981963927856,2.0300698196392784,6400.0
0.32073807615230465,2.0320738076152303,6400.0
0.3407779559118237,2.034077795591182,6400.0
0.36081783567134273,2.036081783567134,6400.000000002328
0.3808577154308618,2.038085771543086,6399.999999997672
0.4008975951903808,2.040089759519038,6400.0
0.42093747494989986,2.04209374749499,6400.0
0.4409773547094189,2.0440977354709418,6400.000000002328
0.46101723446893794,2.0461017234468937,6400.000000002328
0.481057114228457,2.0481057114228456,6400.0
0.501096993987976,2.0501096993987975,6400.0
0.5211368737474951,2.0521136873747494,6400.000000002328
0.5411767535070141,2.0541176753507013,6399.999999997672
0.5612166332665331,2.0561216633266532,6400.0
0.5812565130260522,2.058125651302605,6400.0
0.6012963927855712,2.060129639278557,6400.0
0.6213362725450903,2.062133627254509,6400.0
0.6413761523046093,2.064137615230461,6400.0
0.6614160320641284,2.066141603206413,6400.0
0.6814559118236474,2.0681455911823647,6400.0
0.7014957915831664,2.0701495791583167,6400.0
0.7215356713426855,2.0721535671342686,6400.0
0.7415755511022045,2.0741575551102205,6400.000000002328
0.7616154308617235,2.0761615430861724,6400.0
0.7816553106212425,2.0781655310621243,6400.0
0.8016951903807615,2.0801695190380762,6400.0
0.8217350701402806,2.082173507014028,6400.0
0.8417749498997996,2.08417749498998,6400.0
0.8618148296593187,2.086181482965932,6400.0
0.8818547094188377,2.088185470941884,6400.0
0.9018945891783567,2.090189458917836,6400.0
0.9219344689378758,2.0921934468937877,6400.0
0.9419743486973948,2.0941974348697396,6400.0
0.9620142284569139,2.0962014228456916,6400.0
0.9820541082164329,2.0982054108216435,6400.0
1.002093987975952,2.1002093987975954,6400.0
1.022133867735471,2.1022133867735473,6400.0
1.0421737474949901,2.104217374749499,6400.0
1.062213627254509,2.106221362725451,6399.999999997672
1.082253507014028,2.1082253507014026,6399.999999997672
1.1022933867735472,2.1102293386773545,6400.0
1.122333266533066,2.1122333266533064,6400.0
1.1423731462925852,2.1142373146292583,6400.0
1.1624130260521042,2.1162413026052103,6400.0
1.1824529058116233,2.118245290581162,6400.0
1.2024927855711423,2.120249278557114,6400.0
1.2225326653306614,2.122253266533066,6400.0
1.2425725450901803,2.124257254509018,6400.0
1.2626124248496995,2.12626124248497,6400.0
1.2826523046092184,2.1282652304609218,6400.000000002328
1.3026921843687376,2.1302692184368737,6400.000000002328
1.3227320641282565,2.1322732064128256,6400.0
1.3427719438877757,2.1342771943887775,6400.0
1.3628118236472946,2.1362811823647294,6400.0
1.3828517034068137,2.1382851703406813,6400.0
1.402891583166333,2.1402891583166332,6400.0
1.4229314629258518,2.142293146292585,6400.0
1.442971342685371,2.144297134268537,6400.0
1.46301122244489,2.146301122244489,6400.0
1.483051102204409,2.148305110220441,6400.0
1.5030909819639278,2.150309098196393,6400.0
1.523130861723447,2.1523130861723447,6400.0
1.543170741482966,2.1543170741482967,6399.999999995343
1.5632106212424852,2.1563210621242486,6400.0
1.5832505010020044,2.1583250501002005,6400.000000002328
1.6032903807615233,2.1603290380761524,6400.0
1.6233302605210425,2.1623330260521043,6400.000000002328
1.6433701402805614,2.1643370140280562,6400.0
1.6634100200400805,2.166341002004008,6400.0
1.6834498997995995,2.16834498997996,6400.0
1.7034897795591186,2.170348977955912,6400.0
1.7235296593186376,2.172352965931864,6400.0
1.7435695390781565,2.174356953907816,6400.000000002328
1.7636094188376756,2.1763609418837677,6400.0
1.7836492985971946,2.1783649298597196,6400.0
1.8036891783567137,2.1803689178356715,6399.999999997672
1.8237290581162326,2.182372905811623,6400.0
1.8437689378757518,2.1843768937875754,6400.000000002328
1.8638088176352707,2.186380881763527,6399.999999997672
1.8838486973947899,2.1883848697394788,6400.0
1.9038885771543088,2.1903888577154307,6400.0
1.923928456913828,2.1923928456913826,6400.0
1.943968336673347,2.1943968336673345,6400.0
1.964008216432866,2.1964008216432864,6400.0
1.984048096192385,2.1984048096192383,6400.0
2.0040879759519044,2.2004087975951903,6400.0
2.024127855711423,2.202412785571142,6400.0
2.044167735470942,2.204416773547094,6400.0
2.0642076152304614,2.206420761523046,6400.000000002328
2.0842474949899805,2.208424749498998,6399.999999997672
2.1042873747494992,2.21042873747495,6400.0
2.1243272545090184,2.2124327254509017,6400.000000002328
2.1443671342685375,2.2144367134268537,6400.000000002328
2.1644070140280562,2.2164407014028056,6400.0
2.1844468937875754,2.2184446893787575,6400.0
2.2044867735470945,2.2204486773547094,6400.0
2.2245266533066137,2.2224526653306613,6400.0
2.2445665330661324,2.2244566533066132,6400.0
2.2646064128256516,2.226460641282565,6400.000000002328
2.2846462925851707,2.228464629258517,6400.000000002328
2.30468617234469,2.230468617234469,6400.0
2.3247260521042086,2.232472605210421,6400.0
2.3447659318637277,2.234476593186373,6400.0
2.364805811623247,2.2364805811623247,6400.0
2.384845691382766,2.2384845691382766,6399.999999997672
