delta_alpha,power
0.1,0.00804247719238575
0.2,0.1286796350781752
0.3,0.6514406525832092
0.4,2.058874161250739
0.5,5.02654824524103
0.6,10.4230504413318
0.7,19.309987738917876
0.7999999999999999,32.9419865800114
0.8999999999999999,52.76669285924215
0.9999999999999999,80.42477192385554
1.0999999999999999,117.74990857371662
1.2,166.76880706130842
1.3,229.7011910917253
1.4,308.95980382268584
1.5,407.1504078645231
1.5999999999999999,527.0717852801849
1.7,671.7157375852489
1.8,844.2670857478772
1.9,1048.1036701888968
2.0,1286.796350781683
