delta_alpha,suppression_pct
0.1,0.27984603892190485
0.2,0.5596920778438319
0.3,0.839538116765759
0.4,1.1193841556876971
0.5,1.3992301946095909
0.6,1.679076233531518
0.7,1.9589222724534339
0.7999999999999999,2.23876831137535
0.8999999999999999,2.5186143502972658
0.9999999999999999,2.798460389219193
1.0999999999999999,3.078306428141131
1.2,3.358152467063036
1.3,3.637998505984952
1.4,3.9178445449068677
1.5,4.197690583828795
1.5999999999999999,4.47753662275071
1.7,4.757382661672615
1.8,5.037228700594554
1.9,5.317074739516469
2.0,5.596920778438374
