z,alpha,mu,g_normalized,warp_factor
0.01,2.0,100.0,1.0,10000.0
0.03002004008016032,103.41984766404721,33.31108144192256,51.709923832023605,1109.6281468303976
0.050040080160320646,1103.734001389069,19.983980776932317,551.8670006945345,399.35948769280037
0.07006012024048096,5268.596728226881,14.273455377574372,2634.2983641134406,203.73152841560676
0.09008016032064128,16935.31878439793,11.101223581757509,8467.659392198964,123.23716501216902
0.11010020040080161,43023.58872016435,9.082635602475428,21511.794360082175,82.49426948735417
0.13012024048096194,93494.37963266374,7.685199445556753,46747.18981633187,59.06229051798583
0.15014028056112227,181772.96492515766,6.660437800320341,90886.48246257883,44.361431691936055
0.1701603206412826,325144.96704882267,5.876810740784359,162572.48352441133,34.53690448299841
0.1901803607214429,545131.073963017,5.258166491043203,272565.5369815085,27.648314847529587
0.21020040080160324,867844.2676615963,4.757364858423109,433922.13383079815,22.632520396159133
0.23022044088176355,1324332.3358356357,4.343662952646239,662166.1679178178,18.867407846191448
0.25024048096192386,1950907.7563724793,3.9961560022423317,975453.8781862396,15.969262794257414
0.2702605210420842,2789466.5789895426,3.7001334717484795,1394733.2894947713,13.690987708753456
0.29028056112224454,3887797.5791406534,3.4449430445288223,1943898.7895703267,11.86763258004751
0.3103006012024048,5299882.746835553,3.2226814776543526,2649941.3734177765,10.385675906416441
0.33032064128256516,7086189.945798707,3.027361523994418,3543094.9728993536,9.164917796961806
0.3503406813627255,9313958.50364894,2.8543644891888795,4656979.25182447,8.147396637142494
0.3703607214428858,12057478.335191838,2.700070342513933,6028739.167595919,7.290379854523307
0.3903807615230461,15398363.112104254,2.561601642710472,7699181.556052127,6.561802975936988
0.41040080160320647,19425817.951100573,2.4366424141803797,9712908.975550286,5.937226254582789
0.43042084168336675,24236902.012308653,2.323307570537294,12118451.006154327,5.397758067315904
0.4504408817635271,29936786.37192361,2.220047159318414,14968393.185961805,4.92860938959776
0.47046092184368743,36639007.48966848,2.1255750553757027,18319503.74483424,4.5180693160354215
0.4904809619238477,44465716.34910003,2.038815117466803,22232858.174550015,4.156767083211173
0.510501002004008,53547924.07764269,1.958860014132056,26773962.038821343,3.8371325549654385
0.5305210420841684,64025743.538272925,1.8849393721905336,32012871.769136462,3.552996436834043
0.5505410821643287,76048627.53575532,1.8163948747815957,38024313.76787766,3.2992903411328487
0.5705611222444891,89775603.89788848,1.7526606020160862,44887801.94894424,3.0718191858593897
0.5905811623246493,105375507.21504356,1.6932473702069901,52687753.60752178,2.8670866567128876
0.6106012024048096,123027207.68566106,1.6377301519577274,61513603.84283053,2.682160050631481
0.63062124248497,142919837.23115516,1.5857378924621837,71459918.61557758,2.514564663590408
0.6506412825651303,165253012.763939,1.5369452059013766,82626506.3819695,2.362200565943225
0.6706613226452907,190237057.00500715,1.4910655590748818,95118528.50250357,2.22327650145929
0.690681362725451,218093216.78890935,1.4478456405048599,109046608.39445467,2.096256998728928
0.7107014028056113,249053878.38114062,1.4070606812542295,124526939.19057031,1.9798197607316164
0.7307214428857716,283362782.3674241,1.3685105449359625,141681391.18371204,1.872821111600925
0.7507414829659319,321275233.8015235,1.3320164433292403,160637616.90076175,1.7742678052994791
0.7707615230460922,363058312.5451156,1.2974181638542939,181529156.2725578,1.6832938918990474
0.7907815631262526,408991079.96969694,1.264571718195641,204495539.98484847,1.599141630460276
0.8108016032064129,459364784.58508825,1.2333473392817418,229682392.29254413,1.5211456593133519
0.8308216432865733,514483065.71138734,1.20362776786145,257241532.85569367,1.4487198035671365
0.8508416833667335,574662154.6446092,1.1753067809784017,287331077.3223046,1.3813460294138127
0.8708617234468938,640231075.331719,1.1482879234167893,320115537.6658595,1.3185651550648423
0.8908817635270542,711531841.7165536,1.1224834101900798,355765920.8582768,1.2599690061519508
0.9109018036072145,788919655.2136143,1.097813173758085,394459827.6068072,1.2051937644767992
0.9309218436873749,872763098.889144,1.0742040341850903,436381549.444572,1.1539143070595226
0.9509418837675352,963444331.5424076,1.051588974121217,481722165.7712038,1.1058393704933136
0.9709619238476954,1061359279.2150455,1.0299065034777404,530679639.6075227,1.0607074059057449
0.9909819639278558,1166917826.244158,1.0091001011122345,583458913.122079,1.0182830140647219
1.011002004008016,1280544003.8234482,0.9891177228488176,640272001.9117241,0.9783538696536304
1.0310220440881765,1402676176.6747155,0.9699113668169801,701338088.3373578,0.9407280594807825
1.0510420841683368,1533767230.6580262,0.9514366884664518,766883615.3290131,0.905231772160008
1.071062124248497,1674284759.7381432,0.9336526587583729,837142379.8690716,0.8717072872065786
1.0910821643286575,1824711245.8860216,0.9165212599871428,912355622.9430108,0.8400112200084199
1.1111022044088177,1985544242.7346587,0.9000072144866892,992772121.3673294,0.8100129861280894
1.1311222444889781,2157296559.8186913,0.8840777421469446,1078648279.9093456,0.7815934541596394
1.1511422845691384,2340496439.43711,0.8687023432331743,1170248219.718555,0.7546437611388078
1.1711623246492986,2535687735.666044,0.8538526034804332,1267843867.833022,0.7290642684703139
1.191182364729459,2743430094.795537,0.8395020188425302,1371715047.3977685,0.7047636396406839
1.2112024048096193,2964299130.803937,0.8256258376214034,1482149565.4019685,0.681658023748044
1.2312224448897797,3198886599.797454,0.8122009179986327,1599443299.898727,0.6596703311978217
1.25124248496994,3447800576.1488276,0.799205599244038,1723900288.0744138,0.6387295898630219
1.2712625250501004,3711665627.0992417,0.7866195850936376,1855832813.5496209,0.6187703716528866
1.2912825651302606,3991122983.0194144,0.774423837976255,1995561491.5097072,0.5997322808258729
1.3113026052104209,4286830709.9468355,0.7626004829293639,2143415354.9734178,0.581559496564099
