alpha,V_tree,V_1loop,V_2loop,ratio_1loop,ratio_2loop_1loop
2.0,0.0,-0.0039666787520093744,-2.2941649067831526e-07,inf,5.78359138768425e-05
2.125,0.002197265625,-0.0025513705127138057,-2.565553940294906e-07,1.1611570688973054,0.00010055591406698566
2.25,0.00390625,-0.0023747152416173038,-5.674000351945948e-13,0.6079271018540298,2.389339257401515e-10
2.375,0.002197265625,-0.0025513705127138057,-2.565553940294906e-07,1.1611570688973054,0.00010055591406698566
2.5,0.0,-0.003966678752012771,-2.2941649067790175e-07,inf,5.7835913876688725e-05
