t_ms,F_nl_pN,F_v1_pN,z_nl_pm
0.0,394.7841760435744,160.00671352874687,0.0
0.0005002501250625312,394.3942781756511,159.927680868139,4.93730140595076e-09
0.0010005002501250625,393.2261248600348,159.69066096005736,1.973945805877778e-08
0.0015007503751875938,391.28433087629196,159.29588794860186,4.4377265771076594e-08
0.002001000500250125,388.5765672647543,158.74375181692682,7.880217910395316e-08
0.0025012506253126563,385.1135310221411,158.0347980019898,1.229465031453602e-07
0.0030015007503751876,380.9089028431656,157.16972685573234,1.7672366093826154e-07
0.003501750875437719,375.97929307506956,156.14939295322569,2.400285355021519e-07
0.00400200100050025,370.3441760985896,154.97480424846424,3.1273788509677853e-07
0.004502251125562782,364.02581339458504,153.64712107864162,3.9471083008757025e-07
0.0050025012506253125,357.04916560025,152.16765501789163,4.857894094894144e-07
0.005502751375687844,349.44179390233234,150.53786758162795,5.857992049901622e-07
0.006003001500750375,341.2337511569039,148.75936878276167,6.945500299886619e-07
0.006503251625812907,332.4574631658126,146.83391554122264,8.118366809252804e-07
0.007003501750875438,323.1476005788327,144.7634099483569,9.374397479367907e-07
0.007503751875937969,313.34094192756277,142.54989738791377,1.071126481633138e-06
0.0080040020010005,303.07622833215544,140.19556451547882,1.212651712571892e-06
0.008504252126063032,292.3940104548562,137.7027370983497,1.3617588197980063e-06
0.009004502251125564,281.3364883049645,135.07387771798773,1.5181807446226825e-06
0.009504752376188095,269.9473445280611,132.31158333731545,1.6816410456364085e-06
0.010005002501250625,258.271571838095,129.41858273526316,1.8518549907883569e-06
0.010505252626313157,246.3552952740564,126.39773381109862,2.028530682217886e-06
0.011005502751375688,234.24558998340913,123.25202076120341,2.2113702093945127e-06
0.011505752876438218,221.99029525212774,119.98455113108434,2.4000708260108886e-06
0.01200600300150075,209.6378255160124,116.59855274553242,2.594326145979464e-06
0.012506253126563283,197.2369790998792,113.09737051996173,2.7938273538080777e-06
0.013006503251625815,184.83674544019993,109.48446315607868,2.9982644245728868e-06
0.013506753376688344,172.48611155275745,105.7633997251454,3.2073273486691445e-06
0.014007003501750876,160.23386850986347,101.9378561422126,3.4207073565014657e-06
0.014507253626813408,148.12841869164944,98.01161153480508,3.6380981382754354e-06
0.015007503751875938,136.21758457288323,93.98854450964733,3.859197054071806e-06
0.01550775387693847,124.54841980069533,89.87262932111634,4.083706329422882e-06
0.016008004002001,113.16702330955424,85.667931945208,4.311334231667967e-06
0.01650825412706353,102.11835720782341,81.378606062894,4.541796222440729e-06
0.017008504252126064,91.44606915534204,77.0088889568385,4.774816081735553e-06
0.017508754377188594,81.19231993372239,72.56309732552728,5.010126999112269e-06
0.018009004502251128,71.39761689054643,68.04562301894431,5.247472627728505e-06
0.01850925462731366,62.100653915440276,63.46092870000928,5.486608097035661e-06
0.01900950475237619,53.33815858019753,58.81354343606077,5.7273009801378935e-06
0.01950975487743872,45.14474704682471,54.108058224741,5.96933221199256e-06
0.02001000500250125,37.55278731669321,49.349121458701845,6.212496954824764e-06
0.02051025512756378,30.59227136102944,44.54143433361174,6.456605407337229e-06
0.021010505252626314,24.29069663789213,39.6897462040007,6.701483554518671e-06
0.021510755377688845,18.6729574637024,34.79884989153064,6.946973855088588e-06
0.022011005502751375,13.761246668461848,29.873576950325866,7.192935863862744e-06
0.02251125562781391,9.57496792316969,24.918792894041026,7.439246786580642e-06
0.023011505752876436,6.130659085788613,19.939392389382025,7.685801965003181e-06
0.02351175587793897,3.4419268685796585,14.940294420826813,7.932515290364146e-06
0.0240120060030015,1.5193930849034003,9.926437431324302,8.179319543542118e-06
0.02451225612806403,0.3706526878380044,4.902774443770153,8.42616666060905e-06
0.025012506253126565,0.00024376638290391205,0.1257318319199611,8.673027922706398e-06
0.025512756378189096,0.4096296177774458,5.154113901306684,8.919894069498707e-06
0.02601300650325163,1.5971929667578058,10.177404392650084,9.166775335756508e-06
0.026513256628314157,3.5582423545889004,15.190640964011033,9.413701410923927e-06
0.027013506753376687,6.285030672631578,20.18887120538434,9.660721321830805e-06
0.02751375687843922,9.76678576722826,25.167157531020106,9.907903239012627e-06
0.02801400700350175,13.989752995002636,30.120582057100656,1.0155334207403405e-05
0.028514257128564282,18.937249560459588,35.04425145995506,1.0403119802465435e-05
0.029014507253626816,24.589730421224207,39.933301810010896,1.065138371311433e-05
0.029514757378689346,30.924865500562582,44.78290337670877,1.0900267253087039e-05
0.030015007503751877,37.91762790215692,49.588265399633094,1.1149928802683145e-05
0.030515257628814407,45.54039277864284,54.34464082114515,1.1400543183084874e-05
0.03101550775387694,53.763046463329715,59.047330975843636,1.165230096572751e-05
0.03151575787893947,62.55310543398042,63.69169023222037,1.19054077194486e-05
0.032016008004002,71.87584463868522,68.27313058192559,1.2160083198390044e-05
0.032516258129064536,81.69443467687869,72.78712617210896,1.2416560473861244e-05
0.03301650825412706,91.97008729356716,77.22921777635909,1.2675085013592923e-05
0.0335167583791896,102.66220861199649,81.59501719982613,1.2935913712018987e-05
0.03401700850425213,113.72855949940852,85.8802116141728,1.3199313875417262e-05
0.03451725862931466,125.12542243237141,90.080567818075,1.3465562165918374e-05
0.03501750875437719,136.80777420247682,94.19193641906071,1.3734943508554401e-05
0.03551775887943972,148.7294637801357,98.21025593255715,1.4007749965664986e-05
0.036018009004502256,160.84339463382042,102.13155679409628,1.428427958310759e-05
0.03651825912956478,173.1017107845062,105.95196528071625,1.4564835212829919e-05
0.03701850925462732,185.45598586030178,109.66770733768334,1.4849723316455933e-05
0.03751875937968985,197.85741440441228,113.27511230675555,1.5139252754611825e-05
0.03801900950475238,210.25700468067438,116.77061655230405,1.5433733566774815e-05
0.03851925962981491,222.60577221498582,120.15076698171035,1.573347574646487e-05
0.03901950975487744,234.854933308047,123.41222445656211,1.6038788016617987e-05
0.03951975987993997,246.95609775494205,126.55176709127699,1.634997660997889e-05
0.0400200100050025,258.8614600102262,129.56629343589654,1.6667344059331245e-05
0.04052026013006504,270.52398804331744,132.45282553990566,1.699118800234451e-05
0.04102051025512756,281.8976091381284,135.20851189405096,1.7321800005758873e-05
0.0415207603801901,292.9373919029311,137.83063024725234,1.7659464413553412e-05
0.04202101050525263,303.5997237714323,140.31659029582426,1.800445722364762e-05
0.04252126063031515,313.842483293838,142.66393624235073,1.8357044997574037e-05
0.04302151075537769,323.62520653727836,144.87034922168647,1.871748380742923e-05
0.04352176088044022,332.9092469382222,146.93364959168622,1.9086018224263166e-05
0.04402201100550275,341.6579279753934,148.8517990864012,1.946288035190341e-05
0.04452226113056528,349.83668806005056,150.6229028296147,1.984828891003097e-05
0.04502251125562782,357.41321707124354,152.2452112067265,2.0242448370130066e-05
0.04552276138069035,364.35758399666764,153.71712159314006,2.0645548147725326e-05
0.04602301150575287,370.64235517486804,155.0371799374415,2.1057761854097375e-05
0.04652326163081541,376.2427026716831,156.20408219780896,2.1479246610432988e-05
0.04702351175587794,381.1365023627818,157.21667563023226,2.1910142427119193e-05
0.04752376188094047,385.30442133482717,158.07395992727038,2.2350571650633447e-05
0.048024012006003,388.7299942599814,158.775088206222,2.280063848021495e-05
0.04852426213106554,391.3996884420431,159.31936784573278,2.3260428556226423e-05
0.04902451225612806,393.3029572772444,159.706261170013,2.3730008621832623e-05
0.04952476238119059,394.43228191851983,159.93538597998972,2.420942625933205e-05
0.05002501250625313,394.78320097864474,160.00651593086855,2.4698709702183458e-05
0.050525262631315654,394.3543281549089,159.91958075573191,2.519786772346984e-05
0.05102551275637819,393.1473577056912,159.67466633495377,2.5706889601240462e-05
0.05152576288144072,391.16705775730867,159.2720146113609,2.6225745160867794e-05
0.05202601300650326,388.4212514675732,158.71202335122595,2.675438489425214e-05
0.05252626313156578,384.92078612047516,157.99524575132722,2.729274015540294e-05
0.05302651325662831,380.67949027408105,157.12238989246353,2.784072343162421e-05
0.05352676338169085,375.7141191309358,156.09431803996546,2.8398228689232622e-05
0.054027013506753374,370.04428834677844,154.9120457918914,2.896513179244268e-05
0.05452726363181591,363.69239653906544,153.57674107575215,2.9541290993764103e-05
0.05502751375687844,356.68353680142474,152.08972299475425,3.0126547493974005e-05
0.05552776388194097,349.04539757360783,150.45246052470162,3.0720726069451874e-05
0.0560280140070035,340.808153258547,148.666571062843,3.1323635764398976e-05
0.05652826413206603,332.0043450186383,146.73381883009884,3.1935070645207584e-05
0.057028514257128564,322.66875222216106,144.65611312824655,3.255481061399988e-05
0.057528764382191094,312.8382550476836,142.43550645378383,3.3182622278122784e-05
0.05802901450725363,302.55168878923837,140.0741924703362,3.3818259872163536e-05
0.058529264632316155,291.8496904378272,137.57450384160907,3.446146622884388e-05
0.05902951475737869,280.774538145341,134.9389099270271,3.5111973794957184e-05
0.05952976488244122,269.36998420508667,132.1700143423355,3.5769505688335e-05
0.060030015007503754,257.6810822087303,129.27055238757495,3.643377679166774e-05
0.060530265132566284,245.75400906247296,126.24338834496905,3.710449487885813e-05
0.061030515257628815,233.63588256558336,123.09151264939528,3.778136176945785e-05
0.06153076538269135,221.37457527193854,119.8180389342337,3.846407450662684e-05
0.06203101550775388,209.018525369914,116.42620095551142,3.915232655396166e-05
0.0625312656328164,196.6165453277408,112.91934939738299,3.9845809006464896e-05
0.06303151575787894,184.21762906026984,109.30094856210007,4.054421181087176e-05
0.06353176588294147,171.87075837893792,105.57457294774295,4.1247224990512684e-05
0.064032016008004,159.62470948954348,101.74390371709204,4.195453986987357e-05
0.06453226613306653,147.52786030226792,97.81272506112921,4.266585029401573e-05
0.06503251625812907,135.62799931516147,93.78492046076201,4.3380853838038306e-05
0.06553276638319161,123.97213682609295,89.66446885046062,4.40992530018052e-05
0.06603301650825412,112.60631921897634,85.45544068760148,4.4820756385216845e-05
0.06653326663331666,101.57544705792793,81.16199393139667,4.5545079839383746e-05
0.0670335167583792,90.92309770797915,76.78836993538525,4.6271947589154195e-05
0.06753376688344172,80.69135318306991,72.33888925753968,4.7001093322561646e-05
0.06803401700850426,70.92063390141846,67.81794739213068,4.773226124288781e-05
0.06853426713356679,61.64953900500832,63.23001042756409,4.846520707918542e-05
0.06903451725862932,52.914693874012016,58.57961063448054,4.919969905126841e-05
0.06953476738369184,44.750605438543616,53.871341988475564,4.9935518785357686e-05
0.07003501750875438,37.1895258593298,49.10985563186366,5.067246217676468e-05
0.07053526763381691,30.26132511582798,44.299855278969254,5.141034019620526e-05
0.07103551775887944,23.99337300513074,39.44609256948317,5.214897963655825e-05
0.07153576788394198,18.410431017819924,34.55336237447616,5.288822379711867e-05
0.07203601800900451,13.534554517911278,29.626498059704073,5.36279331026425e-05
0.07253626813406704,9.385005613330545,24.67036671088692,5.436798565473749e-05
0.07303651825912956,5.978177061122072,19.68986432567565,5.510827771342175e-05
0.0735367683841921,3.3275275080049806,14.689910977059936,5.584872410694754e-05
0.07403701850925463,1.4435283221047004,9.675445952990039,5.65892585682716e-05
0.07453726863431716,0.333622225904321,4.651422877018833,5.732983399684253e-05
0.0750375187593797,0.002193893833708853,0.3771951852185876,5.80704226446711e-05
0.07553776888444222,0.4505526306511121,5.4054406288527135,5.8811016225948384e-05
0.07603801900950476,1.6769271990460404,10.42834621711159,5.955162594977892e-05
0.07653826913456728,3.6764728168969345,15.440949988289137,6.0292282475899074e-05
0.07703851925962982,6.4412902965410215,20.438300157502432,6.103303579355613e-05
0.07753876938469235,9.96045725044694,25.415460008395755,6.177395502402615e-05
0.07803901950975488,14.220071240011748,30.36751276995826,6.251512814755097e-05
0.0785392696348174,19.20330469702482,35.289566473639546,6.325666165577306e-05
0.07903951975987994,24.89047140083062,40.176758785963045,6.399868013104119e-05
0.07953976988494248,31.25910424857255,45.02426181186325,6.474132575424889e-05
0.080040020010005,38.28404401128818,49.827286864003064,6.548475774315013e-05
0.08054027013506754,45.937538725226524,54.58108919335971,6.62291517233709e-05
0.08104052026013008,54.18935332574001,59.28097267640427,6.69746990346018e-05
0.0815407703851926,63.00688909064601,63.922294454246405,6.772160597471207e-05
0.08204102051025512,72.35531242119669,68.50046951916046,6.847009298477182e-05
0.08254127063531766,82.19769245190948,73.01097524396253,6.92203937782014e-05
0.0830415207603802,92.49514694563167,77.44935584976363,6.997275441748858e-05
0.08354177088544272,103.20699589748183,81.8112268076858,7.072743234212079e-05
0.08404202101050526,114.29092224085753,86.09227917019275,7.148469535157269e-05
0.0845422711355678,125.70313902063927,90.28828382775563,7.224482054736662e-05
0.0850425212606303,137.3985623731799,94.39509568665068,7.300809323838548e-05
0.08554277138569284,149.3309896297174,98.40865776375949,7.377480581376248e-05
0.08604302151075538,161.453281839617,102.32500519432769,7.454525658780028e-05
0.08654327163581792,173.7175499923878,106.14026914872304,7.531974862148306e-05
0.08704352176088044,186.07534420280598,109.85068065432466,7.60985885252366e-05
0.08754377188594298,198.47784511176587,113.45257431876534,7.688208524766656e-05
0.0880440220110055,210.87605674673569,116.94239195085099,7.767054885505957e-05
0.08854427213606803,223.22100007992483,120.31668607558014,7.846428930646919e-05
0.08904452226113056,235.46390651950577,123.5721233397891,7.92636152292252e-05
0.0895447723861931,247.556410569518,126.70548780506202,8.006883269970409e-05
0.09004502251125564,259.45074089733913,129.71368412464884,8.088024403417699e-05
0.09054527263631816,271.0999090539219,132.59374060125623,8.169814659451181e-05
0.0910455227613807,282.4578951012547,135.34281212268797,8.252283161344779e-05
0.09154577288644322,293.47982941372925,137.95818297243764,8.335458304408301e-05
0.09204602301150575,304.12216993520946,140.43726951245452,8.419367643812032e-05
0.09254627313656828,314.34287419154475,142.77762273543368,8.50403778573025e-05
0.09304652326163082,324.10156537900275,144.97693068410908,8.589494282233775e-05
0.09354677338669336,333.35969187248156,147.03302073515948,8.675761530346735e-05
0.09404702351175588,342.0806795233723,148.943861745471,8.762862675666331e-05
0.0945472736368184,350.2300761454159,150.70756605863573,8.850819520926358e-05
0.09504752376188094,357.7756876177684,152.32239136970523,8.939652439865691e-05
0.09554777388694347,364.68770506759404,153.7867424463552,9.029380296742008e-05
0.096048024012006,370.93882262976155,155.09917270476313,9.1200203718087e-05
0.09654827413706854,376.50434531842825,156.25838563863994,9.211588293049382e-05
0.09704852426213108,381.3622865843666,157.26323610000594,9.304097974439682e-05
0.0975487743871936,385.49345517263737,158.11273143044411,9.397561560980193e-05
0.09804902451225612,388.88153093747655,158.80603244171468,9.491989380717757e-05
0.09854927463731866,391.51312931488974,159.3424542447613,9.587389903944613e-05
0.09904952476238119,393.3778541982561,159.7214669262901,9.683769709736567e-05
0.09954977488744372,394.468339008058,159.94269607225354,9.781133459962419e-05
0.10005002501250626,394.7802757934893,160.00592313772148,9.879483880867286e-05
0.1005502751375688,394.3124322509783,159.91108566277472,9.978821752302601e-05
0.10105052526263131,393.0666565923916,159.6582773342068,0.00010079145904645306
0.10155077538769385,391.0478702436897,159.24774789297402,0.00010180453223418452
