Metric,Value
Max_Ponderomotive_pN,394.7841760435744
Mean_DC_Thrust_pN,197.4907840657981
Mean_Drift_1ms_pm,0.009928772238173128
Mean_AC_Vibration_fm,0.0026164436286611843
