x,alpha,phi,P_local
0.0,2.0,0.0,0.29042900361767
0.016666666666666666,2.0166666666666666,0.0060506042420348126,0.2851360076459503
0.03333333333333333,2.033333333333333,0.011880666985247972,0.27458888278746574
0.05,2.05,0.017491807691512592,0.2641180326186476
0.06666666666666667,2.066666666666667,0.022885585011024848,0.2537205485699976
0.08333333333333333,2.0833333333333335,0.028063497215262388,0.24339354245150285
0.1,2.1,0.03302698261317084,0.2331341456503591
0.11666666666666667,2.1166666666666667,0.03777741995069405,0.22293950833411805
0.13333333333333333,2.1333333333333333,0.04231612879375912,0.2128067986590812
0.15,2.15,0.046644369894822464,0.202733201983672
0.16666666666666666,2.1666666666666665,0.05076334554307882,0.19271592008659175
0.18333333333333332,2.183333333333333,0.05467419989843048,0.1827521703895376
0.2,2.2,0.05837801930930948,0.17283918518425537
0.21666666666666667,2.216666666666667,0.06187583261444105,0.1629742108637448
0.23333333333333334,2.2333333333333334,0.0651686114286322,0.15315450715736575
0.25,2.25,0.06825727041266465,0.1433773463696411
0.26666666666666666,2.2666666666666666,0.07114266752736727,0.13364001262257438
0.2833333333333333,2.283333333333333,0.0738256042719386,0.12393980110123604
0.3,2.3,0.07630682590658545,0.11427401730242585
0.31666666666666665,2.3166666666666664,0.0785870216595397,0.10463997628620117
0.3333333333333333,2.3333333333333335,0.08066682491851046,0.09503500193005447
0.35,2.35,0.08254681340662526,0.0854564261855543
0.36666666666666664,2.3666666666666667,0.08422750934290857,0.07590158833721779
0.3833333333333333,2.3833333333333333,0.08570937958734268,0.06636783426341951
0.4,2.4,0.08699283577055106,0.056852515699139204
0.4166666666666667,2.4166666666666665,0.08807823440814015,0.047352989500330865
0.43333333333333335,2.4333333333333336,0.08896587699973149,0.03786661690971608
0.45,2.45,0.08965601011271164,0.02839076282379883
0.4666666666666667,2.466666666666667,0.09014882545072311,0.01892279506088872
0.48333333333333334,2.4833333333333334,0.09044445990691534,0.009460083629939631
0.5,2.5,0.0905429956019706,-3.330669073875458e-16
0.5166666666666666,2.5166666666666666,0.09044445990691533,-0.00946008362994063
0.5333333333333333,2.533333333333333,0.09014882545072307,-0.018922795060890053
0.55,2.55,0.08965601011271157,-0.028390762823800163
0.5666666666666667,2.5666666666666664,0.0889658769997314,-0.03786661690971741
0.5833333333333334,2.5833333333333335,0.08807823440814003,-0.047352989500331864
0.6,2.6,0.08699283577055092,-0.05685251569913954
0.6166666666666667,2.6166666666666667,0.08570937958734254,-0.06636783426341984
0.6333333333333333,2.6333333333333333,0.08422750934290842,-0.07590158833721812
0.65,2.65,0.0825468134066251,-0.0854564261855543
0.6666666666666666,2.6666666666666665,0.08066682491851031,-0.09503500193005447
0.6833333333333333,2.6833333333333336,0.07858702165953954,-0.10463997628620084
0.7,2.7,0.07630682590658532,-0.11427401730242552
0.7166666666666667,2.716666666666667,0.07382560427193846,-0.12393980110123604
0.7333333333333333,2.7333333333333334,0.07114266752736713,-0.13364001262257438
0.75,2.75,0.06825727041266451,-0.14337734636964045
0.7666666666666666,2.7666666666666666,0.06516861142863209,-0.15315450715736476
0.7833333333333333,2.783333333333333,0.061875832614440955,-0.16297421086374414
0.8,2.8,0.058378019309309394,-0.1728391851842524
0.8166666666666667,2.8166666666666664,0.05467419989843041,-0.18275217038953673
0.8333333333333334,2.8333333333333335,0.05076334554307877,-0.19271592008659366
0.85,2.85,0.04664436989482242,-0.2027332019836717
0.8666666666666667,2.8666666666666667,0.04231612879375909,-0.212806798659081
0.8833333333333333,2.8833333333333333,0.037777419950694016,-0.22293950833411805
0.9,2.9,0.0330269826131708,-0.23313414565035886
0.9166666666666666,2.9166666666666665,0.028063497215262363,-0.2433935424515058
0.9333333333333333,2.9333333333333336,0.022885585011024827,-0.25372054856999743
0.95,2.95,0.017491807691512574,-0.26411803261864386
0.9666666666666667,2.966666666666667,0.011880666985247961,-0.27458888278746546
0.9833333333333333,2.9833333333333334,0.006050604242034807,-0.2851360076459501
1.0,3.0,0.0,-0.2904290036176697
