L,N,realization_seed,walk_index,first_passage_time
8,512,49,27,53
8,512,49,28,1029
8,512,49,29,2657
8,512,49,30,1321
8,512,49,31,838
8,512,49,32,4095
8,512,49,33,800
8,512,49,34,1069
8,512,50,0,214
8,512,50,1,490
8,512,50,2,100
8,512,50,3,953
8,512,50,4,953
8,512,50,5,1073
8,512,50,6,964
8,512,50,7,46
8,512,50,8,1333
8,512,50,9,489
8,512,50,10,252
8,512,50,11,2247
8,512,50,12,981
8,512,50,13,1170
8,512,50,14,1246
8,512,50,15,178
8,512,50,16,1074
8,512,50,17,22
8,512,50,18,1711
8,512,50,19,1148
8,512,50,20,391
8,512,50,21,31
8,512,50,22,3067
8,512,50,23,3157
8,512,50,24,575
8,512,50,25,165
8,512,50,26,1681
8,512,50,27,850
8,512,50,28,850
8,512,50,29,566
8,512,50,30,846
8,512,50,31,308
8,512,50,32,222
8,512,50,33,576
8,512,50,34,287
8,512,51,0,1844
8,512,51,1,604
8,512,51,2,1512
8,512,51,3,3141
8,512,51,4,914
8,512,51,5,138
8,512,51,6,265
8,512,51,7,454
8,512,51,8,723
8,512,51,9,357
8,512,51,10,1220
8,512,51,11,1556
8,512,51,12,923
8,512,51,13,306
8,512,51,14,659
8,512,51,15,218
8,512,51,16,2135
8,512,51,17,955
8,512,51,18,263
8,512,51,19,310
8,512,51,20,408
8,512,51,21,56
8,512,51,22,518
8,512,51,23,959
8,512,51,24,237
8,512,51,25,453
8,512,51,26,533
8,512,51,27,224
8,512,51,28,791
8,512,51,29,40
8,512,51,30,71
8,512,51,31,1084
8,512,51,32,279
8,512,51,33,372
8,512,51,34,742
10,1000,52,0,1579
10,1000,52,1,2687
10,1000,52,2,387
10,1000,52,3,1201
10,1000,52,4,1268
10,1000,52,5,3888
10,1000,52,6,73
10,1000,52,7,1791
10,1000,52,8,2645
10,1000,52,9,1086
10,1000,52,10,1396
10,1000,52,11,492
10,1000,52,12,7781
10,1000,52,13,1651
10,1000,52,14,7373
10,1000,52,15,1175
10,1000,52,16,587
10,1000,52,17,507
10,1000,52,18,891
10,1000,52,19,3232
10,1000,52,20,1779
10,1000,52,21,299
10,1000,52,22,313
10,1000,52,23,2872
10,1000,52,24,2381
10,1000,52,25,1313
10,1000,52,26,1526
10,1000,52,27,4610
10,1000,52,28,5711
10,1000,52,29,2526
10,1000,52,30,1319
10,1000,52,31,1542
10,1000,52,32,35
10,1000,52,33,1561
10,1000,52,34,1434
10,1000,53,0,654
10,1000,53,1,3503
10,1000,53,2,2223
10,1000,53,3,657
10,1000,53,4,319
10,1000,53,5,1242
10,1000,53,6,649
10,1000,53,7,2713
10,1000,53,8,946
10,1000,53,9,224
10,1000,53,10,4610
10,1000,53,11,4970
10,1000,53,12,768
10,1000,53,13,1267
10,1000,53,14,1790
10,1000,53,15,4316
10,1000,53,16,1287
10,1000,53,17,901
10,1000,53,18,1680
10,1000,53,19,4547
10,1000,53,20,2425
10,1000,53,21,3908
10,1000,53,22,4141
10,1000,53,23,2283
10,1000,53,24,2977
10,1000,53,25,5866
10,1000,53,26,368
10,1000,53,27,1779
10,1000,53,28,409
10,1000,53,29,2026
10,1000,53,30,707
10,1000,53,31,1101
10,1000,53,32,2527
10,1000,53,33,2080
10,1000,53,34,3284
10,1000,54,0,3473
10,1000,54,1,91
10,1000,54,2,1717
10,1000,54,3,5805
10,1000,54,4,1995
10,1000,54,5,3205
10,1000,54,6,1147
10,1000,54,7,1916
10,1000,54,8,5843
10,1000,54,9,394
10,1000,54,10,436
10,1000,54,11,115
10,1000,54,12,1199
10,1000,54,13,705
10,1000,54,14,1024
10,1000,54,15,576
10,1000,54,16,2499
10,1000,54,17,597
10,1000,54,18,942
10,1000,54,19,5245
10,1000,54,20,1953
10,1000,54,21,5623
10,1000,54,22,201
10,1000,54,23,1543
10,1000,54,24,2422
10,1000,54,25,1753
10,1000,54,26,14729
10,1000,54,27,6954
10,1000,54,28,1903
10,1000,54,29,881
10,1000,54,30,274
10,1000,54,31,2334
10,1000,54,32,976
10,1000,54,33,1369
10,1000,54,34,58
10,1000,55,0,162
10,1000,55,1,397
10,1000,55,2,2212
10,1000,55,3,239
10,1000,55,4,193
10,1000,55,5,2358
10,1000,55,6,2600
10,1000,55,7,422
10,1000,55,8,307
10,1000,55,9,480
10,1000,55,10,4171
10,1000,55,11,1152
10,1000,55,12,1440
10,1000,55,13,2853
10,1000,55,14,2222
10,1000,55,15,754
10,1000,55,16,716
10,1000,55,17,500
10,1000,55,18,970
10,1000,55,19,168
10,1000,55,20,1621
10,1000,55,21,2589
10,1000,55,22,601
10,1000,55,23,4286
10,1000,55,24,62
10,1000,55,25,2063
10,1000,55,26,2252
10,1000,55,27,1426
10,1000,55,28,33
10,1000,55,29,754
10,1000,55,30,2001
10,1000,55,31,5762
10,1000,55,32,744
10,1000,55,33,101
10,1000,55,34,234
10,1000,56,0,435
10,1000,56,1,6474
10,1000,56,2,3062
10,1000,56,3,2318
10,1000,56,4,325
10,1000,56,5,141
10,1000,56,6,207
10,1000,56,7,6940
10,1000,56,8,2765
10,1000,56,9,752
