L,N,realization_seed,walk_index,first_passage_time
18,5832,76,34,25514
20,8000,77,0,18305
20,8000,77,1,28319
20,8000,77,2,12628
20,8000,77,3,20146
20,8000,77,4,11242
20,8000,77,5,18010
20,8000,77,6,7617
20,8000,77,7,27930
20,8000,77,8,35834
20,8000,77,9,7081
20,8000,77,10,22094
20,8000,77,11,18069
20,8000,77,12,113990
20,8000,77,13,4585
20,8000,77,14,14060
20,8000,77,15,6069
20,8000,77,16,36918
20,8000,77,17,18269
20,8000,77,18,48803
20,8000,77,19,10111
20,8000,77,20,1768
20,8000,77,21,1337
20,8000,77,22,29132
20,8000,77,23,7703
20,8000,77,24,8608
20,8000,77,25,6685
20,8000,77,26,18492
20,8000,77,27,5943
20,8000,77,28,50735
20,8000,77,29,6923
20,8000,77,30,9299
20,8000,77,31,17608
20,8000,77,32,194
20,8000,77,33,14681
20,8000,77,34,13286
20,8000,78,0,21856
20,8000,78,1,3125
20,8000,78,2,2500
20,8000,78,3,11342
20,8000,78,4,7156
20,8000,78,5,30086
20,8000,78,6,4844
20,8000,78,7,7377
20,8000,78,8,4709
20,8000,78,9,14555
20,8000,78,10,11754
20,8000,78,11,23691
20,8000,78,12,129
20,8000,78,13,3173
20,8000,78,14,642
20,8000,78,15,2664
20,8000,78,16,32373
20,8000,78,17,12054
20,8000,78,18,13964
20,8000,78,19,889
20,8000,78,20,43422
20,8000,78,21,2556
20,8000,78,22,9494
20,8000,78,23,7298
20,8000,78,24,12236
20,8000,78,25,3138
20,8000,78,26,11669
20,8000,78,27,14413
20,8000,78,28,3948
20,8000,78,29,20483
20,8000,78,30,23445
20,8000,78,31,7646
20,8000,78,32,17564
20,8000,78,33,9312
20,8000,78,34,29381
20,8000,79,0,31276
20,8000,79,1,85736
20,8000,79,2,35816
20,8000,79,3,10116
20,8000,79,4,6992
20,8000,79,5,1911
20,8000,79,6,3761
20,8000,79,7,10899
20,8000,79,8,29851
20,8000,79,9,69009
20,8000,79,10,33311
20,8000,79,11,7319
20,8000,79,12,12921
20,8000,79,13,1071
20,8000,79,14,5177
20,8000,79,15,11749
20,8000,79,16,17789
20,8000,79,17,7632
20,8000,79,18,2319
20,8000,79,19,2362
20,8000,79,20,21371
20,8000,79,21,884
20,8000,79,22,34066
20,8000,79,23,16973
20,8000,79,24,5822
20,8000,79,25,5793
20,8000,79,26,4050
20,8000,79,27,9647
20,8000,79,28,18055
20,8000,79,29,11394
20,8000,79,30,12784
20,8000,79,31,13196
20,8000,79,32,1539
20,8000,79,33,2168
20,8000,79,34,10667
20,8000,80,0,10231
20,8000,80,1,13415
20,8000,80,2,12641
20,8000,80,3,13955
20,8000,80,4,29201
20,8000,80,5,10274
20,8000,80,6,3288
20,8000,80,7,88991
20,8000,80,8,91022
20,8000,80,9,23369
20,8000,80,10,6973
20,8000,80,11,2161
20,8000,80,12,1011
20,8000,80,13,2505
20,8000,80,14,16876
20,8000,80,15,6404
20,8000,80,16,2445
20,8000,80,17,92353
20,8000,80,18,5603
20,8000,80,19,44547
20,8000,80,20,10843
20,8000,80,21,8016
20,8000,80,22,43489
20,8000,80,23,16272
20,8000,80,24,48038
20,8000,80,25,2541
20,8000,80,26,9448
20,8000,80,27,27715
20,8000,80,28,421
20,8000,80,29,965
20,8000,80,30,1865
20,8000,80,31,33965
20,8000,80,32,54882
20,8000,80,33,17827
20,8000,80,34,2523
20,8000,81,0,1878
20,8000,81,1,19209
20,8000,81,2,9482
20,8000,81,3,367
20,8000,81,4,2696
20,8000,81,5,4986
20,8000,81,6,11790
20,8000,81,7,25736
20,8000,81,8,4001
20,8000,81,9,21341
20,8000,81,10,15358
20,8000,81,11,15989
20,8000,81,12,19761
20,8000,81,13,1083
20,8000,81,14,23963
20,8000,81,15,15732
20,8000,81,16,6818
20,8000,81,17,12101
20,8000,81,18,4654
20,8000,81,19,20497
20,8000,81,20,62173
20,8000,81,21,9373
20,8000,81,22,13346
20,8000,81,23,1769
20,8000,81,24,21467
20,8000,81,25,10811
20,8000,81,26,66433
20,8000,81,27,18715
20,8000,81,28,669
20,8000,81,29,21218
20,8000,81,30,817
20,8000,81,31,834
20,8000,81,32,3791
20,8000,81,33,5690
20,8000,81,34,23112
