generation,L,n_vertices,mfpt_mean,mfpt_std
2,4,34,18.206666666666667,16.918745685054656
3,8,130,113.30666666666667,105.08450229326027
4,16,514,649.01,613.4634544127302
5,32,2050,4191.456666666667,4106.019033255394
6,64,8194,21522.956666666665,20784.05680599408
