N,L,log_N,T_mean,T_std,T_sem,avg_path_length,n_realizations
100,10.0,2.0,180.8132,10.512808614257182,4.701470939184884,3.72152133580705,5
200,14.142135623730951,2.3010299956639813,384.8876,17.63938154924941,7.888571245035447,4.4719999999999995,5
400,20.0,2.6020599913279625,768.9496,43.42974378740914,19.4223718708092,5.206505050505051,5
800,28.284271247461902,2.9030899869919438,1564.584,87.6484865174522,39.197594795599386,5.994080808080808,5
1600,40.0,3.2041199826559246,3186.83,216.70373007957204,96.91285428713779,6.603999999999999,5
3200,56.568542494923804,3.505149978319906,6265.748,237.38734254041353,106.16284698367845,7.402828282828284,5
