eta,spread,alpha1_inv,alpha2_inv,alpha3_inv
0.0,5.476696723423913,39.26191992509455,44.738616648518466,41.93874975192038
0.05,5.969650118525159,38.936516482936916,44.906166601462076,42.04985521274229
0.1,6.01367851437265,38.907454078266944,44.921132592639594,42.05978708832205
0.15,6.036319928203561,38.89250813551912,44.92882806372268,42.06488778366159
0.2,6.050242553773629,38.88331794544256,44.93356049921619,42.06802501528901
0.25,6.0593700352199775,38.877292502108,44.936662537327976,42.070081750970786
