frequency_Hz,S_baseline,S_active,suppression_pct
100000.0,9.534625892455924e-19,9.30558394520867e-19,2.4022122087504205
105316.90717345547,9.511666037339662e-19,9.2809054206664e-19,2.4260798872392297
110916.50936582261,9.487663859062633e-19,9.255250860000628e-19,2.449633571703791
116813.83720884046,9.462580930557717e-19,9.228584592815324e-19,2.4728595661120623
123024.72049898615,9.436378270742026e-19,9.200870401206473e-19,2.495744265209854
129565.8306883203,9.40901642660431e-19,9.17207159650037e-19,2.518274167679968
136454.72563453479,9.38045556528312e-19,9.142151105522152e-19,2.540435889307202
143709.89673031666,9.350655576549456e-19,9.111071566792764e-19,2.562216176131493
151350.81853853632,9.319576186055937e-19,9.078795437003517e-19,2.5836019175708658
159398.00106649534,9.28717707965065e-19,9.04528510805674e-19,2.604580159496739
167873.04481954483,9.253418038977533e-19,9.010503034888504e-19,2.625138117242898
176798.69878185334,9.218259088495204e-19,8.974411874203872e-19,2.645263188530511
186198.92147996204,9.181660653942364e-19,8.936974634156476e-19,2.6649429662903845
196098.9452930269,9.143583732160132e-19,8.898154834892056e-19,2.6841652513646896
206525.34418238237,9.103990072049385e-19,8.857916679749785e-19,2.7029180650699702
217506.10502221953,9.06284236629538e-19,8.81622523677634e-19,2.7211896616033737
229070.70272284953,9.02010445333263e-19,8.773046630056003e-19,2.7389685402739117
241250.1793482056,8.975741528851607e-19,8.728348240196803e-19,2.756243457541463
254077.22743994507,8.9297203659669e-19,8.682098913139356e-19,2.773003438845445
267586.2777718163,8.882009542975562e-19,8.634269176273179e-19,2.789237790206067
281813.5917698491,8.832579677437409e-19,8.584831460657466e-19,2.804936109580869
296797.35884643276,8.781403665108822e-19,8.533760327952477e-19,2.8200882979597885
312577.79890956514,8.728456922061381e-19,8.481032700476715e-19,2.8346845701821
329197.2703224177,8.673717628120847e-19,8.426628092618312e-19,2.8487154654591396
346700.38360301,8.617166969574517e-19,8.370528841650082e-19,2.8621718575868926
365134.12116919685,8.558789378920804e-19,8.31272033583147e-19,2.8750449648331178
384547.9634503755,8.498572769279074e-19,8.25319123753176e-19,2.887326359483877
404994.0217044455,8.43650876094515e-19,8.191933698982081e-19,2.8990079770351507
426527.1778965159,8.372592897474146e-19,8.128943568164453e-19,2.9100821250152786
449205.23201483296,8.306824848601954e-19,8.064220582278537e-19,2.920541491424944
473089.0572193679,8.23920859728479e-19,7.99776854619577e-19,2.9303791527815704
498242.7632394974,8.169752608146993e-19,7.929595493320204e-19,2.9395885817558476
524733.8684594011,8.0984699746838925e-19,7.859713826328695e-19,2.9481636543885137
552633.4811530705,8.025378542672234e-19,7.788140435363056e-19,2.9560986568763714
582016.4903554148,7.950501007396497e-19,7.714896791394586e-19,2.9633882919167576
612961.7668818157,7.873864982506141e-19,7.640009012677612e-19,2.9700276846009066
645552.3750356957,7.795503038575429e-19,7.563507902452452e-19,2.9760123878467826
679875.7955723809,7.715452709741571e-19,7.4854289563472e-19,2.981338387363086
