delta_alpha,mean_delay_ps,theory_delay_ps
0.3,0.09159800006198825,0.09
0.5,0.24966761474865728,0.25
0.7,0.4879228343115223,0.48999999999999994
1.0,0.9982363843574713,1.0
1.3,1.6953259076239924,1.6900000000000002
1.5,2.2549762131050373,2.25
1.8,3.250708922015561,3.24
2.0,3.997541872301591,4.0
