depth,N,L,n_modules,T_mean,T_std,T_sem,n_realizations
2,32,5.656854249492381,4,228.33333333333331,58.73784034920666,20.766962611588415,8
3,104,10.198039027185569,13,1462.4333333333334,243.54675343989112,86.10678044665755,8
4,320,17.88854381999832,40,6434.35,1452.9223982297808,513.6856401630497,8
5,968,31.11269837220809,121,24999.891666666666,2516.487039381486,889.7125251573535,8
6,2912,53.96295025292817,364,99971.59166666667,23614.21998364045,8348.887541431523,8
