L,N,seed,walk,first_passage_time
5,125,47,17,200
5,125,47,18,1320
5,125,47,19,3601
5,125,47,20,112
5,125,47,21,1872
5,125,47,22,525
5,125,47,23,3008
5,125,47,24,251
5,125,47,25,1682
5,125,47,26,2135
5,125,47,27,2111
5,125,47,28,140
5,125,47,29,2395
5,125,47,30,570
5,125,47,31,793
5,125,47,32,3356
5,125,47,33,1595
5,125,47,34,813
5,125,47,35,710
5,125,47,36,3207
5,125,47,37,712
5,125,47,38,307
5,125,47,39,3316
5,125,47,40,2393
5,125,47,41,1501
5,125,47,42,930
5,125,47,43,192
5,125,47,44,859
5,125,47,45,726
5,125,47,46,656
5,125,47,47,3581
5,125,47,48,359
5,125,47,49,218
5,125,48,0,3046
5,125,48,1,739
5,125,48,2,2370
5,125,48,3,374
5,125,48,4,2686
5,125,48,5,194
5,125,48,6,1471
5,125,48,7,1208
5,125,48,8,481
5,125,48,9,646
5,125,48,10,232
5,125,48,11,2518
5,125,48,12,2915
5,125,48,13,184
5,125,48,14,1781
5,125,48,15,1478
5,125,48,16,614
5,125,48,17,495
5,125,48,18,1207
5,125,48,19,954
5,125,48,20,284
5,125,48,21,500
5,125,48,22,1681
5,125,48,23,1634
5,125,48,24,1169
5,125,48,25,1508
5,125,48,26,705
5,125,48,27,1189
5,125,48,28,845
5,125,48,29,1929
5,125,48,30,179
5,125,48,31,373
5,125,48,32,1072
5,125,48,33,235
5,125,48,34,151
5,125,48,35,2292
5,125,48,36,343
5,125,48,37,233
5,125,48,38,532
5,125,48,39,743
5,125,48,40,1528
5,125,48,41,1835
5,125,48,42,573
5,125,48,43,1806
5,125,48,44,6433
5,125,48,45,1102
5,125,48,46,1185
5,125,48,47,291
5,125,48,48,1855
5,125,48,49,206
5,125,49,0,1298
5,125,49,1,357
5,125,49,2,1625
5,125,49,3,716
5,125,49,4,2863
5,125,49,5,622
5,125,49,6,82
5,125,49,7,2488
5,125,49,8,566
5,125,49,9,731
5,125,49,10,771
5,125,49,11,776
5,125,49,12,325
5,125,49,13,263
5,125,49,14,98
5,125,49,15,1434
5,125,49,16,1251
5,125,49,17,349
5,125,49,18,504
5,125,49,19,1198
5,125,49,20,275
5,125,49,21,946
5,125,49,22,698
5,125,49,23,500
5,125,49,24,1413
5,125,49,25,744
5,125,49,26,2293
5,125,49,27,610
5,125,49,28,1124
5,125,49,29,250
5,125,49,30,713
5,125,49,31,831
5,125,49,32,2957
5,125,49,33,2114
5,125,49,34,244
5,125,49,35,212
5,125,49,36,5194
5,125,49,37,224
5,125,49,38,1752
5,125,49,39,2430
5,125,49,40,2110
5,125,49,41,258
5,125,49,42,4298
5,125,49,43,275
5,125,49,44,556
5,125,49,45,1199
5,125,49,46,283
5,125,49,47,483
5,125,49,48,592
5,125,49,49,1580
6,216,50,0,618
6,216,50,1,3322
6,216,50,2,1358
6,216,50,3,1436
6,216,50,4,187
6,216,50,5,1424
6,216,50,6,2748
6,216,50,7,1390
6,216,50,8,4161
6,216,50,9,1037
6,216,50,10,593
6,216,50,11,10612
6,216,50,12,450
6,216,50,13,4192
6,216,50,14,1462
6,216,50,15,2541
6,216,50,16,3257
6,216,50,17,2744
6,216,50,18,1347
6,216,50,19,6054
6,216,50,20,1636
6,216,50,21,2016
6,216,50,22,5931
6,216,50,23,1271
