N,h,max_error,L2_error,solve_time_s
17,0.0625,0.22648264107342342,0.15344616939909714,0.0013685226440429688
33,0.03125,0.10593426088558017,0.07469435191483327,0.003893136978149414
49,0.020833333333333332,0.06045453360857011,0.04317129953330123,0.007876873016357422
65,0.015625,0.03674247123359743,0.026343452132088288,0.01280522346496582
