x,G_delta2,G_delta3,G_delta4
0.1,9999.999999999998,999999.9999999997,99999999.99999997
0.14974874371859298,1988.599149489009,88679.01774572567,3954526.577348409
0.19949748743718593,631.3210622565636,15862.638165601062,398566.28364875587
0.2492462311557789,259.1108504040789,4170.886766247695,67138.43279712496
0.2989949748743719,125.12510148345423,1399.6410264377573,15656.29102124472
0.3487437185929648,67.60431611372726,555.8551525259145,4570.343557204765
0.39849246231155777,39.65697252046025,249.73495525678604,1572.6754694885394
0.44824120603015083,24.771533237449948,123.29042004366856,613.6288589340874
0.4979899497487438,16.259893162956534,65.56567423117254,264.3841256707607
0.5477386934673367,11.109801869691399,37.03049102277999,123.42769758379852
0.5974874371859297,7.84666094603291,21.979981914666983,61.570088001998066
0.6472361809045226,5.698346495323547,13.602642377398382,32.471152780766154
0.6969849246231156,4.237468290517383,8.722875863618704,17.956137513140316
0.7467336683417085,3.216155717494082,5.767739030796322,10.343657599169871
0.7964824120603016,2.4848217476023375,3.916903383526561,6.174339117357535
0.8462311557788945,1.9500419626758443,2.7231147055395657,3.802663656196659
0.8959798994974875,1.5516970445019975,1.9329045100443425,2.4077637179162337
0.9457286432160804,1.2500685506029088,1.3976574503695107,1.5626713812064572
0.9954773869346734,1.0182968574134008,1.0275704465116255,1.036928489818008
1.0452261306532664,0.8378359009699426,0.7668994895134682,0.7019689969541154
1.0949748743718595,0.6956381391224757,0.5801964630758065,0.48391242060178097
1.1447236180904523,0.5823678972177544,0.44442260430765185,0.339152367709829
1.1944723618090454,0.49124209940377267,0.344305030530963,0.24131880022662605
1.2442211055276384,0.4172628732358039,0.26953465780394964,0.17410830538099856
1.2939698492462313,0.35670021583927,0.21303701004733228,0.12723504397978178
1.3437185929648243,0.30673737308562515,0.16988304663433743,0.09408781604746998
1.3934673366834172,0.2652240040946836,0.13659010566386529,0.07034377234801675
1.4432160804020102,0.23050192854328047,0.11066539666730414,0.053131139062171574
1.4929648241206033,0.20128049806672474,0.09030307676257411,0.04051383890198879
1.542713567839196,0.17654637461067818,0.07418023513201694,0.031168622388173906
1.5924623115577892,0.15549747772855713,0.061317582392863626,0.024179465579943122
1.642211055276382,0.1374941163400225,0.05098309205452478,0.018904632028123643
1.691959798994975,0.12202247794488083,0.042624545395002225,0.014889485123808924
1.7417085427135681,0.10866709873222169,0.035821775534211904,0.011808538346878415
1.791457286432161,0.09708992573400875,0.03025249886592203,0.009426453679035333
1.841206030150754,0.08701426290724225,0.025667623983006645,0.007571481949290675
1.8909547738693468,0.07821236752049933,0.021873241528256433,0.006117174433161659
1.94070351758794,0.07049579748519923,0.01871737070444696,0.004969657463074221
1.990452261306533,0.06370784811897674,0.01608012439232273,0.004058689911950609
2.040201005025126,0.05771758767576763,0.0138663531604023,0.0033313199271099237
2.089949748743719,0.052415124799220836,0.012000101965007934,0.0027473453077178954
2.139698492462312,0.047707831558910126,0.01042040301429343,0.0022760371920533414
2.1894472361809045,0.04351731241133582,0.00907806104571045,0.0018937564795058026
2.2391959798994976,0.03977695893532507,0.007933181043682897,0.001582206462142537
2.2889447236180906,0.03642996721518532,0.00695325522158641,0.0013271425112994773
2.3386934673366837,0.03342772262457055,0.006111674057294277,0.0011174126398652254
2.3884422110552768,0.03072847789653126,0.005386560879952436,0.0009442393538376101
2.4381909547738694,0.028296266484418957,0.004759854806346484,0.0008006786969572517
2.4879396984924624,0.026100005587539474,0.004216585398028331,0.0006812102916695917
2.5376884422110555,0.024112752761734975,0.0037442961361335817,0.0005814248457485578
2.5874371859296486,0.022311087443282113,0.003332584019868493,0.0004977846229017808
2.6371859296482416,0.02067459449384771,0.0029727302348879093,0.00042743885748503804
2.6869346733668342,0.019185431405713906,0.002657402589440663,0.00036808077822335345
2.7366834170854273,0.01782796437678848,0.002380414770671998,0.0003178363138200391
2.7864321608040203,0.01658846129106295,0.0021365307882222225,0.00027517704800509386
2.8361809045226134,0.015454831887318731,0.0019213055087623668,0.0002388518286652838
2.8859296482412065,0.014416407193356136,0.001730954135881904,0.00020783279636465055
2.935678391959799,0.013463751741976457,0.0015622449973401174,0.00018127261096957407
2.985427135678392,0.01258850324344495,0.0014124111722508144,0.0001584704139102241
3.035175879396985,0.011783235325469705,0.001279077403743053,0.00013884463473539714
3.0849246231155782,0.011041339711283639,0.0011601994578137919,0.00012191118261996908
3.1346733668341713,0.010356924824801897,0.0010540136516731678,0.00010726589182659781
3.184422110552764,0.009724728317031257,0.0009589947192340122,9.457034084006959e-05
3.234170854271357,0.009140041422035837,0.000873820533741318,8.354035719653087e-05
3.28391959798995,0.008598643391336926,0.0007973424879870173,7.393666817138219e-05
3.333668341708543,0.008096744536589694,0.0007285605566010753,6.555727209079504e-05
3.383417085427136,0.0076309366428757,0.0006666022445327549,5.823119404758305e-05
3.4331658291457288,0.007198149707906135,0.0006107047703404432,5.181335921742918e-05
3.482914572864322,0.0067956141230296856,0.0005601999495492788,4.618037130912054e-05
3.532663316582915,0.006420827545977672,0.0005145013377908168,4.122702637518566e-05
3.582412060301508,0.006071525827451158,0.00047309327016849294,3.686342587340647e-05
3.632160804020101,0.005745657447772969,0.00043552149581329273,3.3012579507148996e-05
3.6819095477386936,0.00544136099899774,0.00040138515768794157,2.9608409521413676e-05
3.7316582914572867,0.005156945314633556,0.00037032990957373076,2.659408497812098e-05
3.7814070351758797,0.0048908719055596765,0.00034204199659088746,2.392062799659294e-05
3.831155778894473,0.004641739408535136,0.00031624315396669417,2.1545744736748115e-05
3.880904522613066,0.004408269794291881,0.0002926862022019628,1.943284257926618e-05
