grad_alpha,F_A_Pa,S_W_m2
0.1,8.000000000000002e-11,0.002398339664000001
0.12067926406393285,9.65434112511463e-11,0.0034928183181972446
0.14563484775012436,1.165078782000995e-10,0.005086760639895012
0.1757510624854792,1.4060084998838338e-10,0.007408096113324355
0.21209508879201905,1.6967607103361527e-10,0.010788769495822803
0.2559547922699536,2.047638338159629e-10,0.015712208029353407
0.3088843596477481,2.4710748771819847e-10,0.022882450241731647
0.372759372031494,2.9820749762519525e-10,0.03332482157104385
0.44984326689694454,3.598746135175557e-10,0.048532553157990314
0.5428675439323859,4.3429403514590876e-10,0.07068030990088736
0.6551285568595507,5.241028454876407e-10,0.10293516171347339
0.7906043210907697,6.324834568726159e-10,0.14990946604276126
0.9540954763499939,7.632763810799952e-10,0.21832042263439988
1.151395399326447,9.211163194611577e-10,0.31795061511103623
1.3894954943731375,1.11159639549851e-09,0.46304689423754164
1.6768329368110073,1.341466349448806e-09,0.6743576394345228
2.0235896477251565,1.6188717181801253e-09,0.9820997214818004
2.442053094548651,1.953642475638921e-09,1.4302794341344163
2.9470517025518097,2.3576413620414482e-09,2.0829852763029963
3.5564803062231283,2.8451842449785033e-09,3.0335524358013775
4.291934260128776,3.4335474081030207e-09,4.417909471299523
5.17947467923121,4.143579743384968e-09,6.4340157322653875
6.250551925273969,5.000441540219176e-09,9.37016901590374
7.543120063354615,6.034496050683693e-09,13.646231380240751
9.102981779915218,7.2823854239321755e-09,19.873668294243323
10.985411419875584,8.788329135900467e-09,28.942986562686013
13.257113655901081,1.0605690924720867e-08,42.15107441490665
15.998587196060573,1.279886975684846e-08,61.38665304919097
19.306977288832496,1.5445581831066e-08,89.4003587070864
23.29951810515372,1.8639614484122978e-08,130.1980762911304
28.11768697974228,2.249414958379383e-08,189.61377018017825
33.93221771895326,2.7145774175162613e-08,276.14372551517334
40.94915062380423,3.275932049904338e-08,402.16149422554423
49.41713361323833,3.9533706890590664e-08,585.6872798249968
59.63623316594643,4.7708986532757144e-08,852.9647782649798
71.96856730011514,5.757485384009212e-08,1242.213956188387
86.85113737513521,6.948090990010818e-08,1809.0964038257553
104.81131341546852,8.384905073237483e-08,2634.674793364614
126.48552168552958,1.0118841734842368e-07,3837.004624027462
152.6417967175232,1.2211343737401857e-07,5588.0158423676185
184.20699693267144,1.4736559754613716e-07,8138.098364284914
222.29964825261933,1.778397186020955e-07,11851.907162581703
268.26957952797244,2.1461566362237796e-07,17260.506951711952
323.74575428176433,2.589966034254115e-07,25137.31302002535
390.6939937054613,3.125551949643691e-07,36608.687545186054
471.486636345739,3.7718930907659125e-07,53315.00636975048
568.9866029018293,4.551892823214635e-07,77645.22835455525
686.6488450042998,5.493190760034398e-07,113078.51009939298
828.6427728546843,6.629142182837475e-07,164681.7160213601
1000.0,8.000000000000001e-07,239833.9664
