L,T_mean,T_std,T_sem,n_trials
10,10.00562831732446,0.07784486495811901,0.007784486495811901,100
20,20.004019470997793,0.19519320186203343,0.019519320186203344,100
50,50.03637564560728,0.511318273450567,0.0511318273450567,100
100,99.90777741637253,1.0145821965527855,0.10145821965527854,100
200,200.1094019948533,1.9903214575938561,0.1990321457593856,100
500,500.51126877297145,5.229484065427047,0.5229484065427047,100
1000,1001.2274366739606,10.47699863808969,1.047699863808969,100
2000,1999.4282515465943,19.817582125676335,1.9817582125676334,100
5000,5008.73002425737,50.47438304656317,5.047438304656317,100
10000,9990.42921194594,100.69037726847387,10.069037726847387,100
