t_ext,tau,x_m,v_m_s
0.43021510755377684,0.21510755377688842,90.78421151546257,422.04102051025507
0.43121560780390195,0.21560780390195097,91.20695465291425,423.0225112556278
0.432216108054027,0.2161080540270135,91.63067977210216,424.00400200100046
0.43321660830415204,0.21660830415207602,92.0553868730263,424.98549274637315
0.4342171085542771,0.21710855427713854,92.48107595568668,425.96698349174585
0.4352176088044022,0.2176088044022011,92.90774702008332,426.94847423711855
0.43621810905452724,0.21810905452726362,93.3354000662162,427.92996498249124
0.4372186093046523,0.21860930465232614,93.7640350940853,428.9114557278639
0.43821910955477733,0.21910955477738867,94.19365210369064,429.8929464732366
0.43921960980490243,0.21960980490245122,94.62425109503225,430.8744372186093
0.4402201100550275,0.22011005502751374,95.05583206811008,431.85592796398197
0.4412206103051525,0.22061030515257626,95.48839502292415,432.8374187093546
0.44222111055527763,0.22111055527763882,95.92193995947449,433.81890945472736
0.4432216108054027,0.22161080540270134,96.35646687776104,434.8004002001
0.4442221110555277,0.22211105552776386,96.79197577778382,435.7818909454727
0.44522261130565277,0.22261130565282639,97.22846665954286,436.7633816908454
0.4462231115557779,0.22311155577788894,97.66593952303815,437.7448724362181
0.4472236118059029,0.22361180590295146,98.10439436826967,438.7263631815908
0.44822411205602797,0.22411205602801398,98.54383119523742,439.7078539269634
0.44922461230615307,0.22461230615307654,98.98425000394144,440.6893446723362
0.4502251125562781,0.22511255627813906,99.42565079438167,441.6708354177088
0.45122561280640316,0.22561280640320158,99.86803356655815,442.6523261630815
0.4522261130565282,0.2261130565282641,100.31139832047087,443.63381690845415
0.4532266133066533,0.22661330665332666,100.75574505611985,444.6153076538269
0.45422711355677836,0.22711355677838918,101.20107377350506,445.5967983991996
0.4552276138069034,0.2276138069034517,101.64738447262648,446.57828914457224
0.45622811405702846,0.22811405702851423,102.09467715348417,447.55977988994493
0.45722861430715356,0.22861430715357678,102.54295181607812,448.54127063531763
0.4582291145572786,0.2291145572786393,102.99220846040828,449.5227613806903
0.45922961480740365,0.22961480740370183,103.44244708647469,450.50425212606297
0.46023011505752875,0.23011505752876438,103.89366769427735,451.4857428714357
