generation,L,N_nodes,N_edges,T_mean,T_std,T_sem
2,4,15,27,48.876666666666665,43.56315096755769,2.5151196937867737
3,8,42,81,260.62333333333333,226.0053423901499,13.048424526724657
4,16,123,243,1205.5633333333333,1143.0706303588106,65.99521361404145
5,32,366,729,6265.62,5666.262737960534,327.141831706066
6,64,1095,2187,31430.696666666667,29973.345754152786,1730.5119239673836
