protocol,peak,delta,pct_change
Full Protocol,0.2644301984157669,0.08443019841576693,46.905665786537185
Acoustic + Biofeedback,0.2235717281049232,0.04357172810492321,24.20651561384623
Light Only (High),0.19995042495646667,0.019950424956466678,11.083569420259266
Low Intensity Full,0.22221509920788346,0.042215099207883466,23.452832893268592
