state,conscious,mean_forward_te,mean_backward_te,mean_ndi,forward_coupling,backward_coupling
Awake Conscious,True,0.06952577895106342,0.0399624356898296,0.2521010645554711,0.6,0.15
NREM Sleep,False,0.05953926785985549,0.04972722821737404,0.0920159925775448,0.2,0.2
REM Sleep,True,0.07066603110653191,0.049651806612735015,0.1516527083775759,0.45,0.25
Propofol Sedation,False,0.05684924443055476,0.04925596420440659,0.058052051341968364,0.15,0.15
Psychedelic,True,0.06399581057709147,0.04225286976892928,0.16272177638904314,0.4,0.5
