t,beta_center,beta_avg,phi_energy,alpha_grad_max
0.0,0.009999808116767534,0.009999808116767536,0.0,0.0
0.031446540880503145,0.009987344892429893,0.00998734489242989,0.0,0.0
0.06289308176100629,0.009955752964661294,0.009955752964661294,0.0,0.0
0.09433962264150944,0.00990512112052469,0.00990512112052469,0.0,0.0
0.12578616352201258,0.009835573428379808,0.009835573428379806,0.0,0.0
0.15723270440251574,0.00974726898519037,0.009747268985190372,0.0,0.0
0.18867924528301888,0.009640401611147606,0.009640401611147608,0.0,0.0
0.22012578616352202,0.009515259378514407,0.009515259378514409,2.5930256488033974e-12,0.022127115214199522
0.25157232704402516,0.009382185916990703,0.009382185916990707,1.9957640140874156e-08,0.14232430011676844
0.2830188679245283,0.009361402482677007,0.009361402482677009,1.9422411820311555e-06,0.35469323908767025
0.3144654088050315,0.00994790975472179,0.00994790975472179,4.12085013180984e-05,0.6364112992631603
0.3459119496855346,0.012333184715577062,0.012333184715577055,0.0003946214076628714,0.9572031122696485
0.37735849056603776,0.01858478082806956,0.018584780828069563,0.0023011052682920217,1.28259417439945
0.4088050314465409,0.031514061062152494,0.03151406106215251,0.009526223959389738,1.5776157148703451
0.44025157232704404,0.05417665733310889,0.054176657333108905,0.03063272560265993,1.8105626814384608
0.4716981132075472,0.0891193103639638,0.08911931036396378,0.08106148954372303,1.9564009842765286
0.5031446540880503,0.13764209345544437,0.13764209345544437,0.18368079476011134,1.9994578321597467
0.5345911949685535,0.19939103731786265,0.1993910373178627,0.3668298638147389,1.9351060388513557
0.5660377358490566,0.2724735173374616,0.2724735173374616,0.6599947205485316,1.770261292492557
0.5974842767295597,0.35404582019597863,0.3540458201959786,1.0885043383211377,1.5226389479930722
0.628930817610063,0.44110432050552684,0.44110432050552684,1.6693042019582525,1.218850212644969
0.6603773584905661,0.5311515902172127,0.5311515902172126,2.4095227892032676,0.8915423220025942
0.6918238993710693,0.6225233131628594,0.6225233131628591,3.308259016866576,0.5758900424782301
0.7232704402515724,0.7143553967757965,0.7143553967757965,4.3603947940853125,0.305815548016372
0.7547169811320755,0.8063246065201931,0.806324606520193,5.560240980936977,0.1103429090052821
0.7861635220125787,0.8983460366973957,0.8983460366973954,6.903221338014572,0.010478965224234305
0.8176100628930818,0.9903604024127605,0.9903604024127602,8.385489979833839,0.0
0.8490566037735849,1.0822405812526406,1.0822405812526406,10.003111546315491,0.0
0.8805031446540881,1.1737620259700878,1.1737620259700878,11.751889621200247,0.0
0.9119496855345912,1.2645857283266058,1.2645857283266053,13.627377577709433,0.0
0.9433962264150944,1.3542438264604277,1.3542438264604275,15.624902313543705,0.0
0.9748427672955975,1.44212902607105,1.4421290260710506,17.73960253249683,0.0
1.0062893081761006,1.5274897157819933,1.5274897157819933,19.966457146200483,0.0
1.0377358490566038,1.6094328971967993,1.609432897196799,22.300280487635597,0.0
1.069182389937107,1.686937051136365,1.6869370511363655,24.73569457710938,0.0
1.10062893081761,1.7588767026040948,1.7588767026040955,27.267115736579303,0.0
1.1320754716981132,1.824059629590254,1.8240596295902543,29.888777016995682,0.0
1.1635220125786163,1.8812763522484612,1.8812763522484608,32.594770216037666,0.0
1.1949685534591195,1.9293598195277863,1.9293598195277872,35.37907617420357,0.0
1.2264150943396228,1.96725130479532,1.9672513047953202,38.23548807656051,0.0
1.257861635220126,1.9940667923955357,1.994066792395536,41.15628564257995,0.0
1.289308176100629,2.0091570193603383,2.0091570193603374,44.12435110891476,0.0
1.3207547169811322,2.0121542230970504,2.0121542230970504,47.09308336417509,0.0
1.3522012578616354,2.002999746292567,2.0029997462925673,49.96071080159376,0.0
1.3836477987421385,1.9819488837284576,1.981948883728458,52.55371363652986,0.0
1.4150943396226416,1.949552331646681,1.94955233164668,54.63409321043093,0.0
1.4465408805031448,1.9066167104493088,1.9066167104493097,55.93794911470191,0.0
1.477987421383648,1.8541492271370372,1.8541492271370372,56.238973270764596,0.0
1.509433962264151,1.7932931294402472,1.7932931294402479,55.415641456831445,0.0
1.5408805031446542,1.7252609692856484,1.7252609692856482,53.49412558506646,0.0
1.5723270440251573,1.6512719403013265,1.6512719403013265,50.64680436806329,0.0
1.6037735849056605,1.5724980173751337,1.5724980173751342,47.14615045024538,0.0
1.6352201257861636,1.490021740554044,1.4900217405540428,43.29415597723748,0.0
1.6666666666666667,1.404806653629575,1.4048066536295738,39.35611689457401,0.0
1.6981132075471699,1.3176799135231674,1.317679913523169,35.52089619213695,0.0
1.729559748427673,1.229325566464198,1.229325566464198,31.894182498628464,0.0
1.7610062893081762,1.14028644851561,1.1402864485156097,28.516740466651058,0.0
1.7924528301886793,1.0509725334563211,1.0509725334563207,25.392484272953713,0.0
1.8238993710691824,0.9616737039902677,0.9616737039902677,22.512062674817198,0.0
1.8553459119496856,0.8725752443438081,0.872575244343808,19.86438976438043,0.0
1.8867924528301887,0.7837747449132234,0.7837747449132241,17.438582474469957,0.0
1.9182389937106918,0.6952995022027456,0.6952995022027453,15.223828449004511,0.0
1.949685534591195,0.6071238465597792,0.6071238465597795,13.209440270645027,0.0
1.9811320754716981,0.519186114489399,0.5191861144894001,11.384895982143467,0.0
