beta,V_beta,alpha
-0.5,928.5975609756098,2.0
-0.46984924623115576,905.4368901100386,2.0
-0.4396984924623116,882.560492129094,2.0
-0.40954773869346733,859.9733808702409,2.0
-0.37939698492462315,837.6804092539404,2.0
-0.3492462311557789,815.6862585313503,2.0
-0.31909547738693467,793.9954278377755,2.0
-0.2889447236180904,772.6122240964548,2.0
-0.25879396984924624,751.5407523163334,2.0
-0.228643216080402,730.7849063262084,2.0
-0.19849246231155782,710.3483599860499,2.0
-0.16834170854271358,690.2345589144737,2.0
-0.13819095477386933,670.4467127691795,2.0
-0.10804020100502515,650.9877881147801,2.0
-0.07788944723618091,631.86050190978,2.0
-0.047738693467336724,613.0673156415651,2.0
-0.017587939698492483,594.6104301351722,2.0
0.012562814070351758,576.4917810582929,2.0032663316582915
0.042713567839196,558.7130351415226,2.011105527638191
0.07286432160804013,541.2755871292655,2.0189447236180906
0.10301507537688437,524.1805574729946,2.0267839195979898
0.1331658291457286,507.4287907748023,2.0346231155778893
0.16331658291457285,491.02085498533904,2.042462311557789
0.1934673366834171,474.9570413564001,2.0503015075376885
0.22361809045226133,459.2373651446021,2.058140703517588
0.25376884422110546,443.86156705880313,2.065979899497487
0.2839195979899497,428.82911544023585,2.0738190954773867
0.31407035175879394,414.1392091607198,2.0816582914572863
0.3442211055276382,399.79078122086554,2.089497487437186
0.3743718592964824,385.78250302689355,2.0973366834170855
0.40452261306532655,372.11278932156847,2.105175879396985
0.4346733668341708,358.7798037418565,2.113015075376884
0.46482412060301503,345.78146497322837,2.1208542713567837
0.4949748743718593,333.1154534680992,2.1286934673366833
0.5251256281407035,320.7792186937199,2.136532663316583
0.5552763819095476,308.7699868729194,2.1443718592964824
0.585427135678392,297.0847691794765,2.152211055276382
0.6155778894472361,285.7203703485363,2.160050251256281
0.6457286432160803,274.673397661428,2.1678894472361807
0.6758793969849246,263.94027026346214,2.1757286432160803
0.7060301507537687,253.51722877277405,2.18356783919598
0.7361809045226131,243.40034513806694,2.1914070351758794
0.7663316582914572,233.58553270314843,2.1992462311557786
0.7964824120603013,224.0685564364479,2.207085427135678
0.8266331658291457,214.84504328426343,2.2149246231155777
0.8567839195979898,205.91049260724864,2.2227638190954773
0.8869346733668342,197.260286660659,2.230603015075377
0.9170854271356783,188.88970108006163,2.238442211055276
0.9472361809045227,180.79391533559033,2.2462814070351755
0.9773869346733668,172.96802311937273,2.254120603015075
1.007537688442211,165.40704263242824,2.261582914572864
1.0376884422110553,158.1059267391543,2.2679145728643215
1.0678391959798994,151.05957295942522,2.2742462311557787
1.0979899497487438,144.2628332703272,2.280577889447236
1.1281407035175879,137.71052369162334,2.286909547738693
1.158291457286432,131.39743363114954,2.2932412060301504
1.1884422110552764,125.31833496849534,2.299572864321608
1.2185929648241205,119.46799085747604,2.305904522613065
1.2487437185929648,113.8411642300601,2.3122361809045224
1.278894472361809,108.43262598655825,2.3185678391959796
1.309045226130653,103.23716285898132,2.324899497487437
1.3391959798994975,98.24958493654357,2.3312311557788945
1.3693467336683416,93.46473284429186,2.3375628140703517
1.399497487437186,88.87748456778381,2.343894472361809
1.42964824120603,84.48276191860762,2.350226130653266
1.4597989949748742,80.27553663731629,2.3565577889447233
1.4899497487437185,76.25083613204912,2.362889447236181
1.520100502512563,72.40374885271234,2.369221105527638
1.550251256281407,68.7294293020934,2.3755527638190954
1.5804020100502512,65.2231026866867,2.3818844221105526
1.6105527638190953,61.88006921130441,2.3882160804020103
1.6407035175879394,58.695708022740796,2.3945477386934675
1.670854271356784,55.66548080884637,2.4008793969849247
1.7010050251256281,52.784935060353654,2.407211055276382
1.7311557788944723,50.0497070036772,2.413542713567839
1.7613065326633164,47.45552421369372,2.4198743718592963
1.7914572864321605,44.99820791619083,2.426206030150754
1.821608040201005,42.67367499026248,2.432537688442211
1.8517587939698492,40.47793968142793,2.4388693467336684
1.8819095477386933,38.407115036661274,2.4452010050251256
1.9120603015075375,36.45741407284886,2.4515326633165833
1.9422110552763816,34.625150690440826,2.4578643216080405
1.9723618090452262,32.90674034424109,2.4641959798994977
2.0025125628140703,31.29870048338847,2.47035175879397
2.0326633165829144,29.797650772625893,2.4745728643216083
2.0628140703517586,28.400313106941404,2.4787939698492463
2.0929648241206027,27.103511431595923,2.4830150753768847
2.1231155778894473,25.904171379435873,2.4872361809045227
2.1532663316582914,24.799319737227346,2.491457286432161
2.1834170854271355,23.786083752546453,2.495678391959799
2.2135678391959797,22.861690292524376,2.499899497487437
2.243718592964824,22.02346486547691,2.5041206030150756
2.2738693467336684,21.268830516153493,2.5083417085427135
2.3040201005025125,20.59530660502239,2.512562814070352
2.3341708542713566,20.000507481670535,2.51678391959799
2.3643216080402008,19.48214106204294,2.5210050251256284
2.3944723618090453,19.038007318879306,2.5252261306532664
2.4246231155778895,18.665996694329117,2.5294472361809044
2.4547738693467336,18.364088443342247,2.533668341708543
2.4849246231155777,18.130348916044145,2.537889447236181
2.515075376884422,17.96292978691389,2.5421105527638193
2.5452261306532664,17.860066238192754,2.5463316582914572
2.5753768844221105,17.82007510456234,2.5505527638190957
2.6055276381909547,17.841352985745942,2.5547738693467337
2.635678391959799,17.92237433330713,2.5589949748743717
2.665829145728643,18.061689517545577,2.56321608040201
2.6959798994974875,18.257922880024722,2.567437185929648
2.7261306532663316,18.509770776908553,2.5716582914572865
2.7562814070351758,18.8159996179373,2.5758793969849245
2.78643216080402,19.175443905534767,2.580100502512563
2.816582914572864,19.587004278213712,2.584321608040201
2.8467336683417086,20.04964556213104,2.588542713567839
