r,alpha_logistic,alpha_ramp,Z_r
2.5,2.703905603936621,3.0,2.2360679774997902
2.857142857142857,2.6559743341284774,3.0,1.8257418583505536
3.2142857142857144,2.602095956042561,3.0,1.6269784336399213
3.571428571428571,2.542112756453112,3.0,1.5075567228888183
3.928571428571429,2.4760444570802385,3.0,1.4272480642961254
4.285714285714286,2.404126739757859,3.0,1.3693063937629153
4.642857142857142,2.3268395610371586,3.0,1.3254270092150517
5.0,2.244918662403709,3.0,1.2909944487358056
5.357142857142858,2.1593447328908493,3.0,1.2632278815997784
5.714285714285714,2.0713073416679433,3.0,1.2403473458920844
6.071428571428571,1.982144754981447,1.0351901069737641,1.2211584951084107
6.428571428571429,1.8932652544006943,1.1966286715853143,1.2048289933537482
6.785714285714286,1.806059382702338,1.3371100184228761,1.190760449360489
7.142857142857143,1.7218145096742974,1.4602545664948376,1.1785113019775793
7.5,1.641642601649214,1.5689164944001346,1.1677484162422844
7.857142857142858,1.566429261069823,1.6653730292646283,1.1582156166423185
8.214285714285715,1.4968078638637237,1.7514608519916264,1.1497126077675976
8.571428571428571,1.433158191536352,1.8286759628522942,1.1420804814403216
8.928571428571429,1.3756254227834528,1.898247853644024,1.1351915229662495
9.285714285714285,1.324153331013028,1.961195322963784,1.1289418957242967
9.642857142857142,1.2785250880026815,2.018368984137545,1.123246296673465
10.0,1.2384058440442354,2.07048399691022,1.118033988749895
10.357142857142858,1.2033827079585369,2.118145528427303,1.1132458126201235
10.714285714285715,1.172999384411214,2.161868745362637,1.1088319064318592
11.071428571428571,1.1467841881159946,2.2020946491737394,1.104749944985236
11.428571428571429,1.1242712661728593,2.2392027208250544,1.1009637651263606
11.785714285714286,1.1050155832723203,2.273521094387094,1.097442281873537
12.142857142857142,1.0886026086870675,2.3053348004493666,1.0941586258818001
12.5,1.0746537746882587,2.334892489893551,1.0910894511799618
12.857142857142858,1.0628287420631404,2.3624119523402918,1.0882143751650175
13.214285714285715,1.0528253837989021,2.3880846718836954,1.0855155222494914
13.571428571428571,1.0443782362131973,2.4120796088298215,1.082977149423218
13.928571428571429,1.0372560019440922,2.4345463552987994,1.0805853370551919
14.285714285714286,1.0312585400948142,2.4556177813337396,1.0783277320343843
14.642857142857142,1.0262136537052953,2.4754122641303082,1.076193333186691
15.0,1.0219738852611864,2.4940355743730596,1.0741723110591492
15.357142857142858,1.0184134552231423,2.5115824791274273,1.072255855810942
15.714285714285715,1.0154254230258242,2.528138109319279,1.070436048222094
16.07142857142857,1.012919110707098,2.5437791308132853,1.0687057498186445
16.42857142857143,1.010817802567395,2.5585747509332024,1.0670585088860585
16.785714285714285,1.0090567168355191,2.5725875865398895,1.0654884797514668
17.142857142857142,1.0075812346440736,2.585874415183027,1.063990353197863
17.5,1.0063453656849703,2.5984868271297463,1.0625592962581034
17.857142857142858,1.0053104272108233,2.6104717930624277,1.0611908999450221
18.214285714285715,1.004443912463761,2.6218721597849544,1.0598811337226197
18.571428571428573,1.0037185253580747,2.6327270842696953,1.0586263057247416
18.92857142857143,1.0031113597648074,2.6430724147284543,1.0574230278916814
19.285714285714285,1.0026032036693384,2.6529410260303092,1.0562681853292955
19.642857142857142,1.0021779505489927,2.662363115662827,1.0551589093054372
20.0,1.0018221023888012,2.6713664654969005,1.0540925533894598
