radius_kpc,alpha,velocity_km_s,log_r,log_v
1.0,2.440398538988941,332.0697117329943,0.0,2.5212292651584516
1.2424242424242424,2.433735918835184,314.3792189043728,0.09426991684184802,2.4974538305816156
1.4848484848484849,2.426452890453668,300.3649607687792,0.1716821401506262,2.477649268437562
1.7272727272727273,2.418519764648839,288.815010322867,0.23736091579460392,2.4606197606808053
1.9696969696969697,2.409911703321165,279.02747183686233,0.2943994167649681,2.445646964133121
2.212121212121212,2.4006102001534964,270.56281604895696,0.3448089202425684,2.4322681104641863
2.4545454545454546,2.3906046272766743,263.12981193113654,0.3899710790007623,2.4201700553214307
2.6969696969696972,2.379893778366988,256.5271382717358,0.43087606676702533,2.4091333163414594
2.9393939393939394,2.3684873201802414,250.61099792549174,0.4682577943883574,2.3990001258502636
3.1818181818181817,2.3564070493087486,245.27596867161193,0.5026753591920505,2.3896549995534286
3.4242424242424243,2.3436878419174656,240.44306550029998,0.5345645036055322,2.381012256317781
3.666666666666667,2.3303781843829086,236.0519554729075,0.5642714304385626,2.373007602511716
3.909090909090909,2.3165401846274163,232.0556789716935,0.5920757704213615,2.3655922011363906
4.151515151515151,2.302248988858556,228.4169488915468,0.6182066272785193,2.358728326092964
4.3939393939393945,2.287591565968576,225.10548401743443,0.6428540623570874,2.3523860754070016
4.636363636363637,2.27266486944426,222.09604818043317,0.6661774909397113,2.3465408310892206
4.878787878787879,2.257573439554343,219.36699141253473,0.6883119361539622,2.34117127900041
5.121212121212121,2.2424265604456575,216.89916303478788,0.709372764735786,2.336257876172448
5.363636363636363,2.22733513055574,214.67511060647735,0.7294593264839191,2.3317816953311894
5.606060606060606,2.2124084340314236,212.67850480840863,0.7486577885251263,2.3277235984366675
5.848484848484849,2.197751011141444,210.89374564961662,0.7670433691298862,2.324063700317316
6.090909090909091,2.1834598153725837,209.30571424124022,0.7846821175426014,2.3207810851450064
6.333333333333334,2.1696218156170914,207.8996395950412,0.8016323462331666,2.3178537364597975
6.575757575757576,2.1563121580825344,206.6610533144533,0.817945793970642,2.315258638580207
6.818181818181818,2.1435929506912514,205.57580780603107,0.8336685782334751,2.3129720054860443
7.0606060606060606,2.1315126798197586,204.63013639707245,0.8488419811481315,2.3109695937317087
7.303030303030303,2.120106221633012,203.8107367765822,0.8635031026969809,2.309227058963829
7.545454545454546,2.1093953727233257,203.1048624979578,0.8776854072178489,2.3077203208974337
7.787878787878788,2.0993897998465036,202.50041075245852,0.8914191834534071,2.306425908475849
8.030303030303031,2.090088296678835,201.98599803372935,0.9047319340589204,2.305321264558241
8.272727272727273,2.081480235351161,201.55101845598531,0.9176487071628686,2.304384997024902
8.515151515151516,2.073547109546332,201.18568219650155,0.9301923800271924,2.3035970700006354
8.757575757575758,2.066264081164816,200.88103370696507,0.9423839028786604,2.3029389345320053
9.0,2.059601461011059,200.62895094638563,0.9542425094393249,2.302393602308789
9.242424242424242,2.0535260731070886,200.4221279569294,0.9657858994688984,2.3019456688871416
9.484848484848484,2.048002470211502,200.25404370063927,0.977030397668561,2.3015812944898237
9.727272727272727,2.0429939836996156,200.11892028980913,0.9879910925269846,2.301288151050054
9.96969696969697,2.0384636035397943,200.01167367392458,0.9986819580720868,2.3010553439850634
10.212121212121213,2.0343746935558498,199.92785958358522,1.0091159609934512,2.3008733164811725
10.454545454545455,2.0306915537017463,199.8636171560428,1.0193051551953867,2.3007337430602814
10.696969696969697,2.0273798450941953,199.8156122411053,1.029260765509935,2.3006294180504816
10.93939393939394,2.0244068955383696,199.78098195663142,1.0389932620277704,2.300554143427475
11.181818181818182,2.0217419037358395,199.75728166091204,1.048512426281173,2.3005026194128826
11.424242424242424,2.0193560597328832,199.74243515344375,1.0578274103279053,2.3004703402597286
11.666666666666668,2.0172225978331055,199.73468861467404,1.0669467896306133,2.3004534968469685
11.90909090909091,2.0153167964644982,199.73256855094547,1.0758786104975393,2.3004488870474815
12.151515151515152,2.013615937585872,199.73484382015775,1.0846304327422949,2.300453834318939
12.393939393939394,2.0120992363026247,199.74049167096084,1.0932093681294544,2.300466114578673
12.636363636363637,2.010747749543767,199.7486676266704,1.10162211509587,2.300483891143402
12.878787878787879,2.0095442709949616,199.7586789773264,1.109874990172424,2.300505657323094
13.121212121212121,2.008473218018004,199.76996160252705,1.117973956475478,2.3005301861371494
13.363636363636363,2.007520515025516,199.78205982767062,1.125924649589951,2.3005564865543193
13.606060606060606,2.0066734767153953,199.79460901172789,1.1337324011254357,2.3005837656314787
13.84848484848485,2.005920693688558,199.807320571234,1.1414022601919627,2.300611395929248
14.090909090909092,2.0052519222566425,199.81996915929267,1.1489390130120665,2.300638887605321
14.333333333333334,2.0046579796725332,199.8323817372571,1.156347200859924,2.3006658646222498
14.575757575757576,2.0041306455647483,199.84442829827873,1.1636311364959444,2.30069204454987
14.818181818181818,2.003662570007141,199.8560140245485,1.1707949192457328,2.3007172214896805
15.06060606060606,2.0032471883899188,199.86707268267426,1.1778424488554446,2.3007412516964023
15.303030303030303,2.002878643060954,199.87756108348927,1.1847774382407739,2.3007640415187747
15.545454545454547,2.0025517115641085,199.88745445317238,1.191603425233929,2.300785537326035
15.787878787878789,2.0022617412023744,199.89674258159332,1.198323783421637,2.3008057171277936
16.03030303030303,2.002004589588497,199.90542663113396,1.2049417321572984,2.3008245836327155
16.272727272727273,2.001776570806601,199.91351650484296,1.2114603458216682,2.300842158525411
16.515151515151516,2.00157440678884,199.92102868669124,1.217882562398755,2.300858477771276
16.757575757575758,2.0013951835062076,199.92798447899668,1.2242111914268108,2.300873587785888
