r,slope,intercept,r_squared,alpha_true,Z_true,log_Z
4,2.0006542317974776,0.15316197782640698,0.9975406032423458,2.0,1.414213562373095,0.15051499783199057
6,1.9988153624261469,0.09085168152580593,0.9975163934858681,2.0,1.224744871391589,0.08804562952784058
8,2.0047689166890756,0.06451885470483816,0.9976750146197942,2.0,1.1547005383792517,0.062469368304150036
10,1.9911443314394228,0.04487653505968083,0.9975661578890516,2.0,1.118033988749895,0.04845500650402823
12,1.994802682818057,0.040594946585325434,0.9975590148762754,2.0,1.0954451150103321,0.03959062302381238
15,1.997897621870784,0.029944623285702222,0.9974745727913846,2.0,1.0741723110591492,0.0310739533744222
