generation,L,n_nodes,mfpt_mean,mfpt_std
2,1.404621748651163,7,2.92,1.9374209661299735
3,1.8626952923938713,15,5.97,3.4812497755834757
4,2.311338497231134,31,8.43,4.723886112090342
5,2.599361465481978,63,11.3,6.80808343074613
6,2.8222866792053454,127,13.46,6.737091360520502
