time,weak_pulse,strong_pulse
0.0,5.0163019176683345e-11,5.0163019176683345e-11
0.0005001250312578145,1.5028765464494854e-10,1.5028765464494854e-10
0.001000250062515629,3.0017256134485923e-10,3.0017256134485923e-10
0.0015003750937734434,4.996164548389498e-10,4.996164548389498e-10
0.002000500125031258,7.484181141047859e-10,7.484181141047859e-10
0.0025006251562890726,1.0463763843226567e-09,1.0463763843226567e-09
0.003000750187546887,1.3932901796582779e-09,1.3932901796582779e-09
0.0035008752188047014,1.7889584860403818e-09,1.7889584860403818e-09
0.004001000250062516,2.2331803639330787e-09,2.2331803639330787e-09
0.004501125281320331,2.7257549511028654e-09,2.7257549511028654e-09
0.005001250312578145,3.2664814653801688e-09,3.2664814653801688e-09
0.00550137534383596,3.855159207415302e-09,3.855159207415302e-09
0.006001500375093774,4.4915875634287196e-09,4.4915875634287196e-09
0.006501625406351588,5.17556600795546e-09,5.17556600795546e-09
0.007001750437609403,5.906894106583657e-09,5.906894106583657e-09
0.0075018754688672175,6.685371518687003e-09,6.685371518687003e-09
0.008002000500125032,7.51079800015107e-09,7.51079800015107e-09
0.008502125531382847,8.382973406093354e-09,8.382973406093354e-09
0.009002250562640661,9.301697693576955e-09,9.301697693576955e-09
0.009502375593898476,1.0266770924317758e-08,1.0266770924317758e-08
0.01000250062515629,1.1277993267385044e-08,1.1277993267385044e-08
0.010502625656414105,1.2335165001895382e-08,1.2335165001895382e-08
0.01100275068767192,1.3438086519699737e-08,1.3438086519699737e-08
0.011502875718929734,1.4586558328063647e-08,1.4586558328063647e-08
0.012003000750187547,1.578038105234041e-08,1.578038105234041e-08
0.012503125781445362,1.701935543863715e-08,1.701935543863715e-08
0.013003250812703177,1.8303282356473643e-08,1.8303282356473643e-08
0.013503375843960991,1.9631962801433876e-08,1.9631962801433876e-08
0.014003500875218806,2.1005197897810142e-08,2.1005197897810142e-08
0.01450362590647662,2.2422788901239635e-08,2.2422788901239635e-08
0.015003750937734435,2.3884537201333445e-08,2.3884537201333445e-08
0.01550387596899225,2.5390244324297833e-08,2.5390244324297833e-08
0.016004001000250064,2.6939711935547694e-08,2.6939711935547694e-08
0.016504126031507877,2.8532741842312136e-08,2.8532741842312136e-08
0.017004251062765693,3.016913599623206e-08,3.016913599623206e-08
0.017504376094023506,3.184869649594965e-08,3.184869649594965e-08
