N,h,L2_error,Linf_error,solve_time_s
20,0.05,0.9110412370162461,0.9960885040259946,0.0008580684661865234
40,0.025,0.5114506586196214,0.5557662183985386,0.0006933212280273438
80,0.0125,0.26047132100395726,0.2823317455619936,0.0008873939514160156
160,0.00625,0.12239597149121435,0.13251707850537642,0.0012936592102050781
320,0.003125,0.050243277061021024,0.054368335927655664,0.0015418529510498047
