N,P,phi_max
30,0.13969701336366136,0.09053730472904387
60,0.1423215061154043,0.0905429956019706
120,0.14360565838766104,0.09054441850605546
240,0.14424095722639782,0.09054477424369517
480,0.14455694212901934,0.09054486317882719
