gamma,P
0.2,0.008959392750812136
0.4,0.035837571003248546
0.6,0.0806345347573093
0.8,0.14335028401299418
1.0,0.22398481877030327
1.2,0.3225381390292372
1.5,0.5039658422331823
2.0,0.8959392750812131
