L_nm,k,enhancement,thiele,effectiveness,k_effective
1.0,2511.886431509582,25118.86431509582,0.0050118723362727255,1.0,2511.886431509582
1.083163152428004,2107.04334309581,21070.4334309581,0.004971994187340887,1.0,2107.04334309581
1.173242414777767,1767.449194355613,17674.491943556128,0.004932433338343194,1.0,1767.449194355613
1.2708129525529297,1482.5877525796254,14825.877525796253,0.004893187264607585,1.0,1482.5877525796254
1.3764977638335711,1243.6376961321869,12436.376961321868,0.004854253461550162,1.0,1243.6376961321869
1.490971657184063,1043.1994440463468,10431.994440463468,0.004815629444515334,1.0,1043.1994440463468
1.6149655603762951,875.0660127488808,8750.660127488807,0.004777312748617262,1.0,875.0660127488808
1.7492711874398459,734.0308040215987,7340.308040215987,0.004739300928582555,1.0,734.0308040215987
1.8947460938388136,615.7263719568319,6157.263719568319,0.004701591558594221,1.0,615.7263719568319
2.0523191520530966,516.4891759937149,5164.891759937149,0.00466418223213685,1.0,516.4891759937149
2.2229964825261908,433.24613183430694,4332.461318343069,0.004627070561843048,1.0,433.24613183430694
2.4078678778494336,363.41944705472787,3634.1944705472783,0.00459025417934107,1.0,363.41944705472787
2.6081137612015204,304.84679445003144,3048.4679445003144,0.004553730735103684,1.0,304.84679445003144
2.8250127234738867,255.71435111579436,2557.1435111579435,0.00451749789829823,1.0,255.71435111579436
3.059949687207196,214.50062968364097,2145.0062968364095,0.004481553356637862,1.0,214.50062968364097
3.3144247494664314,179.92936232915474,1799.2936232915472,0.0044458948162339985,1.0,179.92936232915474
3.590062760117443,150.92997850833638,1509.2997850833638,0.004410520001449929,1.0,150.92997850833638
3.8886236966631906,126.60445253429071,1266.044525342907,0.004375426654755572,1.0,126.60445253429071
4.212013901883941,106.1994943610368,1061.994943610368,0.004340612536583433,1.0,106.1994943610368
4.562298256035168,89.0832224047196,890.8322240471961,0.00430607542518566,1.0,89.0832224047196
4.941713361323838,74.725596028075,747.25596028075,0.0042718131164922605,1.0,74.725596028075
5.352681822847117,62.68200173970386,626.8200173970386,0.004237823423970455,1.0,62.68200173970386
5.797827717179135,52.579484820972226,525.7948482097222,0.004204104178485124,1.0,52.579484820972226
6.27999334737421,44.10520001449918,441.0520001449918,0.004170653228160385,1.0,44.10520001449918
6.802257391368743,36.99672362600013,369.9672362600013,0.004137468438242269,1.0,36.99672362600013
7.367954559661629,31.033927033743907,310.3392703374391,0.00410454769096248,1.0,31.033927033743907
7.980696887789376,26.032159952101633,260.3215995210163,0.004071888885403247,1.0,26.032159952101633
8.644396799550266,21.83653235489533,218.36532354895328,0.00403948993736325,1.0,21.83653235489533
9.363292088239417,18.317117986511544,183.17117986511545,0.004007348779224608,1.0,18.317117986511544
10.141972975401597,15.364930927623611,153.6493092762361,0.003975463359820931,1.0,15.364930927623611
10.985411419875595,12.888550621582073,128.88550621582073,0.003943831644306425,1.0,12.888550621582073
11.89899286427102,10.811290848463026,108.11290848463025,0.003912451614026024,1.0,10.811290848463026
12.8885506215821,9.068824978220304,90.68824978220303,0.0038813212663865696,1.0,9.068824978220304
13.960403121500748,7.607193964010746,76.07193964010746,0.0038504386147290106,1.0,7.607193964010746
15.121394254250502,6.38113538910062,63.81135389100619,0.0038198016882016166,1.0,6.38113538910062
16.378937069540648,5.352681822847103,53.52681822847103,0.0037894085316342112,1.0,5.352681822847103
17.741061109663505,4.4899850809584505,44.89985080958451,0.0037592572054133875,1.0,4.4899850809584505
19.216463678960988,3.766329980829356,37.66329980829356,0.0037293457853587327,1.0,3.766329980829356
20.81456537702158,3.159307050852402,31.59307050852402,0.0036996723626000322,1.0,3.159307050852402
22.545570250193435,2.650118574944356,26.50118574944356,0.0036702350434554497,1.0,2.650118574944356
24.420530945486547,2.2229964825261876,22.229964825261877,0.003641031949310674,1.0,2.2229964825261876
26.45141928287878,1.8647140577200731,18.64714057720073,0.0036120612164990385,1.0,1.8647140577200731
28.651202696637817,1.564176346832297,15.641763468322969,0.003583320996182576,1.0,1.564176346832297
31.03392703374395,1.312076580245798,13.12076580245798,0.0035548094542340396,1.0,1.312076580245798
33.61480623809069,1.100607969118006,11.006079691180059,0.0035265247711198503,1.0,1.100607969118006
36.41031949310677,0.92322195207473,9.2322195207473,0.0034984651417839766,1.0,0.92322195207473
39.43831644306425,0.7744254055108412,7.744254055108411,0.0034706287755327456,1.0,0.7744254055108412
42.71813116492258,0.6496105376966654,6.4961053769666535,0.0034430138959205604,1.0,0.6496105376966654
46.270705618430505,0.5449121990105497,5.449121990105496,0.0034156187406365343,1.0,0.5449121990105497
50.11872336272725,0.45708818961487474,4.570881896148747,0.003388441561392026,1.0,0.45708818961487474
