state,alpha_true,alpha_estimated,r_squared
awake,2.0022071768964924,1.8572838153479703,0.9903350079288143
awake,2.19728201214495,2.243493176956866,0.9909552265887248
awake,2.114612601459647,2.0196927897585755,0.9939966537729361
awake,2.1667287330897484,2.030034508722659,0.9909809484817769
awake,2.241473880150025,2.255656018192075,0.987509569003184
awake,2.114018773764953,2.105816231703585,0.9923244678851526
awake,2.3975060399133863,2.432317239138088,0.9883008634311374
awake,2.0071516795728477,2.044899548955747,0.9875538005138446
awake,1.8814713557627945,1.9526064206709055,0.997797566552434
awake,2.0657458811013543,1.9981013238751886,0.9943973278998138
awake,1.907787753033296,1.8209565843801423,0.9915489308029046
awake,2.0306056085110664,2.0079357130771265,0.9879557147281893
awake,2.0882836484830816,2.0069393547424808,0.9925391541177553
awake,2.0777732199752657,2.1369343517859756,0.9958935467759595
awake,1.9122116609289823,1.832337680879501,0.9853431990512826
awake,2.076119743262004,2.0548250817007045,0.9946480938205327
awake,2.0119543520969305,2.098033647828118,0.9960999257854168
awake,2.3794139529570426,2.3695596206546523,0.9912076388565557
awake,1.8988304951016435,1.8052960157130846,0.9938467125535055
awake,2.1357849189213116,2.1190949099545264,0.99222277010324
awake,2.1786345269928047,2.1836352370577754,0.994782820471377
awake,1.9511011476822628,1.9456342647401874,0.9976533678684657
awake,2.1601707391896343,1.9973546755750724,0.9990944705525222
awake,2.0812070065845845,2.0842031574431115,0.9902727779345201
awake,2.167698423711512,2.1452649862115503,0.9938375181385665
awake,2.1395832741525034,2.1860298237122513,0.9905166242069441
awake,2.0179742317207827,2.04195427480822,0.9893476311029652
awake,2.3616743324039833,2.363968118798507,0.9956939625187871
awake,2.1524621722871973,2.312977666124922,0.9926215488600926
awake,2.1656928394469634,2.156749162457505,0.9983673774470011
awake,2.105035147210351,2.1485456033495813,0.9972494597155319
awake,2.0131306744489685,2.0125412090645773,0.990951996957977
awake,1.9102181946002705,1.8613925341600506,0.9893926602568921
awake,1.9643399246503697,2.056837290667216,0.9836630803388624
awake,2.0121073846929285,1.9805695812211592,0.9946638865982961
awake,2.1367915398326414,2.246785255218599,0.992819801460762
awake,2.228468971972318,2.1541835790889063,0.9989919732760977
awake,2.3018812504766575,2.25088869829275,0.9979443334750302
awake,2.2120588241736185,2.2546300407635216,0.987054277897747
awake,2.1195194157147066,2.16042698287527,0.9932201504415206
awake,2.258509564616352,2.150780431178947,0.9871196179410303
awake,2.0120572425671774,2.0912267626112646,0.995104976961748
awake,1.7755981484228207,1.5975961527453326,0.9956962998702115
awake,2.099562727287781,2.054358378624301,0.9851959359502166
awake,1.9637769077088496,2.029221313203445,0.996312066295998
awake,2.191893956600567,2.2451112940001794,0.9980292556704501
