t,mu_ratio,lambda,M2,m2,gamma
0.0,1.0,1.0,0.25,1.0,0.8
0.02004008016032064,1.0202422306794698,1.0004748384235163,0.25007394005247524,1.0000253839389006,0.8000934235972655
0.04008016032064128,1.0408942092618207,1.0009501023333396,0.2501479155592431,1.0000507736411406,0.8001868898162003
0.06012024048096192,1.061964229958623,1.001425792273425,0.25022192655236664,1.0000761691108506,0.800280398693716
0.08016032064128256,1.083460754874791,1.001901908873599,0.2502959730689456,1.000101570352809,0.8003739502725177
0.1002004008016032,1.105392417407119,1.002378452482636,0.2503700551293774,1.000126977369629,0.800467544576053
0.12024048096192384,1.1277680257116107,1.0028554237378016,0.2504441727711379,1.0001523901661318,0.8005611816474464
0.1402805611222445,1.1505965662409956,1.0033328232363716,0.25051832602938806,1.000177808746843,0.8006548615271666
0.16032064128256512,1.1738872073538518,1.0038106515756218,0.2505925149392887,1.000203233116289,0.8007485842556819
0.18036072144288576,1.1976493029967872,1.004288909352828,0.2506667395360007,1.000228663278996,0.8008423498734608
0.2004008016032064,1.2218923964611546,1.004767597165266,0.25074099985468495,1.0002540992394902,0.8009361584209717
0.22044088176352705,1.2466262242158115,1.0052467156102114,0.25081529593050234,1.0002795410022975,0.801030009938683
0.24048096192384769,1.2718607198174645,1.0057262652849404,0.2508896277986137,1.0003049885719444,0.8011239044670633
0.2605210420841683,1.2976060179001663,1.006206246786728,0.2509639954941799,1.0003304419529568,0.8012178420465809
0.280561122244489,1.3238724582455696,1.0066866607128508,0.25103839905236186,1.0003559011498608,0.8013118227177042
0.3006012024048096,1.3506705899355733,1.0071675076605842,0.25111283850832045,1.000381366167183,0.8014058465209019
0.32064128256513025,1.378011175589025,1.0076487882262959,0.25118731389715615,1.0004068370094406,0.8014999134965712
0.3406813627254509,1.4059051956841855,1.0081305029382424,0.25126182524944085,1.000432313680522,0.8015940236797958
0.3607214428857715,1.43436385296869,1.0086126523383179,0.2513363725966531,1.0004577961844408,0.801688177106723
0.3807615230460922,1.4633985769587756,1.0090952370064759,0.25141095597280205,1.0004832845255631,0.8017823738164698
0.4008016032064128,1.493021028529583,1.0095782575226704,0.2514855754118969,1.000508778708255,0.8018766138481531
0.42084168336673344,1.5232431045983783,1.0100617144668553,0.2515602309479469,1.0005342787368823,0.8019708972408899
0.4408817635270541,1.5540769429025707,1.0105456084189843,0.251634922614961,1.0005597846158107,0.802065224033797
0.4609218436873747,1.5855349268744499,1.0110299399590112,0.2517096504469485,1.0005852963494068,0.8021595942659915
0.48096192384769537,1.6176296906145988,1.01151470966689,0.2517844144779185,1.0006108139420362,0.8022540079765902
0.501002004008016,1.650374123965979,1.0119999181225743,0.2518592147418802,1.000636337398065,0.8023484652047101
0.5210420841683366,1.6837813776907264,1.0124855659060181,0.25193405127284274,1.0006618667218588,0.8024429659894683
0.5410821643286573,1.7178648687517377,1.0129716535971751,0.2520089241048153,1.0006874019177838,0.8025375103699816
0.561122244488978,1.7526382857011678,1.0134581817759991,0.25208383327180695,1.0007129429902062,0.8026320983853668
0.5811623246492986,1.7881155941780016,1.013945151057175,0.2521587788094516,1.0007384899436633,0.8027267300765252
0.6012024048096192,1.8243110425169098,1.014432562074959,0.25223376075429826,1.00076404278279,0.8028214054853635
0.6212424849699398,1.8612391674706414,1.0149204154222322,0.252308779140961,1.0007896015120155,0.8029161246516626
0.6412825651302605,1.8989148000482468,1.015408711691651,0.2523838340040431,1.0008151661357692,0.8030108876151921
0.6613226452905812,1.9373530714714828,1.0158974514758714,0.25245892537814774,1.0008407366584797,0.8031056944157215
0.6813627254509018,1.9765694192517882,1.016386635367549,0.2525340532978784,1.0008663130845756,0.8032005450930202
0.7014028056112224,2.0165795933902686,1.0168762639593398,0.2526092177978384,1.0008918954184858,0.8032954396868578
0.721442885771543,2.057399662703186,1.0173663378439002,0.25268441891263094,1.0009174836646388,0.8033903782370037
0.7414829659318637,2.0990460212754876,1.0178568576138858,0.25275965667685946,1.000943077827464,0.8034853607832273
0.7615230460921844,2.1415353950449694,1.0183478238619523,0.25283493112512717,1.0009686779113895,0.8035803873652981
0.781563126252505,2.184884848519719,1.0188392371807564,0.25291024229203746,1.0009942839208446,0.8036754580229859
0.8016032064128256,2.229111791631534,1.0193310981629533,0.25298559021219363,1.0010198958602574,0.8037705727960598
0.8216432865731462,2.274233986728066,1.0198234082010509,0.2530609749574721,1.0010455137379823,0.8038657317652182
0.8416833667334669,2.320269555706506,1.0203161661577267,0.2531363964818592,1.0010711375499586,0.803960934881707
0.8617234468937875,2.3672369872916685,1.020809373717151,0.25321185487082276,1.0010967673059712,0.8040561822411485
0.8817635270541082,2.4151551444613997,1.0213030314743556,0.2532873501590769,1.0011224030104606,0.8041514738834342
0.9018036072144289,2.464043272022296,1.0217971400254435,0.2533628823813855,1.0011480446678724,0.8042468098485098
0.9218436873747494,2.5139210043387665,1.0222916999675908,0.2534384515725625,1.0011736922826577,0.8043421901763761
0.9418837675350701,2.5648083732185567,1.0227867118990441,0.2535140577674718,1.0011993458592725,0.8044376149070886
0.9619238476953907,2.616725815957883,1.0232821764191231,0.25358970100102723,1.0012250054021783,0.8045330840807579
0.9819639278557114,2.6696941835494266,1.0237780941282186,0.25366538130819255,1.001250670915842,0.8046285977375491
1.002004008016032,2.7237347490564727,1.0242744656277933,0.2537410987239815,1.0012763424047355,0.8047241559176826
1.0220440881763526,2.778869216156562,1.024771291520382,0.2538168532834577,1.0013020198733358,0.8048197586614332
