t_cycles,F_pN,z_nm
0.0,160.00671352874687,4.0404715418486106e-12
0.005025125628140703,159.92696444283897,1.2119400810593992e-11
0.010050251256281405,159.68779668073836,2.423074836879515e-11
0.01507537688442211,159.2894486500717,4.036445517676454e-11
0.02010050251256281,158.73231743281906,6.050645261963756e-11
0.025125628140703512,158.01695838949416,8.463867653127386e-11
0.03015075376884422,157.14408460554867,1.1273908520101094e-10
0.035175879396984924,156.11456618055345,1.447816813453207e-10
0.04020100502512562,154.92942936086413,1.807365380224671e-10
0.045226130653266326,153.5898555166365,2.205698284643325e-10
0.050251256281407024,152.0971799642111,2.6424385979567573e-10
0.055276381909547735,150.45289063504075,3.117171106072099e-10
0.06030150753768844,148.65862659248825,3.629442723450461e-10
0.06532663316582914,146.7161763979722,4.1787629447524546e-10
0.07035175879396985,144.62747632809018,4.764604333784578e-10
0.07537688442211055,142.39460844449627,5.386403049259088e-10
0.08040201005025124,140.01979851845644,6.043559406843257e-10
0.08542713567839195,137.50541381215146,6.735438476937754e-10
0.09045226130653265,134.85396071893862,7.461370717588282e-10
0.09547738693467336,132.06808226492402,8.220652641899557e-10
0.10050251256281405,129.15055547433704,9.012547519286345e-10
0.10552763819095476,126.1042886013318,9.836286109862529e-10
0.11055276381909547,122.9323182309765,1.0691067431236164e-09
0.11557788944723617,119.63780625231927,1.1576059556946133e-09
0.12060301507537688,116.22403670654829,1.2490400445744544e-09
0.12562814070351758,112.69441251338826,1.3433198800898198e-09
0.13065326633165827,109.05245207899597,1.4403534958652541e-09
0.135678391959799,105.30178578873648,1.5400461804972514e-09
0.1407035175879397,101.44615238833615,1.6423005719646396e-09
0.1457286432160804,97.4893952570195,1.7470167546811638e-09
0.1507537688442211,93.4354585763451,1.854092359093512e-09
0.1557788944723618,89.28838339855994,1.9634226637255157e-09
0.1608040201005025,85.05230361839037,2.0749006995667916e-09
0.1658291457286432,80.73144185228607,2.188417356701779e-09
0.1708542713567839,76.33010522922405,2.3038614930728777e-09
0.1758793969849246,71.85268109726896,2.4211200452692648e-09
0.1809045226130653,67.30363265016895,2.5400781412309657e-09
0.185929648241206,62.68749447834725,2.6606192147558177e-09
0.19095477386934673,58.00886804872368,2.782625121695198e-09
0.19597989949748743,53.272417117872415,2.905976257722678e-09
0.2010050251256281,48.48286308308811,3.0305516775582212e-09
0.20603015075376882,43.64498027599407,3.1562292155290634e-09
0.21105527638190952,38.76359120338509,3.282885607347117e-09
0.21608040201005024,33.84356174004742,3.410396612981489e-09
0.22110552763819094,28.889796278349262,3.538637140503651e-09
0.22613065326633167,23.90723283943563,3.6674813707817886e-09
0.23115577889447234,18.90083815090145,3.796802882900054e-09
0.23618090452261303,13.875602695849599,3.926474780177682e-09
0.24120603015075376,8.8365357382687,4.056369816662355e-09
0.24623115577889446,3.7886603296900265,4.186360523971747e-09
0.25125628140703515,1.2629916978997875,4.3163831242055084e-09
0.2562814070351758,6.31338474789796,4.446565149321164e-09
0.26130653266331655,11.357484478678206,4.57703397235805e-09
0.2663316582914573,16.39026282193147,4.7079166804691e-09
0.271356783919598,21.406702994754063,4.839339948237602e-09
0.27638190954773867,26.401804500485984,4.971429911405222e-09
0.2814070351758794,31.370588113314515,5.104312041137153e-09
0.28643216080402006,36.30810084167504,5.238111018949731e-09
0.2914572864321608,41.20942086550065,5.372950612425183e-09
0.29648241206030146,46.06966244239937,5.508953551837415e-09
0.3015075376884422,50.88398077786848,5.646241407811802e-09
0.3065326633165829,55.64757685469111,5.784934470140943e-09
0.3115577889447236,60.3557022167008,5.925151627877189e-09
0.3165829145728643,65.00366370214606,6.067010250821439e-09
0.321608040201005,69.58682812193591,6.210626072526374e-09
0.3266331658291457,74.10062687810364,6.356113074930739e-09
0.3316582914572864,78.54056051788463,6.503583374739661e-09
0.3366834170854271,82.90220321886856,6.6531471116642846e-09
0.3417085427135678,87.18120720075567,6.804912338632108e-09
0.3467336683417085,91.37330705931844,6.958984914077477e-09
0.3517587939698492,95.47432401824953,7.115468396419598e-09
0.35678391959798994,99.48017009465681,7.274463940833249e-09
0.3618090452261306,103.38685217405362,7.436070198415103e-09
0.36683417085427134,107.19047599078199,7.600383217846172e-09
0.371859296482412,110.88725000990149,7.767496349648393e-09
0.3768844221105527,114.4734892066737,7.93750015313079e-09
0.38190954773869346,117.94561873987514,8.110482306117994e-09
0.3869346733668341,121.30017751527632,8.286527517551077e-09
0.39195979899497485,124.53382163573616,8.465717443047841e-09
0.3969849246231155,127.64332773447124,8.648130603506712e-09
0.4020100502512562,130.62559618817778,8.833842306835415e-09
0.40703517587939697,133.47765420680395,9.0229245728824e-09
0.41206030150753764,136.19665879689114,9.215446061645908e-09
0.41708542713567837,138.77989959553204,9.41147200483217e-09
0.42211055276381904,141.22480157211896,9.611064140831043e-09
0.4271356783919598,143.528927595191,9.814280653173821e-09
0.4321608040201005,145.6899808618189,1.0021176112534652e-08
0.43718592964824116,147.70580718710858,1.0231801422333279e-08
0.4422110552763819,149.57439715153967,1.0446203767993413e-08
0.44723618090452255,151.29388810399806,1.0664426569907276e-08
0.45226130653266333,152.86256601850752,1.0886509440153216e-08
0.457286432160804,154.27886720280773,1.1112488143009513e-08
0.46231155778894467,155.54137985707703,1.1342394559303783e-08
0.4673366834170854,156.6488454812449,1.157625665463346e-08
0.47236180904522607,157.60016012949242,1.1814098451489097e-08
0.47738693467336685,158.3943755106894,1.2055940005308211e-08
0.4824120603015075,159.0306999336714,1.2301797384483597e-08
0.4874371859296482,159.5084990964152,1.2551682654345995e-08
