grid_N,t,beta_center
5,0.0,0.0
5,0.21650635094610965,0.0006508145604478024
5,0.4330127018922193,0.007583868501052556
7,0.0,0.0
7,0.14433756729740643,5.552898954698675e-05
7,0.28867513459481287,0.0036445934282282244
7,0.4330127018922193,0.00871404800343864
9,0.0,0.0
9,0.10825317547305482,3.5441107124136447e-06
9,0.21650635094610965,0.0013122113658945345
9,0.3247595264191645,0.005792888576408601
9,0.4330127018922193,0.008163121833869793
