log10_mu,mu_GeV,g1,g2,g3,alpha1_inv,alpha2_inv,alpha3_inv,spread
1.9599357855026331,91.1876,0.4620634553153521,0.6515305053127235,1.2171996941475736,58.858151854031775,29.60331557134399,8.481764206955047,50.376387647076726
1.9900761947501229,97.74086872792164,0.46224543344874003,0.6511615890363512,1.211510242680821,58.81181807770597,29.63686865194889,8.561614784420945,50.250203293285026
2.0202166039976124,104.76509327681403,0.46242759341660017,0.6507931706589529,1.2059016122164299,58.765492776301535,29.670433409988625,8.641439872453825,50.12405290384771
2.0503570132451023,112.2941192578546,0.4626099361714916,0.6504252514583568,1.200371831107132,58.71917578568117,29.70400962671003,8.721240708307711,49.99793507737346
2.080497422492592,120.3642246237377,0.4627924626373022,0.6500578326095455,1.1949190242436292,58.672866949938346,29.737597091608613,8.801018074465286,49.87184887547306
2.110637831740082,129.0142944708142,0.4629751737014519,0.649690915177351,1.189541427856388,58.6265661233272,29.771195603175823,8.88077200516591,49.74579411816129
2.1407782409875713,138.286008403525,0.46315807025265404,0.6493245001746923,1.1842373067755096,58.580273160654166,29.80480496363644,8.960502949534263,49.6197702111199
2.1709186502350613,148.2240413639267,0.46334115316724467,0.6489585885486249,1.1790049799360103,58.53398792073244,29.838424980270165,9.04021137343669,49.49377654729575
2.2010590594825508,158.8762788939898,0.4635244233090557,0.6485931811745933,1.1738428237106258,58.48771026639394,29.872055465990734,9.119897674074478,49.36781259231946
2.2311994687300407,170.29404786789127,0.46370788153089687,0.6482282788649145,1.1687492651082085,58.441440064095566,29.905696238617498,9.199562249041303,49.241877815054266
2.26133987797753,182.5323638060653,0.46389152867479133,0.6478638823699202,1.1637227806395207,58.39517718384193,29.93934712081775,9.279205482339888,49.11597170150204
2.29148028722502,195.65019596267322,0.46407536557237833,0.6474999923801167,1.1587618944190827,58.34892149906652,29.973007939953874,9.358827743219285,48.990093755847234
2.3216206964725097,209.71075146379312,0.4642593930439422,0.6471366095206942,1.1538651827137911,58.30267288685869,30.006678528638137,9.438429281007725,48.86424360585096
2.351761105719999,224.78177986542468,0.4644436119030934,0.6467737343779449,1.1490312523968356,58.25643122677093,30.040358722328655,9.518010545747185,48.73842068102374
2.381901514967489,240.9358995987947,0.4646280229526712,0.6464113674760795,1.1442587597683243,58.21019640183425,30.074048361516112,9.597571857687123,48.61262454414713
2.4120419242149786,258.2509478759118,0.46481262698739145,0.6460495092920081,1.1395463983497824,58.16396829787806,30.107747290393814,9.677113579517442,48.48685471836062
2.4421823334624686,276.81035574135984,0.4649974247928119,0.6456881602496237,1.1348929037002637,58.11774680377535,30.1414553574277,9.75663601046356,48.36111079331179
2.472322742709958,296.70355007748356,0.46518241714714204,0.6453273207297351,1.1302970452162804,58.07153181097592,30.175172414468314,9.83613950016478,48.235392310811136
2.502463151957448,318.0263844999938,0.4653676048200873,0.6449669910637326,1.1257576313531743,58.025323213782265,30.208898317377365,9.915624335803727,48.10969887797854
2.5326035612049376,340.8816012202253,0.46555298857470484,0.6446071715437686,1.1212735013235258,57.97912090887349,30.242632925110733,9.995090863068068,47.984030045805426
2.5627439704524275,365.37932609948916,0.46573856916613926,0.6442478624158203,1.1168435307324598,57.93292479560859,30.276376100400878,10.074539365622952,47.85838542998564
2.592884379699917,391.637599280896,0.465924347342287,0.643889063883333,1.112466628595871,57.886734775848396,30.310127709449766,10.153970094106613,47.732764681741784
2.623024788947407,419.78294395545475,0.46611032384441903,0.6435307761106269,1.1081417346232996,57.840550753789,30.34388762164071,10.233383293466744,47.60716746032226
2.6531651981948965,449.95097600299357,0.46629649940773343,0.643172999225898,1.1038678170138851,57.79437263581369,30.377655709285477,10.31277922365544,47.48159341215825
2.6833056074423864,482.2870574454072,0.46648287476168016,0.6428157333230324,1.0996438706612046,57.74820033040231,30.41143184748086,10.392158174929191,47.35604215547312
2.713446016689876,516.9469968608357,0.46666945063045123,0.6424589784642841,1.0954689150606858,57.70203374800035,30.445215913881857,10.471520490680302,47.230513257320055
2.743586425937366,554.0978001336613,0.46685622773232993,0.642102734676709,1.091341997352657,57.65587280117065,30.47900778906501,10.550866493238532,47.10500630793212
2.7737268351848554,593.9184751577443,0.467043206778161,0.6417470019437884,1.0872621993612572,57.60971740496085,30.512807357352756,10.63019632711717,46.97952107784368
2.803867244432345,636.6008943702923,0.46723038847475407,0.6413917802240685,1.0832286221016214,57.56356747605265,30.54661450507243,10.709510238066317,46.85405723798633
2.834007653679835,682.3507192724038,0.4674177735240709,0.6410370694467104,1.0792403895441058,57.51742293295459,30.580429121000623,10.788808487031897,46.72861444592269
2.8641480629273244,731.3883913910104,0.46760536262304925,0.6406828695104664,1.075296649605704,57.47128369603715,30.614251096484367,10.868091314829032,46.60319238120812
2.8942884721748143,783.9501944570811,0.4677931564636098,0.6403291802836807,1.0713965742601235,57.42514968752236,30.64808032546534,10.947358923121634,46.47779076440072
2.924428881422304,840.2893929180962,0.4679811557334996,0.6399760016089988,1.0675393555316928,57.379020831268484,30.68191670405257,11.02661153989466,46.352409291373824
2.954569290669794,900.6774522706219,0.4681693611162492,0.6396233333030878,1.0637242058495624,57.3328970527732,30.715760130569915,11.105849398852689,46.22704765392051
2.9847096999172833,965.4053470930453,0.4683577732910499,0.639271175155938,1.059950358722651,57.2867782791963,30.749610505644185,11.185072711236323,46.101705567959975
3.0148501091647733,1034.784963081109,0.4685463929329883,0.6389195269321446,1.0562170677316678,57.24066443929484,30.783467732103063,11.264281672288668,45.97638276700617
