time_s,alpha,phase,conscious,pci_proxy,entropy_proxy
0.0,2.2743296601711873,baseline,True,0.0,0.9774229712651082
0.1,2.223494197725534,baseline,True,0.009861369171856258,0.985015103074906
0.2,2.263231463722799,baseline,True,0.02063250340626692,0.9792127589519058
0.30000000000000004,2.3912741620516154,baseline,True,0.029585082220101384,0.9540713590332419
0.4,2.250036169856661,baseline,True,0.039754201958906166,0.9812445741290233
0.5,2.2480928313147506,baseline,True,0.04965411812422626,0.9815349841150692
0.6000000000000001,2.3883610396764623,baseline,True,0.05934801919833812,0.9547527108584252
0.7000000000000001,2.5455952108117383,baseline,True,0.06944691073438158,0.9106977597817885
0.8,2.0732482806186336,baseline,True,0.07900273973345372,0.9983904068159242
0.9,2.1076196650484684,baseline,True,0.08902067890742875,0.9965254023084567
1.0,2.5969478111507813,baseline,True,0.09925777469523561,0.8930959932286874
1.1,2.150429790715325,baseline,True,0.1090213106472967,0.9932112634196031
1.2000000000000002,2.2412285036315023,baseline,True,0.1183395659037882,0.9825426427107119
1.3,2.1738720043635333,baseline,True,0.1280661298506725,0.9909305578295823
1.4000000000000001,2.438954024582266,baseline,True,0.1378215763981022,0.9421958092909095
1.5,2.1232901569636704,baseline,True,0.1476445984985561,0.995439861158762
1.6,2.310407534698063,baseline,True,0.15813604702431008,0.9710941487208012
1.7000000000000002,2.117322796250384,baseline,True,0.16825704913604023,0.9958706084439972
1.8,2.3830813774195483,baseline,True,0.17877805898098695,0.9559745974823025
1.9000000000000001,2.376353677541935,baseline,True,0.18964721935335663,0.9575073728201984
2.0,2.286608568918856,baseline,True,0.20018855254937437,0.9753566584666856
2.1,2.4486325480401643,baseline,True,0.2103132747059121,0.939618651051697
2.2,2.2433335396334844,baseline,True,0.220617182152758,0.9822366365468318
2.3000000000000003,2.3275921169398837,baseline,True,0.2300494637742831,0.9678050214756537
2.4000000000000004,2.564671170659856,baseline,True,0.2397928435115766,0.9043439407076883
2.5,2.3906489393943104,baseline,True,0.250789984240742,0.9542180218450301
2.6,2.082291485464501,baseline,True,0.26118921683122304,0.9979684334260137
2.7,2.0656157410713742,baseline,True,0.2719638639336945,0.9987083723570963
2.8000000000000003,2.3579643952456344,baseline,True,0.2824892502874113,0.9615584475209282
2.9000000000000004,2.1768910028608364,baseline,True,0.2917474341810489,0.9906128719320663
3.0,2.226455766753701,baseline,True,0.30164759135254227,0.984615335711198
3.1,2.346713971040993,baseline,True,0.3120165033769955,0.9639368266854956
3.2,2.1394821657770646,baseline,True,0.3225562964167149,0.9941634176290418
3.3000000000000003,2.0848727821615975,baseline,True,0.3326338272764726,0.997838983254445
3.4000000000000004,2.257852421505352,baseline,True,0.34343907825217107,0.9800536386171479
3.5,2.4869633169421865,baseline,True,0.35408010386322436,0.9288600183857991
3.6,2.122505169160852,baseline,True,0.3644079348408661,0.9954977450586613
3.7,2.3255042238113144,baseline,True,0.3741092589552723,0.9682141000842981
3.8000000000000003,2.246857357953046,baseline,True,0.3844008345746712,0.9817184334473325
3.9000000000000004,2.2074826504222522,baseline,True,0.3944389293848815,0.9870852849321272
4.0,2.5665967882602256,baseline,True,0.4041883307472837,0.9036904238599591
4.1000000000000005,2.3836906464618,baseline,True,0.4139977520261467,0.9558344463453178
4.2,2.500678981926927,baseline,True,0.4244344214936276,0.9247961671169848
4.3,2.3380245639363118,baseline,True,0.43443209643292824,0.9657218182526999
4.4,2.282559588293036,baseline,True,0.44368603049804173,0.9760480237191009
4.5,2.469268380901232,baseline,True,0.454473072037557,0.9339361560059009
4.6000000000000005,2.3546423223246657,baseline,True,0.46408920423184025,0.9622686469648504
4.7,2.255580600014753,baseline,True,0.473675787532663,0.9804035670688296
4.800000000000001,2.0196180298576363,baseline,True,0.4837877907540104,0.9998845398713515
4.9,2.3217502772909557,baseline,True,0.4940657144868445,0.9689430277189579
5.0,2.2357676981748322,baseline,True,0.5036969494191228,0.9833240777492024
5.1000000000000005,2.4420294559835103,baseline,True,0.5037691402502467,0.9413829880128766
5.2,2.029726925187987,baseline,True,0.505510735555253,0.9997348929756603
5.300000000000001,2.305540846780025,baseline,True,0.5051044492797945,0.9719934372846836
5.4,2.2445070650260655,baseline,True,0.5044820379585946,0.9820648885457018
5.5,2.1977993636680906,baseline,True,0.5050567463861377,0.9882626235197496
5.6000000000000005,2.289618722326692,baseline,True,0.5052232505737871,0.9748362987033563
5.7,2.16649568970416,baseline,True,0.504721966968847,0.9916837555929808
5.800000000000001,2.2712652185637254,baseline,True,0.5026072339275882,0.9779245543592723
5.9,2.3209523633716596,baseline,True,0.5029044879834328,0.9690968741338438
6.0,2.2135869696355805,baseline,True,0.5028077991400361,0.9863141819205669
6.1000000000000005,2.112633017052956,baseline,True,0.5017975522732177,0.9961941410408646
6.2,2.205204683822064,baseline,True,0.5024051624003409,0.987367311321246
6.300000000000001,2.211752941392939,baseline,True,0.5024148439702897,0.9865482075434315
6.4,2.2270736576144423,baseline,True,0.503804375363025,0.9845312662052798
6.5,2.378619166584703,baseline,True,0.5040738316900175,0.9569942580084115
6.6000000000000005,2.2946316277404173,baseline,True,0.5057218758703464,0.9739576611805096
6.7,2.385321303115117,baseline,True,0.5060086035480184,0.9554582480097005
6.800000000000001,2.4642539228913054,baseline,True,0.5075130581319021,0.9353404885240102
6.9,2.389929009312025,baseline,True,0.5070798996059491,0.9543866103090828
7.0,2.2954750355747304,baseline,True,0.5071131516745974,0.9738083510056336
7.1000000000000005,2.3360998896976652,baseline,True,0.5070046610418009,0.9661110592435652
