phase,mean_alpha,std_alpha,p_conscious,mean_pci,mean_entropy
baseline,2.295936797326605,0.14656393891228478,0.9983333333333333,0.5499300134737461,0.9672821271395765
induction,1.5877693624562443,0.34065448501334444,0.25166666666666665,0.23400295381354644,0.9142061269931685
maintenance,1.1937989311257726,0.24904575953375105,0.0077777777777777776,0.04075985515748205,0.7864048138612932
recovery,1.8847537210143461,0.3331409384990605,0.6375,0.3689747233435889,0.9627206230827778
