R_m,R_cm,grad_min_lambda05,grad_min_lambda10,grad_min_lambda20
0.0001,0.01,61075.31398786499,86373.53736783387,122150.62797572998
0.0001438449888287663,0.01438449888287663,35401.65807003489,50065.504973138275,70803.31614006979
0.00020691380811147902,0.0206913808111479,20520.19567769524,29019.93902994637,41040.39135539048
0.00029763514416313193,0.029763514416313194,11894.313814846902,16821.099912078156,23788.627629693805
0.00042813323987193956,0.04281332398719396,6894.412867604187,9750.172181965423,13788.825735208375
0.0006158482110660267,0.061584821106602676,3996.2733057920423,5651.583908000669,7992.5466115840845
0.0008858667904100822,0.08858667904100823,2316.3974425766787,3275.8806791382917,4632.794885153357
0.0012742749857031334,0.12742749857031335,1342.6752129787862,1898.8294960567835,2685.3504259575725
0.0018329807108324356,0.18329807108324356,778.2674485870109,1100.6363809452564,1556.5348971740218
0.0026366508987303583,0.26366508987303583,451.1144733106095,637.9722063386596,902.228946621219
0.00379269019073225,0.37926901907322497,261.48372053820617,369.7938239249074,522.9674410764123
0.005455594781168515,0.5455594781168515,151.5662656636265,214.34706849974415,303.132531327253
0.007847599703514606,0.7847599703514606,87.85377858297844,124.24400517777106,175.70755716595687
0.011288378916846883,1.1288378916846884,50.923511096039796,72.01672003567627,101.84702219207959
0.01623776739188721,1.623776739188721,29.517273180221732,41.743728055741194,59.034546360443464
0.023357214690901212,2.3357214690901213,17.109374378224953,24.196309289404468,34.218748756449905
0.03359818286283781,3.3598182862837813,9.917267419214278,14.025134085933654,19.834534838428556
0.04832930238571752,4.832930238571752,5.7484388902835395,8.129520241111926,11.496877780567079
0.06951927961775606,6.951927961775606,3.332021642504249,4.712190196950186,6.664043285008498
0.1,10.0,1.9313710101159478,2.7313710764801975,3.8627420202318956
