t,g
-5.0,2.3
-4.979959919839679,2.300120228223401
-4.959919839679359,2.300240431949615
-4.939879759519038,2.300360611155507
-4.919839679358717,2.300480765841078
-4.8997995991983965,2.3006008960063276
-4.8797595190380765,2.3007210016512554
-4.859719438877756,2.300841082775862
-4.839679358717435,2.300961139380147
-4.819639278557114,2.301081171464111
-4.799599198396794,2.3012011790277533
-4.779559118236473,2.301321162071074
-4.759519038076152,2.3014411205940735
-4.739478957915832,2.301561054596751
-4.719438877755511,2.301680964079108
-4.69939879759519,2.301800849041143
-4.679358717434869,2.3019207094827885
-4.659318637274549,2.3020405449764967
-4.6392785571142285,2.3021603551156997
-4.619238476953908,2.3022801399003976
-4.599198396793588,2.3023998993305907
-4.579158316633267,2.3025196334062783
-4.559118236472946,2.3026393421274607
-4.539078156312625,2.3027590254941384
-4.519038076152305,2.3028786835063104
-4.498997995991984,2.3029983161639778
-4.478957915831663,2.30311792346714
-4.458917835671342,2.303237505415797
-4.438877755511022,2.3033570620099484
-4.4188376753507015,2.3034765932495955
-4.398797595190381,2.303596099134737
-4.37875751503006,2.3037155796653734
-4.35871743486974,2.3038350690323988
-4.338677354709419,2.3039544922961457
-4.318637274549098,2.3040738901493105
-4.298597194388778,2.3041932625402732
-4.278557114228457,2.3043126094174116
-4.258517034068136,2.304431930729105
-4.238476953907815,2.3045512264237322
-4.218436873747495,2.3046704964496723
-4.198396793587174,2.3047897407553033
-4.1783567134268536,2.3049089592890044
-4.158316633266534,2.3050281519991547
-4.138276553106213,2.3051473188341327
-4.118236472945892,2.305266459742317
-4.098196392785571,2.305385574672087
-4.078156312625251,2.3055046635718215
-4.05811623246493,2.3056237263898987
-4.038076152304609,2.305742763072348
-4.018036072144288,2.305861773449335
-3.9979959919839683,2.3059807573979705
-3.9779559118236474,2.3060997148593634
-3.9579158316633265,2.3062186457746203
-3.937875751503006,2.3063375500848506
-3.9178356713426856,2.306456427731162
-3.8977955911823647,2.3065752786546625
-3.877755511022044,2.3066941027964596
-3.8577154308617234,2.3068129000976625
-3.837675350701403,2.3069316704993783
-3.817635270541082,2.3070504139427155
-3.7975951903807617,2.3071691303687825
-3.777555110220441,2.307287819718687
-3.7575150300601203,2.307406481933537
-3.7374749498997994,2.3075251169544404
-3.717434869739479,2.3076437247225057
-3.6973947895791586,2.307762305178841
-3.6773547094188377,2.307880858264554
-3.657314629258517,2.307999383920753
-3.6372745490981964,2.3081178820885464
-3.617234468937876,2.308236352709042
-3.597194388777555,2.3083547957233477
-3.5771543086172346,2.3084732110725716
-3.557114228456914,2.308591598697822
-3.5370741482965933,2.3087099585402067
-3.5170340681362724,2.3088282905408337
-3.496993987975952,2.308946594640812
-3.4769539078156315,2.3090648707812482
-3.4569138276553106,2.3091831189032517
-3.4368737474949898,2.30930133894793
-3.4168336673346693,2.3094195308563914
-3.396793587174349,2.3095376945697437
-3.376753507014028,2.3096558300290946
-3.3567134268537075,2.3097739371755535
-3.336673346693387,2.309892015950227
-3.3166332665330662,2.310010066294224
-3.2965931863727453,2.3101280881486526
-3.276553106212425,2.31024608145462
