alpha,beta,V_potential
1.5,-0.05,0.25
1.5075376884422111,-0.048875028408373516,0.23887684019193178
1.515075376884422,-0.04776142016615743,0.22811532562882295
1.5226130653266332,-0.04665917527335168,0.21770786371893525
1.5301507537688441,-0.045568293729956334,0.20764693934595774
1.5376884422110553,-0.04448877553597132,0.19792511486900397
1.5452261306532664,-0.04342062069139667,0.18853503012261447
1.5527638190954773,-0.04236382919623243,0.1794694024167555
1.5603015075376885,-0.041318401050478515,0.17072102653681842
1.5678391959798994,-0.04028433625413501,0.16228277474362163
1.5753768844221105,-0.039261634807201844,0.1541475967734083
1.5829145728643217,-0.03825029670967904,0.1463085198378483
1.5904522613065326,-0.037250321961566635,0.13875864862403736
1.5979899497487438,-0.03626171056286457,0.1314911652944964
1.6055276381909547,-0.03528446251357291,0.12449932948717314
1.6130653266331658,-0.034318577813691575,0.11777647831544036
1.620603015075377,-0.03336405646322062,0.11131602636809733
1.6281407035175879,-0.03242089846216005,0.1051114657093692
1.635678391959799,-0.03148910381050983,0.09915636587890647
1.64321608040201,-0.030568672508270008,0.09344437389178624
1.650753768844221,-0.02965960455544052,0.08796921423851081
1.6582914572864322,-0.028761899952021407,0.08272468888500889
1.6658291457286432,-0.027875558698012684,0.07770467727263505
1.6733668341708543,-0.027000580793414303,0.07290313631816935
1.6809045226130652,-0.026136966238226318,0.06831410041381825
1.6884422110552764,-0.02528471503244868,0.06393168142721362
1.6959798994974875,-0.024443827176081404,0.05975006870141357
1.7035175879396984,-0.023614302669124523,0.05576352905490216
1.7110552763819096,-0.02279614151157799,0.051966406781588904
1.7185929648241207,-0.02198934370344182,0.04835312365080964
1.7261306532663316,-0.021193909244716043,0.04491817890732602
1.7336683417085428,-0.020409838135400617,0.04165614927132532
1.7412060301507537,-0.019637130375495575,0.038561688938421095
1.7487437185929648,-0.01887578596500088,0.03562952957965242
1.7562814070351758,-0.01812580490391658,0.032854480341484624
1.763819095477387,-0.017387187192242623,0.03023142784580859
1.771356783919598,-0.016659932829979036,0.027755336189941325
1.778894472361809,-0.01594404181712584,0.025421246946625734
1.7864321608040201,-0.015239514153682987,0.023224279164030408
1.7939698492462313,-0.014546349839650504,0.021159629365750023
1.8015075376884422,-0.013864548875028412,0.01922257155080516
1.8090452261306533,-0.013194111259816666,0.017408457193642094
1.8165829145728642,-0.01253503699401531,0.015712715244133237
1.8241206030150754,-0.011887326077624301,0.014130852127576676
1.8316582914572863,-0.01125097851064368,0.01265845174469659
1.8391959798994975,-0.01062599429307341,0.011291175471642868
1.8467336683417086,-0.010012373424913509,0.010024762159991424
1.8542713567839195,-0.009410115906163993,0.008855028136744056
1.8618090452261307,-0.008819221736824827,0.007777867204328352
1.8693467336683418,-0.00823969091689603,0.006789250640597895
1.8768844221105527,-0.00767152344637762,0.0058852271988321546
1.8844221105527639,-0.00711471932526956,0.005061923107736414
1.8919597989949748,-0.006569278553571885,0.004315542071441952
1.899497487437186,-0.0060352011312845635,0.0036423652695058463
1.9070351758793969,-0.005512487058407625,0.0030387513569111544
1.914572864321608,-0.005001136334941039,0.0025011364640667496
1.9221105527638191,-0.004501148960884823,0.0020260341968074518
1.92964824120603,-0.00401252493623899,0.0016100356363939702
1.9371859296482412,-0.00353526426100351,0.0012498093395128692
1.9447236180904524,-0.003069366935178399,0.0009421013382766437
1.9522613065326633,-0.0026148329587636705,0.0006837351402236768
1.9597989949748744,-0.0021716623317592962,0.0004716117283182223
1.9673366834170853,-0.0017398550541653038,0.00030270956095045516
1.9748743718592965,-0.001319411125981667,0.00017408457193642104
1.9824120603015074,-0.000910330547208411,8.287017051807648e-05
1.9899497487437185,-0.0005126133178455113,2.627724136325831e-05
1.9974874371859297,-0.00012625943789298024,1.5941445657051334e-06
2.0050251256281406,0.00024873109264917113,6.186715645045056e-06
2.0125628140703515,0.0006123582737809545,3.749826554679904e-05
2.020100502512563,0.0009646221055023904,9.304958064238646e-05
2.027638190954774,0.001305522587813437,0.00017043892272910932
2.0351758793969847,0.0016350597207141157,0.00026734202903017215
2.042713567839196,0.0019532335042044447,0.00038151211219467746
2.050251256281407,0.002260043938284387,0.0005107798602976
2.057788944723618,0.0025554910229539604,0.000653053436839828
2.065326633165829,0.0028395747582131664,0.0008063184807481362
2.0728643216080402,0.0031122951440620203,0.0009686381063752031
2.080402010050251,0.003373652180500489,0.0011381529034995704
2.0879396984924625,0.003623645867528605,0.0013130809373257135
2.0954773869346734,0.003862276205146338,0.001491717748483959
2.1030150753768844,0.004089543193353701,0.0016724363530305592
2.1105527638190953,0.004305446832150698,0.001853687242447648
2.1180904522613067,0.004509987121537338,0.0020339983836432647
2.1256281407035176,0.004703164061513598,0.0022119752189513077
2.1331658291457285,0.00488497765207949,0.0023863006661316044
2.14070351758794,0.005055427893235024,0.0025557351183698703
2.148241206030151,0.005214514784980178,0.0027191164442776873
2.1557788944723617,0.005362238327314965,0.002875359987892559
2.1633165829145726,0.005498598520239384,0.003023458568677874
2.170854271356784,0.005623595363753442,0.0031624824815229204
2.178391959798995,0.005737228857857124,0.003291579496742856
2.185929648241206,0.005839499002550439,0.0034099748600787557
2.193467336683417,0.005930405797833389,0.0035169712926975878
2.201005025125628,0.006009949243705967,0.003611948991192192
2.208542713567839,0.0060781293401681764,0.003694365627581323
2.21608040201005,0.006134946087220018,0.0037637563493096208
2.2236180904522613,0.006180399484861494,0.003819733779247622
2.2311557788944723,0.006214489533092599,0.003861988015691746
2.2386934673366836,0.006237216231913336,0.0038902866323643195
2.2462311557788945,0.006248579581323704,0.0039044746784135517
