time,layer,alpha,se,passes_collapse
33,io_cryo,1.1539943803915906,0.057972320642009995,True
34,physical,1.489106998794927,0.05401492714068964,True
34,qec,2.358459195552507,0.06284762283293188,True
34,runtime,1.6994214123479983,0.05389623634966216,True
34,io_cryo,1.0731598909590079,0.06235258686730759,True
35,physical,1.646472513291639,0.05080211460200031,True
35,qec,2.453526355197173,0.05170590860752669,True
35,runtime,1.738767195030917,0.08281870366453285,True
35,io_cryo,1.1279030400466776,0.05469798062363067,True
36,physical,1.300928067965387,0.06241782218441835,False
36,qec,2.589134600929695,0.05581873243764795,True
36,runtime,2.060335255030766,0.05226722677081327,True
36,io_cryo,1.2644046653287,0.05555385606521307,True
37,physical,1.3948918618569999,0.05255126206569563,True
37,qec,2.351394349919813,0.07273265915786063,True
37,runtime,1.7672859810460144,0.06767846115742748,True
37,io_cryo,1.0734207301484262,0.05272969333458625,True
38,physical,1.5632284921385404,0.05880413519303612,True
38,qec,2.6615524014323895,0.055415890575136004,True
38,runtime,1.7055464804731937,0.05412983490909161,True
38,io_cryo,1.1218981990089065,0.09541502898711832,True
39,physical,1.5115948328592366,0.0523765469139481,True
39,qec,2.479525339336339,0.0901248812393631,True
39,runtime,1.8346408690436908,0.10300770189919911,True
39,io_cryo,1.0867936258013975,0.05656950061621302,True
40,physical,1.4236740843457483,0.06416969925289398,True
40,qec,2.3195117899335482,0.06886399314858713,True
40,runtime,1.7933920201352684,0.06521094496258156,True
40,io_cryo,1.0788983800237544,0.05288698653663863,True
41,physical,1.6160801306401913,0.05587777668586803,True
41,qec,2.4577616627664325,0.0681089318833828,True
41,runtime,1.8731580624368014,0.08551214142283596,True
41,io_cryo,1.195146311114448,0.07625102726921015,True
42,physical,1.5380482413619136,0.0670885428839734,True
42,qec,2.5138215390754155,0.08172100222063736,True
42,runtime,1.8688344768524534,0.07188427278031938,True
42,io_cryo,1.1872908145325973,0.09194405334588665,True
43,physical,1.336638396200962,0.062423221197992054,True
43,qec,2.439642218627007,0.06397205631391192,True
43,runtime,1.9233914078370964,0.09738991217419253,True
43,io_cryo,1.0193373188179589,0.10621233367864419,True
44,physical,1.581402466564199,0.06935551015125704,True
44,qec,2.5060240344246774,0.08107980027392145,True
44,runtime,1.9305864074691823,0.05068215079715676,True
44,io_cryo,1.161944443223871,0.09187334688771875,True
45,physical,1.523012506470663,0.0819201072665298,True
45,qec,2.452123628421769,0.0756208619528981,True
45,runtime,1.8913434903223703,0.055801673985188205,True
45,io_cryo,1.4376795812558065,0.09781752278647304,True
46,physical,1.6129893914501634,0.05332939100257002,True
46,qec,2.241994358723712,0.06890688636006145,True
46,runtime,1.8584923052752471,0.07385741481051916,True
46,io_cryo,1.3201294882046268,0.053310210182482436,True
47,physical,1.699769512382687,0.1044735377152495,True
47,qec,2.4893292820756288,0.05240357409103569,True
47,runtime,1.8460233409476168,0.0678942757365815,False
47,io_cryo,1.349870001565842,0.05816529772601482,False
48,physical,1.428178825088607,0.06541766048247764,True
48,qec,2.3639035954280465,0.05852212971916991,True
48,runtime,1.8034301274782634,0.053036398438627744,True
48,io_cryo,1.079074967302813,0.06085752432512014,True
49,physical,1.7003464592132822,0.050263618896513186,True
49,qec,2.6281073526735232,0.11491996544544854,True
49,runtime,2.0727868300437335,0.05138864101656509,True
49,io_cryo,1.2213726931201963,0.09566629713623262,True
