time,layer,alpha,se,passes_collapse
0,physical,1.5496714153011233,0.07633491387090899,True
0,qec,2.4861735698828817,0.05339192583829211,True
0,runtime,1.9579212815507392,0.05041598615998277,True
0,io_cryo,1.276743472915291,0.05477375250497894,True
1,physical,1.5396470768753507,0.06131074133560674,True
1,qec,2.3241228252529673,0.05300469057454678,True
1,runtime,1.9620157266109028,0.05445471724257381,True
1,io_cryo,1.1928732196700937,0.05095127699512817,True
2,physical,1.4693253936227433,0.07305501526197324,True
2,qec,2.200219887635296,0.063670944562683,True
2,runtime,1.9116437538249427,0.05747093163315248,True
2,io_cryo,1.1073048976175215,0.054087771990158115,True
3,physical,1.6142975077182884,0.051853109179062315,False
3,qec,2.5575876778377444,0.05787064173606174,True
3,runtime,1.7943869726227688,0.05659605680268499,True
3,io_cryo,1.346163072340639,0.08240967191549463,True
4,physical,1.4798606257841618,0.05011074840751871,True
4,qec,2.6087204546988443,0.07611325817575998,False
4,runtime,1.7636310734924938,0.08977059143316446,True
4,io_cryo,1.2166315882296361,0.05131336131609566,True
5,physical,1.63125258223942,0.0936450382480303,True
5,qec,2.685624002857082,0.07498252688633199,True
5,runtime,1.846417396089005,0.06479357677554534,False
5,io_cryo,1.1064643655814006,0.05228334870383732,True
6,physical,1.556728903468308,0.0976253105969195,True
6,qec,2.3487959343546683,0.07817498295077167,False
6,runtime,1.766703465525439,0.10309900171761249,True
6,io_cryo,1.197377121456304,0.09103039461041626,True
7,physical,1.5501586046535516,0.08294696582607133,True
7,qec,2.637315348772036,0.05233184320247702,True
7,runtime,1.870062877425205,0.050139528183633014,True
7,io_cryo,1.2665563769367363,0.05502334676551649,True
8,physical,1.5132606914480229,0.06462905611520305,True
8,qec,2.5697943482960772,0.12135596276583399,True
8,runtime,1.3375121410847195,0.056704993527621636,True
8,io_cryo,1.226737875069702,0.06397039265659277,True
9,physical,1.4962147532406351,0.053130617219709395,True
9,qec,2.5456055839521086,0.055542896271194526,True
9,runtime,1.894554044423052,0.059170455985286086,True
9,io_cryo,1.1245121042392734,0.06534770499904698,True
10,physical,1.4009463674869311,0.050832595195886905,True
10,qec,2.443370227039723,0.05033453895116941,True
10,runtime,1.6937696286273896,0.07348425055135438,True
10,io_cryo,1.247359243063518,0.05295888826878558,True
11,physical,1.5659008720182197,0.08398968145278443,True
11,qec,2.361462718637857,0.055537540908758065,True
11,runtime,1.810537429706095,0.05828093019622648,True
11,io_cryo,1.2627314374589838,0.09548194698214504,True
12,physical,1.4026082652275271,0.05352588429366823,True
12,qec,2.493836107101477,0.05018479211221989,True
12,runtime,1.957188188499852,0.07110882964270498,True
12,io_cryo,1.217994029476555,0.05541647518105612,True
13,physical,1.5558867632056848,0.07143626576339525,False
13,qec,2.5008272429749026,0.0591683261441404,True
13,runtime,1.7518389793398421,0.09452110422497045,True
13,io_cryo,1.193664347762917,0.06396870648777542,True
14,physical,1.2150139089617429,0.05659154736732526,True
14,qec,2.366731418543614,0.05389867140449646,True
14,runtime,1.7301008956526571,0.05031154630743889,True
14,io_cryo,1.2238472235944515,0.11801684032244113,True
15,physical,1.3653206281931594,0.08809453304956161,True
15,qec,2.298515277531414,0.06627473984120455,True
15,runtime,1.6616142563798868,0.06909061431035436,True
15,io_cryo,1.1653725105945527,0.06460990649963008,True
16,physical,1.56075229850277,0.058909846846298984,True
16,qec,2.557827379388733,0.08322656398174058,True
16,runtime,1.803951942815847,0.08201899864616975,True
16,io_cryo,1.5377203232507144,0.08177238949908411,True
17,physical,1.0822666288274954,0.0672682805321887,True
17,qec,2.435867289607252,0.06564589171374252,True
17,runtime,1.7123559637023091,0.052717780825948565,True
17,io_cryo,1.2684442099779891,0.05486236006859807,False
18,physical,1.4751679213757576,0.06555820885389485,True
18,qec,2.405450702624795,0.12447114017399986,True
18,runtime,1.7044320909085375,0.06155966862546603,False
18,io_cryo,1.2558540708649986,0.11574759846537204,True
19,physical,1.364519509575675,0.053402414831457086,True
19,qec,2.451099026697158,0.07507698575553552,True
19,runtime,1.9967647699825162,0.060880757310641034,True
19,io_cryo,0.9877956763363673,0.07836363695513426,True
20,physical,1.5443819428146228,0.06285569188825785,True
20,qec,2.5774634053429337,0.06282900664188742,True
20,runtime,1.6632411303931636,0.07016229072081824,True
20,io_cryo,1.0569858622039368,0.06966249989565457,True
21,physical,1.4172999846139522,0.05146364872512482,False
21,qec,2.5616611971450745,0.06762694755614582,True
21,runtime,1.9740525313332826,0.06225911948102183,True
21,io_cryo,1.0916692998360624,0.05975855054700374,True
22,physical,1.557488449388127,0.05147699253892854,True
22,qec,2.467119310632564,0.05047094006361423,True
22,runtime,1.8650908112111284,0.06982798352866441,True
22,io_cryo,1.1600983030885583,0.08253991611987957,True
23,physical,1.6151802102310737,0.14314009780280462,True
23,qec,2.6014878762620937,0.07995909006687174,True
23,runtime,1.8186827293960255,0.07779569432990922,True
23,io_cryo,1.3503285349174665,0.09656891361735265,True
24,physical,1.315748122944254,0.059859769081203426,True
24,qec,2.516526150155412,0.05191451221096951,True
24,runtime,1.8572524223140296,0.0699846016078105,True
24,io_cryo,1.307068528358449,0.0579697266910078,True
25,physical,1.6124119817052156,0.05191273893080639,False
25,qec,2.612834550926428,0.06594922631390786,True
25,runtime,1.767450280320749,0.05308615309084239,True
25,io_cryo,1.2178614158347008,0.05213217424490771,True
26,physical,1.5004489952529254,0.051773077355556134,True
26,qec,2.570757819550521,0.059261105209506254,True
26,runtime,1.775708403689514,0.08002485080909252,True
26,io_cryo,1.226208110643573,0.09736475350956181,True
27,physical,1.5385995361195084,0.051159008621318516,True
27,qec,2.5115849858267336,0.07095136772813944,True
27,runtime,1.8295748348730618,0.05672938314841118,True
27,io_cryo,0.9806220219286415,0.11605740212503822,True
28,physical,1.5517985107956653,0.0515332275190891,True
28,qec,2.530648502692803,0.06480887866362088,True
28,runtime,2.0447075083657795,0.06755651723611511,False
28,io_cryo,1.1526545063258187,0.05659685451797517,True
29,physical,1.7344311430405146,0.05649746839790261,True
29,qec,2.434621021183232,0.058719070692334674,False
29,runtime,1.8496264472964634,0.057407586031087206,True
29,io_cryo,1.403067933640336,0.05354947308200977,True
30,physical,1.3679766792979358,0.10398036723094237,False
30,qec,2.6831458765854355,0.05053441633733023,True
30,runtime,1.6286865470909122,0.12007417108751925,True
30,io_cryo,1.3353872374165412,0.06264831142279548,True
31,physical,1.485073520253071,0.07930566180412522,True
31,qec,2.489247209657727,0.055683048891622934,True
31,runtime,1.7965787134524427,0.05519207450836967,True
31,io_cryo,1.2359930336871274,0.058868409245942124,True
32,physical,1.6257259349376285,0.0646861972084703,True
32,qec,2.4821782008146624,0.06646229161960295,True
32,runtime,1.835148332343891,0.07435330695595753,True
32,io_cryo,1.3074738931386112,0.05029302952531338,True
33,physical,1.341223299014675,0.09690123045962884,True
33,qec,2.2556259325052426,0.08061743475439404,True
33,runtime,1.5892109063457371,0.06229173934741396,True
