time,alpha_fused,se_fused,I2,tau2,passes_gate,n_layers,baseline,baseline_std,z_score,alert
0,1.8184534412336824,0.26353155584172905,0.9889357597011349,0.2742468706099871,False,4,,,,NORMAL
1,1.754717215130269,0.2467444821510919,0.9886275358463358,0.24049968647998862,False,4,,,,NORMAL
2,1.6719076903875394,0.2412683067558385,0.9851613967477488,0.22894036532777345,False,4,1.7483594489171637,0.07347945404111503,-1.0404508243467092,NORMAL
3,1.9010546821292218,0.3533402012710924,0.9881610130535967,0.3701073854428912,False,3,1.7865332572201782,0.09710018197137821,1.1794151420107593,NORMAL
4,1.4800029758396158,0.15573490313582863,0.9368264997330615,0.0684487278034519,False,3,1.7252272009440657,0.1608213191240683,-1.5248241118782735,ADVISORY
5,1.807018889143662,0.46512254720632895,0.9932986327002568,0.6433178707166759,False,3,1.7388591489773317,0.14766779402068123,0.4615748519733719,NORMAL
6,1.5042497649683573,0.16667040669417968,0.8888114774637315,0.07386586123548629,False,3,1.7053435226903353,0.1613522903369492,-1.2463024683568942,NORMAL
7,1.8319700348521444,0.29622963279127906,0.9914083864250517,0.3472270009512875,False,4,1.7211718367105615,0.15594749985004414,0.710483965745678,NORMAL
8,1.655213424627659,0.3040875000080577,0.9706500857303095,0.3633835932679883,False,4,1.7138431242569057,0.14752308330173247,-0.3974272928483325,NORMAL
9,1.7656506386546478,0.3038694792263031,0.9906916542181189,0.36592761682230435,False,4,1.71902387569668,0.14004764964827915,0.3329349908768046,NORMAL
10,1.6964888058888608,0.2663386413838849,0.9907864680341956,0.28041960654410264,False,4,1.7068274121621978,0.13566877606425262,-0.07620475818577956,NORMAL
11,1.754364281102408,0.23270570355845802,0.9772249962269309,0.21097426001406233,False,4,1.7067921187594117,0.1356549787811491,0.35068497131789056,NORMAL
12,1.7678712856482957,0.28895869310621586,0.9916917278527577,0.3306136794928075,False,4,1.7163884782854872,0.13630574274055815,0.3777009414841739,NORMAL
13,1.815993084194107,0.38017967574448197,0.9911899681630444,0.42811432627269197,False,3,1.707882318491976,0.12574631546107476,0.8597529502611713,NORMAL
14,1.637784535059946,0.2728676046166703,0.9875171442650998,0.2922608192327607,False,4,1.7236604744140087,0.10154606237769771,-0.8456845823784831,NORMAL
15,1.6234642957661012,0.2479004242313506,0.9815356824394545,0.24055175504686166,False,4,1.7053050150762528,0.10139353754014316,-0.8071591276490344,NORMAL
16,1.8637969968950845,0.2381521100803967,0.972650445580761,0.22092214844440183,False,4,1.7412597382689257,0.08452147564076723,1.4497766123602254,NORMAL
17,1.7435654681237898,0.39059983887406985,0.990393826789106,0.4538348338327013,False,3,1.73241928159609,0.07837966030272883,0.14220764015370158,NORMAL
18,1.7088750640983679,0.34948342167139557,0.963180680464857,0.35541813076959117,False,3,1.737785445543161,0.07423384150014835,-0.38945015993460746,NORMAL
19,1.7000409436016537,0.3249042563069441,0.9877792983012965,0.41767150323789726,False,4,1.7312244760378614,0.07439659807485194,-0.419152666158651,NORMAL
20,1.7109139797639639,0.317468055743921,0.9894603166420867,0.39872593029481246,False,4,1.7326669934253718,0.0737855941676503,-0.29481383062366195,NORMAL
21,1.8753576001253933,0.4271866828777149,0.9927255709432278,0.5434588119719375,False,3,1.7447663253276704,0.08655423719207588,1.5087796858277747,NORMAL
22,1.764376789389397,0.27562644170583406,0.9880330835651668,0.2996684360014715,False,4,1.7444168757017806,0.08645758995150771,0.23086363729097006,NORMAL
23,1.8503754681141786,0.27154874317020694,0.9735140677638239,0.28450428258230165,False,4,1.7478551140937875,0.09022200310190688,1.1363121023215716,NORMAL
24,1.7494855646423373,0.28686315249216,0.9908786704885729,0.32552965122334127,False,4,1.7590252170520266,0.08158124961087976,-0.11693437469015099,NORMAL
25,1.865232589896472,0.4054159521944777,0.9927376560402009,0.489792344183694,False,3,1.7832020464650635,0.07223230614145304,1.1356489611555163,NORMAL
